runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.h.integer,param.s.integer,param.v.integer
1,3513,78682,50000,150,183,85
1,3478,61719,50000,180,212,232
1,3691,74934,50000,255,218,8
1,3484,58413,50000,252,127,39
1,3548,56270,50000,20,26,240
1,4311,56499,50000,35,46,235
1,3979,53961,50000,75,9,150
1,3436,50902,50000,27,61,229
1,4299,54764,50000,207,139,90
1,3574,55102,50000,194,209,97
1,3445,49474,50000,199,9,237
1,4117,52832,50000,168,106,8
1,3579,65032,50000,220,205,110
1,3504,51494,50000,137,43,188
1,3668,62627,50000,125,78,205
1,3442,49506,50000,150,159,175
1,3538,58899,50000,105,187,34
1,3684,69613,50000,93,70,33
1,3478,53839,50000,254,222,103
1,3495,51117,50000,22,228,254
1,3628,56768,50000,11,228,198
1,3612,63610,50000,7,52,48
1,3443,57049,50000,231,188,20
1,4037,58318,50000,144,190,34
1,3512,53747,50000,218,126,169
1,3513,55481,50000,119,102,161
1,4156,71471,50000,160,4,25
1,3557,71008,50000,184,222,48
1,3450,55372,50000,241,97,157
1,3668,52407,50000,16,182,50
1,3489,51604,50000,211,116,114
1,3456,53931,50000,112,24,169
1,3465,51955,50000,82,30,123
1,3488,51982,50000,114,164,64
1,3504,50424,50000,6,171,229
1,3517,48926,50000,156,199,56
1,3361,49077,50000,59,242,46
1,3434,52100,50000,40,184,254
1,4238,51078,50000,161,121,36
1,3530,56561,50000,136,210,34
1,3514,56984,50000,76,219,238
1,3608,56090,50000,132,42,214
1,3465,55812,50000,183,151,56
1,3459,56595,50000,13,112,218
1,4520,53683,50000,148,219,67
1,3416,54311,50000,221,101,130
1,3417,55333,50000,153,78,222
1,4133,54882,50000,95,140,250
1,3420,56762,50000,164,3,67
1,3456,56235,50000,160,77,138
1,3448,58459,50000,67,62,24
1,3500,50319,50000,228,51,68
1,3529,52057,50000,67,26,17
1,4333,53962,50000,217,184,145
1,3462,59330,50000,55,11,49
1,3444,56934,50000,188,225,47
1,4238,55503,50000,80,225,192
1,3486,59472,50000,194,199,57
1,3531,59789,50000,108,49,193
1,3698,70911,50000,72,90,251
1,3480,53135,50000,207,156,87
1,3926,53174,50000,86,42,3
1,3558,52562,50000,98,65,135
1,3461,55996,50000,84,30,75
1,3436,53239,50000,21,73,122
1,3636,57247,50000,28,14,178
1,3446,53093,50000,158,134,191
1,3366,52083,50000,45,58,219
1,3808,55088,50000,68,205,13
1,3387,48884,50000,155,222,121
1,3480,50621,50000,110,246,15
1,4078,49223,50000,198,249,241
1,3377,52126,50000,130,4,141
1,3374,48756,50000,235,71,203
1,3890,49999,50000,54,51,75
1,3767,50665,50000,206,168,30
1,3375,48936,50000,78,146,212
1,3557,49649,50000,78,254,74
