runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.r.integer,param.g.integer,param.b.integer
1,3367,49715,50000,216,82,193
1,3370,49726,50000,248,251,188
1,3384,50888,50000,254,172,157
1,3437,50294,50000,72,68,153
1,3453,54693,50000,218,222,126
1,4102,50615,50000,67,85,117
1,3503,70346,50000,253,248,45
1,3468,55819,50000,18,159,182
1,3374,53221,50000,12,7,104
1,3409,49985,50000,109,22,187
1,3518,55333,50000,129,244,185
1,3421,51800,50000,212,234,42
1,3425,53436,50000,210,68,14
1,3406,55514,50000,88,132,102
1,3360,54977,50000,32,225,244
1,3374,57904,50000,104,160,90
1,3484,55272,50000,191,171,14
1,3491,51923,50000,215,113,30
1,3543,53699,50000,33,91,186
1,3440,55549,50000,3,8,157
1,3412,54129,50000,254,42,29
1,3533,51520,50000,238,19,111
1,3366,51584,50000,254,118,228
1,3412,52110,50000,84,16,233
1,3518,55330,50000,8,102,62
1,3405,54154,50000,170,32,88
1,3617,55620,50000,69,180,194
1,3447,59429,50000,83,153,0
1,3422,49561,50000,160,253,41
1,3771,50155,50000,26,47,72
1,3366,52051,50000,154,124,20
1,3409,51810,50000,97,58,199
1,3395,50975,50000,2,61,149
1,3846,54112,50000,75,18,26
1,3432,68919,50000,23,145,207
1,3408,73345,50000,220,162,105
1,3417,50171,50000,50,35,165
1,3439,49974,50000,248,31,75
1,3348,51218,50000,229,85,237
1,3392,51431,50000,194,238,182
1,3373,53577,50000,118,137,204
1,3428,51120,50000,204,195,113
1,3414,51992,50000,44,121,158
1,3369,52487,50000,139,49,168
1,3521,51130,50000,102,83,32
1,3484,52769,50000,117,125,214
1,3529,53644,50000,44,63,112
1,3429,53118,50000,190,213,25
1,3427,55586,50000,0,255,90
1,3441,54417,50000,230,1,168
1,3435,51395,50000,158,224,162
1,3372,52274,50000,119,178,2
1,3377,51269,50000,184,92,111
1,3373,51113,50000,221,184,114
1,3322,52721,50000,252,69,39
1,3426,53686,50000,245,192,43
1,3317,51931,50000,98,251,235
1,3366,51778,50000,44,28,190
1,3395,51569,50000,104,167,235
1,3453,53819,50000,3,101,181
1,3354,50493,50000,69,168,52
1,3340,49643,50000,236,79,54
1,3386,52319,50000,216,112,95
1,3328,51849,50000,162,30,208
1,3379,51303,50000,34,92,127
1,3372,52322,50000,119,209,8
1,3398,55836,50000,104,203,10
1,3379,49404,50000,255,150,142
1,3328,56882,50000,84,14,7
1,3361,48399,50000,39,195,31
1,3386,51045,50000,127,146,70
1,3425,53924,50000,178,66,103
1,4102,59099,50000,164,229,62
1,3924,55673,50000,30,106,215
1,3908,53510,50000,146,45,198
1,3410,48450,50000,248,212,61
1,3392,51772,50000,127,153,143
1,3416,52159,50000,244,123,102
1,3363,51421,50000,27,222,50
1,3415,53429,50000,196,122,4
1,3390,57309,50000,10,101,152
1,3433,56476,50000,164,123,218
1,3364,51208,50000,227,61,200
1,3454,54830,50000,234,95,60
1,3499,71826,50000,147,151,5
1,3445,54574,50000,62,11,17
1,3460,53338,50000,197,181,125
1,3468,49430,50000,164,236,115
1,3521,49610,50000,145,105,238
1,3445,56616,50000,198,176,77
1,3866,75004,50000,182,42,39
1,3340,51788,50000,94,135,163
1,3424,54318,50000,5,21,137
1,3368,53708,50000,128,44,93
1,3389,58902,50000,72,25,5
1,3349,50433,50000,158,140,43
1,3722,48949,50000,179,168,233
1,3420,49365,50000,161,172,91
1,3316,55742,50000,187,3,83
1,3337,51275,50000,237,71,37
2,3565,58477,50000,163,62,75
2,3515,48961,50000,212,142,82
2,3621,53756,50000,150,191,185
2,3440,50376,50000,140,222,247
2,3419,50811,50000,193,215,92
2,4196,51812,50000,215,106,126
2,3427,55490,50000,188,39,230
2,3413,50313,50000,113,24,246
2,3981,55960,50000,120,128,102
2,3422,56970,50000,210,144,40
2,3434,52355,50000,249,223,251
2,3593,50618,50000,196,210,165
2,3518,56443,50000,165,177,122
2,3616,73181,50000,50,209,191
2,3612,56990,50000,87,66,20
2,3410,51212,50000,209,141,191
2,3417,61951,50000,63,124,133
2,4192,62892,50000,47,103,52
2,3785,56678,50000,216,146,69
