elapsed.ps,repeats.n,param.a.color3,param.b.color3,param.alpha.float
74291,100000,0.0980392; 0.619608; 0.639216,0.188235; 0.756863; 0.513726,0.7162469726142058
69935,100000,0.227451; 0.647059; 0.419608,0.588235; 0.454902; 0.0156863,0.7685863809213684
73961,100000,0.423529; 0.203922; 0.176471,0.937255; 0.94902; 0.0666667,0.35864006438023527
76701,100000,0.666667; 0.568627; 0.207843,0.717647; 0.698039; 0.654902,0.6494808663224656
84051,100000,0.470588; 0.937255; 0.215686,0.905882; 0.0431373; 0.505882,0.8094374501703329
75901,100000,0.701961; 0.572549; 0.878431,0.709804; 0.458824; 0.713726,0.9736914368432138
73610,100000,0.137255; 0.847059; 0.858824,0.694118; 0.0823529; 0.909804,0.3010052518074826
69506,100000,0.180392; 0.968627; 0.301961,0.698039; 0.811765; 0.0235294,0.14597373024222218
73113,100000,0.588235; 0.764706; 0.596078,0.27451; 0.729412; 0.109804,0.5890193683342753
72820,100000,0.615686; 0.721569; 0.298039,0.909804; 0.501961; 0.235294,0.7059784950450954
89693,100000,0.478431; 0.854902; 0.509804,0.407843; 0.941176; 0.286275,0.2775226504309198
69961,100000,0.956863; 1; 0.968627,0.0941176; 0.611765; 0.67451,0.9624050734914996
75481,100000,0.196078; 0.733333; 0.435294,0.968627; 0.258824; 0.290196,0.3978517459863561
70402,100000,0.701961; 0.172549; 0.898039,0.14902; 0.12549; 0.843137,0.358317511681899
78772,100000,0.027451; 0.666667; 0.768627,0.333333; 0.690196; 0.117647,0.031349079733830616
66210,100000,0.235294; 0.933333; 0.74902,0.85098; 0.160784; 0.454902,0.6439413219735795
77055,100000,0.133333; 0.160784; 0.721569,0.937255; 0.14902; 0.298039,0.9317079114186279
74569,100000,0.517647; 0.972549; 0.560784,0.760784; 0.878431; 0.835294,0.2717012009354744
76786,100000,0.666667; 0.368627; 0.0745098,0.690196; 0.164706; 0.945098,0.1530527988771436
73808,100000,0.788235; 0.113725; 0.180392,0.945098; 0.835294; 0.835294,0.6150196091526448
75680,100000,0.65098; 1; 0.694118,0.388235; 0.231373; 0.643137,0.6381333298657017
68413,100000,0.0509804; 0.941176; 0.501961,0.894118; 0.129412; 0.54902,0.43316234605139464
65337,100000,0.984314; 0.658824; 0.929412,0.909804; 0.564706; 0.698039,0.4653104580082842
80911,100000,0.596078; 0.407843; 0.572549,0.823529; 0.341176; 0.380392,0.5883525627025378
76244,100000,0.45098; 0.764706; 0.45098,0.105882; 0.0235294; 0.392157,0.5693027041649326
77236,100000,0.0823529; 0.654902; 0.905882,0.529412; 0.541176; 0.815686,0.8461001163801585
73364,100000,0.780392; 0.870588; 0.733333,0.541176; 0.0823529; 0.188235,0.1230192167560653
78328,100000,0.313726; 0.0313726; 0.180392,0.505882; 0.839216; 0.117647,0.3953638431812485
79971,100000,0.0156863; 0.180392; 0.823529,0.231373; 0.686275; 0.803922,0.924999370539076
102245,100000,0.180392; 0.372549; 0.447059,0.27451; 0.0784314; 0.984314,0.43808331500004133
105275,100000,0.639216; 0.772549; 0.196078,0.286275; 0.67451; 0.317647,0.9658255543391995
105729,100000,0.321569; 0; 0.92549,0.227451; 0.176471; 0.960784,0.1745107410039218
106168,100000,0.2; 0.25098; 0.270588,0.27451; 0.729412; 0.705882,0.2829705768061316
104786,100000,0.388235; 0.321569; 0.670588,0.52549; 0.690196; 0.521569,0.41476399810122966
91473,100000,0.345098; 0.572549; 0.243137,0.533333; 0.180392; 0.52549,0.7523054754804941
105368,100000,0.372549; 0.823529; 0.364706,0.733333; 0.458824; 0.658824,0.9321413243564826
108258,100000,0.937255; 0.466667; 0.141176,0.952941; 0.988235; 0.823529,0.4911898900262179
107232,100000,0.662745; 0.572549; 0.0313726,0.329412; 0.564706; 0.298039,0.890091394519359
105971,100000,0.345098; 0.631373; 0.772549,0.0392157; 0.862745; 0.611765,0.5613178747797166
75624,100000,0.0862745; 0.443137; 0.729412,0.92549; 0; 0.737255,0.2510090754591587
70969,100000,0.662745; 0.403922; 0.945098,0.670588; 0.227451; 0.8,0.5421729852671523
83352,100000,0.619608; 0.0156863; 0.486275,0.435294; 0.0980392; 0.0784314,0.2962392463879174
69473,100000,0.270588; 0.552941; 0.2,0.45098; 0.898039; 0.376471,0.5099269781182021
89030,100000,0.945098; 0.0470588; 0.380392,0.529412; 0.823529; 0.368627,0.9212122964489124
71165,100000,0.721569; 0.819608; 0.105882,0.0196078; 0.917647; 0.933333,0.7288109714046521
73647,100000,0.65098; 0.858824; 0.921569,0.741176; 0.756863; 0.309804,0.7920719373050441
72627,100000,0.854902; 0.443137; 0.466667,0.505882; 0.27451; 0.00784314,0.153541988998982
76870,100000,0.0666667; 0.603922; 0.117647,0.298039; 0.678431; 0.533333,0.7639520582447096
70980,100000,0.643137; 0.764706; 0.517647,0.454902; 0.960784; 0.741176,0.32204414182323143
73476,100000,0.470588; 0.415686; 0.517647,0.113725; 0.431373; 0.596078,0.9067330684189379
70877,100000,0.282353; 0.847059; 0.403922,0.168627; 0.105882; 0.847059,0.914347121975993
88693,100000,0.854902; 0.533333; 0.815686,0.337255; 0.505882; 0.0588235,0.057761762076503236
74845,100000,0.117647; 0.670588; 0.941176,0.8; 0.913725; 0.239216,0.6744683987382009
74646,100000,0.0588235; 1; 0.796078,0.0156863; 0.945098; 0.454902,0.9583986458764725
77608,100000,0.780392; 0.898039; 0.286275,0.654902; 0.14902; 0.423529,0.7737839078105202
75549,100000,0.619608; 0.686275; 0.639216,0.431373; 0.52549; 0.733333,0.01252986604204452
71049,100000,0.952941; 0.937255; 0.6,0.152941; 0.72549; 0.654902,0.17590090848477025
74626,100000,0.32549; 0.129412; 0.952941,0.152941; 0.0666667; 0.027451,0.15136419551649352
78499,100000,0.486275; 0.654902; 0.286275,0.494118; 0.890196; 0.647059,0.42136963646303544
76915,100000,0.576471; 0.34902; 0.819608,0.529412; 0.6; 0.94902,0.41754992416979597
71400,100000,0.890196; 0.956863; 0.25098,0.25098; 0.964706; 0.0196078,0.3809743868296555
