runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3882,48604,50000
1,3882,50435,50000
1,4061,56588,50000
1,3882,59019,50000
1,4853,56867,50000
1,4041,58318,50000
1,4094,56445,50000
1,4852,57618,50000
1,4005,58442,50000
1,4769,57779,50000
1,4853,57645,50000
1,3882,56979,50000
1,3882,56229,50000
1,3882,55820,50000
1,4101,59358,50000
1,3901,58339,50000
1,3897,64303,50000
1,4549,56068,50000
1,4265,55836,50000
1,3955,59350,50000
1,4245,56107,50000
1,3882,56577,50000
1,4446,55906,50000
1,4034,57507,50000
1,3913,81467,50000
1,3885,50473,50000
1,4105,55527,50000
1,3898,57395,50000
1,3986,78330,50000
1,4339,76136,50000
1,3919,76322,50000
1,3882,48557,50000
1,4025,53894,50000
1,3886,56057,50000
1,3913,74937,50000
1,4078,75821,50000
1,3911,77179,50000
1,3927,75681,50000
1,4222,76443,50000
1,3885,56951,50000
1,3890,54057,50000
1,4161,58268,50000
1,3883,56197,50000
1,3892,57461,50000
1,4084,54974,50000
1,3883,53780,50000
1,3979,55152,50000
1,4133,55351,50000
1,3883,62032,50000
1,3882,57605,50000
1,4103,62634,50000
1,3978,59703,50000
1,3933,70722,50000
1,4064,49038,50000
1,3925,54296,50000
1,3884,61232,50000
1,4106,56292,50000
1,3895,54700,50000
1,3883,55411,50000
1,3885,57677,50000
1,3883,57060,50000
1,4178,55992,50000
1,3884,55487,50000
1,3882,60453,50000
1,3884,57046,50000
1,4253,78442,50000
1,4007,82097,50000
1,3885,61597,50000
1,3928,84386,50000
1,3886,78301,50000
1,4151,80143,50000
1,4057,78154,50000
1,3929,83255,50000
1,3898,78921,50000
1,3890,55027,50000
1,3883,64878,50000
1,3891,62452,50000
1,3897,54949,50000
1,3884,57579,50000
1,3895,57201,50000
1,3882,54902,50000
1,4852,54964,50000
1,3883,57890,50000
1,4138,55651,50000
1,3883,59263,50000
1,3882,62702,50000
1,3893,57999,50000
1,3886,58853,50000
1,3959,59357,50000
1,4171,59374,50000
1,3882,60372,50000
1,4389,64152,50000
1,3882,58753,50000
1,4852,57955,50000
1,3882,58243,50000
1,3922,57923,50000
1,3884,55288,50000
1,3882,54710,50000
1,3882,55529,50000
1,3882,61037,50000
2,3893,50382,50000
2,3886,50643,50000
2,3883,56956,50000
2,4050,54488,50000
2,4855,58693,50000
2,3883,57895,50000
2,4941,56736,50000
2,4220,54270,50000
2,3999,57862,50000
2,4879,55315,50000
2,4852,55387,50000
2,3882,56859,50000
2,4852,55081,50000
2,4852,60282,50000
2,4853,54471,50000
2,5110,54339,50000
2,3882,65093,50000
2,3882,58621,50000
2,3882,53084,50000
2,3882,58451,50000
2,4853,53318,50000
2,3883,58470,50000
2,4032,61001,50000
2,4853,55265,50000
2,5105,60616,50000
2,3882,53450,50000
2,3882,53900,50000
2,5014,59068,50000
2,3883,62777,50000
2,4852,57641,50000
2,3882,54083,50000
2,3882,53933,50000
2,3882,59453,50000
2,3932,60298,50000
2,3884,58432,50000
2,3882,56205,50000
2,5037,55429,50000
2,3882,56396,50000
2,4852,58177,50000
2,3889,55173,50000
2,3882,54968,50000
2,4244,53358,50000
2,4852,54197,50000
2,3882,57610,50000
2,4853,55208,50000
2,4853,54182,50000
2,4853,58412,50000
2,3891,55441,50000
2,3898,55134,50000
2,4933,58188,50000
2,4879,53812,50000
2,4863,57287,50000
2,4485,53934,50000
2,3935,56611,50000
2,3883,51219,50000
2,3882,54077,50000
2,3883,53378,50000
2,3882,59222,50000
2,3883,57707,50000
2,3885,56350,50000
2,3882,59064,50000
2,3882,54763,50000
2,4852,59352,50000
2,3882,57754,50000
2,3883,54886,50000
2,3883,61629,50000
2,3883,57089,50000
2,3882,55354,50000
2,3882,58656,50000
2,3888,53821,50000
2,3884,57158,50000
2,4316,55123,50000
2,4854,52131,50000
2,3885,56574,50000
2,3883,53430,50000
2,3935,56125,50000
2,3887,59683,50000
2,3883,55127,50000
2,3882,58278,50000
2,3898,57126,50000
2,3883,56733,50000
2,4852,53608,50000
2,3882,55213,50000
2,3882,53120,50000
2,4856,58525,50000
2,3916,55303,50000
2,3882,53697,50000
2,4854,57752,50000
2,3919,56098,50000
2,4972,58080,50000
2,3896,51143,50000
2,3882,56187,50000
2,4854,53543,50000
2,4399,55280,50000
2,4854,55149,50000
2,3884,56714,50000
2,3961,56532,50000
2,3882,57382,50000
2,3882,52911,50000
2,3906,51917,50000
3,3827,55567,50000
3,3786,51098,50000
3,5061,54747,50000
3,3931,50885,50000
3,3642,53619,50000
3,3670,49422,50000
3,3842,47848,50000
3,3757,53002,50000
3,3812,65269,50000
3,4253,53047,50000
3,3760,54341,50000
3,3738,61637,50000
3,4323,54515,50000
3,3784,54732,50000
3,3817,54889,50000
3,4517,53373,50000
3,3727,67206,50000
3,3814,55385,50000
3,3888,66976,50000
3,4274,61786,50000
3,4043,61388,50000
3,4024,48818,50000
3,3728,61731,50000
3,3823,56797,50000
3,3954,56908,50000
3,3813,57121,50000
3,3951,61374,50000
3,4110,69953,50000
3,3898,63846,50000
3,3902,54173,50000
3,4743,57877,50000
3,4042,73219,50000
3,3920,67730,50000
3,5258,70040,50000
3,4317,70517,50000
3,3874,47737,50000
3,5131,63616,50000
3,3793,55816,50000
3,3871,56573,50000
3,4524,67203,50000
3,3881,66272,50000
3,3783,53697,50000
3,3996,60029,50000
3,3859,54592,50000
3,3794,57880,50000
