runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.minx.float,param.miny.float,param.maxx.float,param.maxy.float
1,3883,70087,50000,-8.419965303918804e+307,-1.7779947134645623e+308,9.746903940478653e+307,1.0097686517782478e+308
1,4094,67566,50000,-1.461739607373845e+308,-7.401704102180992e+307,9.364396056789676e+307,2.0824586298815033e+307
1,3885,101079,50000,-1.2663300575152528e+308,-1.471620224306575e+308,3.496702631430326e+307,1.4343148936806713e+308
1,3889,103957,50000,-1.3837173716182482e+308,-1.1452206724483385e+308,4.3496172416795787e+307,2.1461348638617622e+307
1,4017,101010,50000,-2.790741843264566e+307,-1.3857953990172083e+308,1.0189785363671438e+308,1.276623686624967e+308
1,3885,103227,50000,-1.6859681667129273e+308,-1.4687986715209592e+308,1.5617985132432818e+308,1.3469968977581265e+308
1,3929,92946,50000,-6.349485252774072e+307,-9.16455749187561e+307,1.6882394980713853e+308,7.234275548448213e+306
1,3895,82701,50000,-1.7011385335740485e+308,-1.1551249490723033e+308,1.6793340387779788e+308,3.9646393981346284e+307
1,3884,62775,50000,-1.9577903635621274e+306,-7.043698266728382e+307,7.339261564379235e+307,8.558105524400862e+307
1,3886,68683,50000,-1.6972449589198839e+308,-7.044699299948565e+307,7.05551257524588e+307,1.4409991309464398e+308
1,3885,69007,50000,-8.008035851747149e+307,-8.987251523062169e+307,5.5780974577492876e+306,1.0946714823317932e+308
1,3883,69429,50000,-1.074473690745061e+308,-1.185682506742883e+307,2.7392540588015905e+307,1.3525986903982864e+308
1,3884,67605,50000,-1.4980774405792013e+308,-1.4918038910465372e+308,1.454192289294854e+308,1.380132304926373e+308
1,3924,76927,50000,-4.866361227956502e+307,-1.4993707198590113e+308,1.0857097184855177e+308,2.5709629512142774e+307
1,3906,104862,50000,-9.217546592933476e+307,-9.60760460179062e+307,6.892813349308548e+307,6.01958953592999e+307
1,3889,104240,50000,-1.8060414273008792e+307,-9.949779080697771e+306,1.720591521428656e+308,1.22471017547847e+308
1,3882,74375,50000,-1.7308047615671537e+307,-6.688007610223568e+307,1.2441933434901777e+308,3.497547893172698e+307
1,3896,102034,50000,-5.895440589685244e+307,-1.2773086246347055e+308,6.10774385417234e+307,5.685605028288392e+307
1,3923,86335,50000,-1.2661407240988295e+308,-7.968739909607121e+307,2.539564210783006e+307,9.624534024420901e+307
1,4052,74831,50000,-7.490748597894223e+307,-1.4851797867798225e+308,1.6260188603578173e+308,7.015569342005087e+307
1,4912,101023,50000,-1.4069828436805099e+308,-6.323760982528522e+306,7.102225862741726e+307,1.1126843175470686e+308
1,3892,65009,50000,-1.5581160582427563e+308,-5.875800661416347e+306,6.590573647148599e+307,8.997407769703721e+307
1,3891,75822,50000,-7.040063225828918e+307,-1.1356487658516398e+308,4.912462461829041e+307,6.529581973968874e+307
1,3883,79457,50000,-1.0200062973336025e+308,-6.032425493118509e+307,1.3772551624298544e+308,1.4225112347197868e+308
1,3887,96211,50000,-6.339563873225035e+307,-1.0754045462650665e+307,6.319792660364788e+307,3.842069407507762e+305
1,3885,98811,50000,-1.4801399635714665e+308,-1.2847131994683471e+308,6.990347944779424e+307,2.0454646247812033e+307
1,3951,78470,50000,-3.4720039066026915e+307,-1.0872803586431965e+308,6.823483328014591e+307,1.446856965243456e+308
1,4002,95993,50000,-1.1037360240850237e+308,-1.0819462535522674e+308,1.4565686162329533e+308,1.3030615903552691e+308
1,3882,71628,50000,-1.3625222334504902e+308,-1.2985988752426246e+307,5.337376218508676e+307,1.6254300707360213e+308
1,3883,80147,50000,-3.771619146217551e+307,-4.1460497193411143e+307,5.204886440770693e+307,3.012720639328346e+307
1,3883,72884,50000,-1.4574963400811745e+307,-1.7666300031160712e+308,1.256996400119076e+308,5.108707134148902e+307
1,3884,71134,50000,-8.670353652684838e+307,-1.7611500753454211e+307,1.216145934131372e+308,7.060313442784644e+307
1,3942,70181,50000,-1.3727550143842473e+308,-1.206004170945073e+308,5.255950316393798e+307,7.037592838248197e+307
1,3883,73259,50000,-7.255365633439323e+307,-1.5634962400486487e+307,1.1852513298095545e+307,7.684229235461319e+307
1,3906,74947,50000,-1.475853971856353e+307,-3.1646239252191944e+307,1.206874601963243e+308,1.7607300415943274e+308
1,3884,69732,50000,-1.1629888700778302e+308,-6.348347377825689e+307,9.457722093209925e+307,1.0158130652524031e+308
1,4026,90433,50000,-7.837564671805092e+307,-1.5420028433592214e+308,8.436521473079438e+307,1.0638539902515866e+308
1,4030,98957,50000,-1.6963580969847076e+307,-1.700834877523397e+308,3.3333286709427804e+307,1.0273397950445718e+308
1,3923,100340,50000,-1.389882973202139e+308,-1.4773506806517235e+308,4.541102686849049e+307,1.21916608570511e+308
1,3933,93671,50000,-1.5071762693716017e+308,-7.852244767224575e+307,5.1120376219578e+307,1.3402827387303136e+308
1,3885,62320,50000,-1.745987668328946e+308,-3.4590381950524425e+307,1.4277171030517266e+308,1.133110688634954e+308
1,3894,65925,50000,-5.90812130735012e+307,-1.370096038661529e+308,1.4786115813294815e+308,1.3156508778001128e+308
1,3889,64802,50000,-2.793260037292364e+307,-1.3864084988394688e+308,1.7343498308962806e+307,1.4479263509622242e+308
1,3882,64157,50000,-1.3869988174644395e+308,-1.9808359129903547e+307,1.0502874374954368e+308,1.279045647124094e+308
1,3883,64778,50000,-4.964477553722786e+307,-5.061436492907755e+307,6.388639747470494e+307,8.114347459945952e+307
1,3920,88054,50000,-2.3762826596585614e+307,-1.47553828041444e+308,1.0234698296319366e+308,2.2341395718507282e+307
1,4082,95983,50000,-1.7578252458515965e+307,-9.820027200161156e+307,3.0692929204638786e+307,1.815879545136193e+306
1,3882,64899,50000,-1.6081636545854107e+308,-4.829605801532795e+307,1.0714912007203445e+308,8.956622713790867e+307
1,3883,71272,50000,-9.905193093899995e+307,-1.744276553540973e+308,4.3382358556470006e+307,5.500253973503921e+307
1,3946,64077,50000,-1.7079653746986366e+308,-9.340842404022907e+307,7.662598269604489e+307,6.465129359897425e+307
1,3884,68694,50000,-8.664288267604256e+307,-1.9602792425083441e+307,1.7623429986264835e+308,5.585598359496378e+306
1,3882,65750,50000,-2.1053933816166264e+307,-1.7188000390886297e+308,4.6038042799687e+307,5.808106310014238e+307
1,3883,66648,50000,-5.069224602346197e+307,-2.1937368262925554e+307,2.7005355717188122e+306,6.87303402961027e+307
