runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.minx.integer,param.miny.integer,param.maxx.integer,param.maxy.integer
1,3888,68760,50000,-1053188904792513,-6760401644003541,7321878518256418,6848997140254506
1,3883,65625,50000,-7456225463269890,-2221383881893930,5693198368313334,6778693428544999
1,3886,67918,50000,-3969035908513619,-1819826446610528,7233718342299243,552763092790423
1,3882,66621,50000,-1975181610542402,-474405657616467,8626833640921701,2095816735452117
1,3883,68044,50000,-903984610783753,-6677379992117045,5249283026709571,3025925590336027
1,3892,68550,50000,-4443922348607181,-6331065093158819,5669063422121645,3391142197305390
1,3883,64810,50000,-6446429722837905,-2111128587794437,6220091571547587,5926002927596419
1,3882,66467,50000,-1300987762208520,-2336301662696929,6990304490790123,4092198600360820
1,3883,66787,50000,-1629801548182193,-4330415676737880,2637826772029995,5343684005338750
1,3882,66043,50000,-4186090646625882,-328820450231823,7717146188293683,2639219293168871
1,4853,70992,50000,-952162180733632,-1020262650496999,4939361220887384,7266058846918300
1,3890,69806,50000,-707186606124977,-2030143782120540,1649942640751197,4367468698436807
1,3882,66562,50000,-656528067218206,-599877762398832,8073744532198089,3718141483130423
1,3918,68852,50000,-7273083043465117,-4031395621902112,2069220930459770,7076463969873171
1,3883,70230,50000,-336414684508712,-636440946748110,3929650329925548,6975147593126355
1,5039,71757,50000,-697507746951603,-5271079718087692,7542268909877316,3709407070866564
1,3896,69644,50000,-8860580025329622,-5300208686029369,8962166330701067,2488605648098923
1,3968,83915,50000,-4329245741661099,-7201035841249757,3425032791730957,5389513259918614
1,3937,70948,50000,-6535018733138626,-3447389526517235,5212032753419862,4616785158630999
1,3882,69316,50000,-8609888084455064,-5721036799518102,4394590874053482,3493274043084789
1,3883,65002,50000,-2699857848940885,-5074288876696864,6754839163353505,971374181185501
1,3909,104183,50000,-3806196380547709,-8961379646723425,7455571087665467,4104006053551690
1,3883,71549,50000,-5992789314234495,-8144694818835307,6422698040192734,2841371554655507
1,3883,65110,50000,-5502575553243121,-2167951592864672,6862308915436863,4850711983644840
1,3882,72543,50000,-2347540834533075,-7571159656370880,7080805566218132,8332509446328396
1,3882,72100,50000,-2770490535063809,-2399156657505259,4202814213256152,4308047237803786
1,3883,65399,50000,-5496928653515741,-6134993752713033,7227654454048454,30962830633
1,4019,70059,50000,-4692112362478568,-7364259520645374,5490465879933693,1128112845095484
1,3884,67342,50000,-3569459206632489,-1219912575519811,2811285842170093,2347408457431938
1,3902,69682,50000,-5280157522645818,-2743026591917215,3553750787897781,5882776976021598
1,3885,68618,50000,-8590314590173637,-5790328793974512,1489061643121587,7517570404366918
1,3884,66811,50000,-6438080656756578,-5373043415968450,6087678893937014,8518076121198119
1,3914,79800,50000,-625007017578803,-3366666283812501,1343671283740537,3638804979429038
1,3884,65214,50000,-3006847618656274,-2348817665507265,2259377349851801,814955845657855
1,3985,73715,50000,-2924873712566700,-836121775217486,4303771554982581,7621074265208739
1,3957,70819,50000,-6975939566962896,-3302422125526429,4574774187681113,6260582656778452
1,3882,70634,50000,-856081271189420,-2648742371745514,2842657473636883,4144761860066366
1,3882,69578,50000,-5222463882539347,-8776079546806343,3192948130669023,3039936932890842
1,3883,69077,50000,-2657330866981976,-6378679448895949,1020774188597305,7600225049753377
1,4507,68554,50000,-1746429136459541,-6040549264745658,4324803652626023,1256192821567182
1,3882,73584,50000,-3341473957669723,-5172788556538642,2968743282792182,6695270219591669
1,3882,67381,50000,-1102582765439063,-6398959765531618,6147118406337896,8447179311308795
1,4913,66918,50000,-361826711405530,-8335161858057122,698818393902503,1050663059476324
1,3882,67178,50000,-7576654595774758,-2109506064099964,4465929720969549,2289435012168938
1,3882,72868,50000,-510017634442532,-733907665887713,3538600034850559,7766946223480203
1,3958,63274,50000,-6981739080121665,-2816528172972806,7670175382540109,2828613604859137
1,3882,68015,50000,-1192592310776618,-1271105921875275,4322968637467276,931095249496968
1,3882,64405,50000,-4835579188562768,-1700725437487673,773667636552645,6686169393774800
