elapsed.ps,repeats.n,param.min.vector2,param.max.vector2
66591,100000,-1.99458879e+38; 3.96230588e+37,-2.59376803e+37; 2.02327562e+38
79288,100000,3.10099809e+38; -3.37243636e+38,-2.8720397e+38; -8.07985585e+37
71861,100000,-1.34053924e+37; 6.80843095e+36,1.68223766e+38; -2.30342843e+38
67234,100000,2.57133047e+38; 2.84516774e+38,-1.12291462e+38; -2.50432428e+38
70238,100000,1.75639075e+37; 2.4489531e+38,3.03183386e+38; -1.48236283e+38
66184,100000,1.55690476e+37; -1.20837617e+38,-1.72483396e+38; -1.16427156e+38
68000,100000,1.27507863e+38; 1.81323855e+37,-5.44667123e+37; 3.39289137e+38
66222,100000,2.85086527e+38; 1.71393156e+37,2.5807411e+38; 1.61794734e+37
65536,100000,2.0929023e+37; 1.31314983e+38,-1.47757678e+38; -9.91826258e+37
75149,100000,-1.25125177e+38; 1.23502959e+38,-1.22566733e+38; 3.07265768e+38
63963,100000,2.94685908e+38; -1.23588561e+38,1.71288638e+37; -2.14373732e+38
62427,100000,-1.12745209e+38; -1.96147188e+38,1.41966239e+38; -1.96604414e+38
63800,100000,1.21840339e+37; -3.04681363e+38,-2.84702135e+38; -9.8341636e+37
62317,100000,-1.39612374e+38; -1.99315178e+38,1.98006111e+38; 9.39220584e+36
63608,100000,-1.14275304e+38; 3.04194768e+38,-8.26107969e+37; -2.39803817e+38
62236,100000,1.66472795e+38; 2.81610954e+38,2.46794494e+38; 1.27797404e+38
63608,100000,3.28505568e+38; -2.95854945e+38,9.32137054e+37; -1.32648399e+38
63285,100000,7.84883616e+37; -6.20542097e+37,1.86505559e+38; 9.84504511e+37
69758,100000,3.35441179e+38; 8.81131459e+37,-1.04595382e+38; -2.90199723e+38
69738,100000,1.6571112e+38; 1.89632559e+38,1.84023337e+38; 5.74652067e+36
67721,100000,-2.01915079e+38; -4.2145904e+37,-1.26898184e+38; 1.81443739e+38
64318,100000,-2.47904043e+38; -2.17662322e+38,3.20761785e+38; 1.30413511e+38
73458,100000,-6.84741247e+37; 2.50642878e+38,-1.42227172e+38; -1.18317021e+38
68278,100000,3.17420238e+38; -2.7402012e+38,2.31832262e+38; 3.15668375e+37
74773,100000,-3.21211324e+38; -2.68280344e+36,-3.87411644e+37; -1.04997154e+37
73630,100000,-1.78609029e+38; 1.91578169e+38,8.99474464e+37; -3.88363827e+37
66358,100000,-1.09632215e+38; 7.35334197e+37,3.39905682e+38; 2.99233407e+38
70820,100000,2.40435847e+37; 4.62893671e+37,-1.21483916e+38; -2.93442414e+38
64368,100000,2.12051193e+38; 1.70845105e+38,2.5525737e+38; -1.89445332e+38
66413,100000,-1.56769772e+38; 1.53549949e+38,2.93561654e+38; -2.35752613e+37
65855,100000,-2.15009808e+38; 2.63443269e+38,2.70703236e+38; 1.28603103e+38
63091,100000,2.67847067e+38; -1.37421732e+38,2.13757755e+38; -4.28650219e+37
64934,100000,-1.84662152e+38; 3.18806845e+38,-1.00590387e+38; 1.86830057e+38
63051,100000,-2.4900907e+38; -8.62306644e+37,-9.34883698e+37; 3.18427873e+37
66147,100000,9.99877868e+37; 1.95118099e+38,2.0523608e+38; 1.26242281e+37
64265,100000,1.06960362e+38; 1.77264994e+38,-1.18543677e+38; 2.20421317e+38
63768,100000,-3.38014124e+38; 2.53030909e+38,1.82054787e+38; 5.1109142e+37
64225,100000,1.74450945e+37; 8.25290233e+37,-2.62188194e+38; -8.22798792e+37
63721,100000,7.92384508e+37; -1.02404111e+38,-1.00871938e+38; -5.07647467e+37
66155,100000,2.37889827e+38; -3.330138e+38,8.38123319e+37; 5.4281752e+37
71348,100000,-1.98230016e+37; -2.01793506e+38,3.31521005e+37; -1.79837899e+38
62631,100000,-2.00035021e+38; 6.48939397e+37,3.07610529e+37; -2.0055058e+38
74609,100000,-2.39288481e+38; -1.75199677e+38,-2.96531668e+38; 2.34774976e+38
64573,100000,1.09532141e+38; -1.35341234e+38,-3.29224945e+38; 2.38774287e+37
83655,100000,1.68376989e+38; 3.16442382e+38,-2.44127012e+38; -1.55729578e+38
69888,100000,-2.15072684e+38; -3.17092109e+38,2.32373944e+38; 2.85960253e+38
79199,100000,2.27276224e+38; 7.33191715e+37,-2.83372035e+38; 1.36107513e+38
91049,100000,-2.10733141e+38; 1.23919945e+38,-1.98038259e+38; 1.87992848e+38
70414,100000,-2.06889056e+38; 1.16356148e+38,3.03809504e+38; -1.92124212e+38
66103,100000,-1.19865248e+38; -2.83181441e+38,-1.53078069e+38; 5.99010189e+37
63909,100000,6.03647965e+37; -8.03490293e+37,3.17107138e+38; -2.97938177e+37
66235,100000,-3.23510761e+38; -4.21049057e+37,1.95858508e+38; 1.21682073e+37
64403,100000,1.41430986e+38; -2.27836506e+38,-1.97905693e+38; -7.68851436e+37
63833,100000,-2.1551624e+38; -3.03881202e+38,-2.28695952e+38; 2.03998001e+38
65476,100000,1.2108629e+38; -1.38504529e+38,1.21187347e+38; 2.898275e+38
65561,100000,-9.968997e+37; 9.29654132e+36,2.51916877e+38; -1.68084618e+38
62775,100000,2.14232404e+38; 8.99239391e+37,1.65215083e+38; 2.69321416e+38
65247,100000,1.74448336e+38; 5.29194028e+37,-2.32162622e+38; -3.23968211e+38
64590,100000,-9.22118253e+37; 3.28838783e+37,-4.44584892e+37; 1.54899815e+38
67840,100000,4.08983077e+37; -1.45764952e+38,-3.39689573e+38; 1.7824788e+38
70917,100000,-1.79426917e+38; -3.38238001e+38,4.64211267e+37; 2.82141603e+38
70332,100000,2.9458551e+38; 2.70909813e+38,-2.44752806e+38; 1.37104353e+38
63507,100000,2.86995629e+38; -1.64899266e+38,-2.31760706e+37; -2.41914567e+38
65749,100000,-3.19269466e+38; -2.75790409e+38,5.72162059e+37; 1.07987767e+38
63698,100000,-2.98477486e+37; -2.88511131e+38,-1.71433809e+37; 2.41624548e+38
64772,100000,2.74733797e+38; 1.78897526e+38,-1.59760667e+38; 3.10876747e+38
64802,100000,-2.82054064e+38; -2.86165004e+38,6.6339467e+37; -1.02718702e+38
63240,100000,2.26023157e+38; 7.43015449e+37,-1.71160314e+38; 1.01539959e+38
66972,100000,-3.21526959e+38; 2.55614624e+38,-2.62399111e+38; 1.34745225e+38
69527,100000,2.11454058e+38; 3.08017718e+38,-2.58868024e+38; 7.31827064e+37
64588,100000,4.543628e+36; 7.1789822e+37,-2.59249334e+38; -1.71481668e+38
67366,100000,-1.45085045e+38; -1.56176673e+38,-1.94669878e+38; -3.36193048e+38
64737,100000,-8.37055095e+37; -1.46871494e+37,3.11892957e+38; -2.48355631e+38
68117,100000,-2.17080967e+38; -3.12805523e+38,-1.96224991e+38; -2.46642254e+38
65273,100000,2.45246967e+38; -6.44427625e+37,2.70141637e+38; -2.83349663e+38
66881,100000,-2.43972684e+38; -3.11020367e+38,3.28858361e+38; 3.11864865e+38
64799,100000,-2.42476612e+38; 9.27474977e+36,2.48929583e+38; 3.11980374e+38
69948,100000,-1.00428136e+37; -3.19413735e+38,3.18731556e+38; 5.59300781e+37
66981,100000,1.77274466e+38; 1.81305291e+38,1.85769607e+37; -2.39837587e+38
71460,100000,1.56543795e+38; -1.0552455e+38,-3.24217826e+38; -1.14790822e+38
70104,100000,-1.96968199e+38; -1.61580161e+38,-5.7017844e+37; -9.49747852e+36
71993,100000,1.89977644e+38; 3.14261333e+37,5.25369983e+37; 3.25284803e+38
69513,100000,-9.76032752e+37; 1.54525158e+38,3.3051233e+38; 2.84578169e+38
72427,100000,2.59251118e+38; 2.43943416e+38,-3.11807973e+38; -2.49163236e+38
69337,100000,-2.18476412e+37; 1.08486623e+38,9.51396926e+37; -1.8229487e+38
65946,100000,-2.36104812e+38; -8.6002031e+37,-5.49062372e+37; -3.33182692e+38
69485,100000,1.46841613e+38; -2.40949469e+38,1.60858543e+38; 1.04539129e+38
67201,100000,-3.87733171e+37; -5.84713879e+37,2.10947455e+37; -2.00784193e+38
68484,100000,-7.5384225e+37; -1.41993499e+38,1.44604007e+38; -3.01107724e+38
65132,100000,6.87542146e+37; 2.37454039e+38,-1.51444554e+38; 2.84893885e+38
65458,100000,1.79727928e+38; 1.81918347e+38,-3.02368154e+38; -3.40167371e+37
63630,100000,-2.50134784e+38; -1.44475945e+36,9.86427994e+37; 1.07662519e+38
65191,100000,2.77243705e+38; -1.83059983e+38,1.26543759e+38; 9.04323684e+37
64789,100000,1.49203023e+38; 2.46141725e+38,1.08136569e+38; 1.69285296e+38
74921,100000,1.10601004e+38; 1.35098058e+38,-5.4240097e+37; 5.13027832e+37
64157,100000,-4.99503826e+37; 8.9642186e+37,1.14298872e+38; -3.1918933e+38
63989,100000,-3.12054222e+38; -2.33640297e+38,-3.16966297e+38; -1.0580249e+38
63941,100000,-1.84516929e+38; 2.70987697e+36,-1.83986098e+38; 1.96097374e+38
62466,100000,8.1883206e+36; -3.0231181e+38,-7.79704503e+37; -1.65088957e+38
75100,100000,1.49939893e+38; 1.99142616e+38,9.47446926e+37; 1.61643442e+38
