runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3567,51751,50000
1,3588,49220,50000
1,3828,53214,50000
1,3835,52050,50000
1,3750,58754,50000
1,3830,57948,50000
1,3628,44072,50000
1,3711,51258,50000
1,3634,49099,50000
1,3643,51997,50000
1,3576,44195,50000
1,3762,57041,50000
1,3598,48947,50000
1,3754,48351,50000
1,4628,62694,50000
1,3646,63103,50000
1,4068,55939,50000
1,4419,44367,50000
1,3685,50521,50000
1,3619,53401,50000
1,3824,48379,50000
1,3641,46399,50000
1,3775,63260,50000
1,3848,64489,50000
1,3723,45937,50000
1,3674,66641,50000
1,4509,44029,50000
1,3604,63128,50000
1,3612,57350,50000
1,4556,52520,50000
1,3562,56963,50000
1,3783,60866,50000
1,3865,56229,50000
1,3697,43793,50000
1,3970,44072,50000
1,3869,60527,50000
1,4007,47140,50000
1,4088,52692,50000
1,3813,44734,50000
1,3697,44515,50000
1,3634,64299,50000
1,4352,44588,50000
1,3667,59599,50000
1,4002,51338,50000
1,3692,61190,50000
1,3644,55637,50000
1,3561,45404,50000
1,3792,47013,50000
1,3604,45342,50000
1,3621,45372,50000
1,3883,59766,50000
1,3804,47265,50000
1,3511,55019,50000
1,3685,46502,50000
1,3620,46583,50000
1,3699,56046,50000
1,3614,46703,50000
1,3623,58080,50000
1,3494,45498,50000
1,3550,44879,50000
1,3652,62736,50000
1,3633,60316,50000
1,3571,45765,50000
1,3614,53021,50000
1,3625,52991,50000
1,3676,56198,50000
1,3648,54621,50000
1,3624,46851,50000
1,3865,45235,50000
1,3602,44566,50000
1,3650,47782,50000
1,4545,51371,50000
1,3763,49174,50000
1,3649,63366,50000
1,3708,65763,50000
1,3723,44922,50000
1,3645,67212,50000
1,3641,57673,50000
1,3611,45619,50000
1,3687,47277,50000
1,3790,45799,50000
1,3696,47278,50000
1,3667,49988,50000
1,3929,49828,50000
1,3642,50267,50000
1,3614,49702,50000
1,3835,51882,50000
1,3658,53844,50000
1,3573,46802,50000
1,4248,52197,50000
1,3761,54842,50000
1,4029,67182,50000
1,3933,60856,50000
1,3586,43394,50000
1,3518,50472,50000
1,4550,44734,50000
1,3708,61961,50000
1,3716,63832,50000
1,4768,61005,50000
1,4379,61770,50000
2,3493,48029,50000
2,3524,42205,50000
2,3893,48708,50000
2,3408,54338,50000
2,4396,42543,50000
2,4128,49882,50000
2,3467,49763,50000
2,4561,45412,50000
2,3510,44592,50000
2,4396,47837,50000
2,3692,41736,50000
2,3504,44177,50000
2,3546,42489,50000
2,3367,41779,50000
2,3466,48735,50000
2,3504,42102,50000
2,3534,42981,50000
2,3487,44445,50000
2,3410,41233,50000
2,3437,41825,50000
2,4274,40603,50000
2,3449,43198,50000
2,3469,41923,50000
2,3469,44525,50000
2,3489,44407,50000
2,3956,42073,50000
2,3498,55591,50000
2,3410,41271,50000
2,3464,44969,50000
2,3416,43832,50000
2,3435,46135,50000
2,3497,44566,50000
2,3412,44945,50000
2,3556,44158,50000
2,3805,58173,50000
2,3953,42774,50000
2,3545,43170,50000
2,4005,45688,50000
2,3519,43710,50000
2,3532,43257,50000
2,3510,43850,50000
2,3446,42655,50000
2,3548,50045,50000
2,3496,54002,50000
2,3609,45075,50000
2,3563,51434,50000
2,3416,44849,50000
2,3463,41424,50000
2,3442,44106,50000
2,3416,44098,50000
2,3415,44931,50000
2,3464,40980,50000
2,3440,49126,50000
2,3471,48906,50000
2,3591,51402,50000
2,3484,44518,50000
2,3410,44200,50000
2,3457,45100,50000
2,3444,43110,50000
2,3820,45974,50000
2,3569,44963,50000
2,3982,54250,50000
2,3540,58799,50000
2,4142,44066,50000
2,3479,43530,50000
2,3440,43024,50000
2,4092,40333,50000
2,3468,41305,50000
2,3395,41372,50000
2,3399,41471,50000
2,3505,41150,50000
2,3787,43018,50000
2,4009,41937,50000
2,3519,51144,50000
2,3437,45837,50000
2,3426,42930,50000
2,3390,43476,50000
2,3462,44383,50000
2,3370,41265,50000
2,3404,43874,50000
2,3367,43693,50000
2,3385,41596,50000
2,3483,44538,50000
2,3430,43847,50000
2,3466,42504,50000
2,3475,41832,50000
2,3426,45064,50000
2,3975,42725,50000
2,3447,45567,50000
2,3525,59100,50000
2,3399,42627,50000
2,3418,50397,50000
2,3408,45181,50000
2,3432,45245,50000
2,3373,41305,50000
2,3511,65137,50000
2,3607,63384,50000
2,4202,63096,50000
2,3474,61383,50000
2,3505,62854,50000
3,3682,63354,50000
3,3722,66476,50000
3,3883,68167,50000
3,3782,54268,50000
3,3708,65862,50000
3,3763,63479,50000
3,3631,60698,50000
3,3590,62945,50000
3,3616,46161,50000
3,3622,60282,50000
3,3602,58562,50000
3,3860,56112,50000
3,4246,55049,50000
3,3671,59345,50000
3,4282,57055,50000
3,3561,46416,50000
3,3639,46620,50000
3,3785,49006,50000
3,3596,49777,50000
3,3626,62517,50000
3,4018,44473,50000
3,4129,58704,50000
3,3618,52582,50000
3,4367,57907,50000
3,3671,64190,50000
3,3677,61452,50000
3,4426,58677,50000
3,3563,58387,50000
3,4091,46112,50000
3,3807,49071,50000
3,3581,54485,50000
3,4007,55043,50000
3,3711,58413,50000
3,3694,60102,50000
3,3519,45213,50000
3,3799,60721,50000
3,3566,60300,50000
3,3484,57514,50000
3,3677,54537,50000
3,3666,55849,50000
3,3608,57135,50000
3,4203,62541,50000
3,3526,59015,50000
3,3532,59558,50000
3,3726,66106,50000
3,3644,62533,50000
3,3886,64754,50000
3,3520,60193,50000
3,3481,45194,50000
3,3460,45733,50000
3,3501,44101,50000
3,3531,46429,50000
3,3546,62842,50000
3,4231,42997,50000
3,3605,47327,50000
3,3518,44491,50000
3,3510,42820,50000
3,3626,52486,50000
3,3598,47538,50000
3,3659,46200,50000
3,3527,46227,50000
3,3618,45196,50000
3,3711,44888,50000
3,3545,57335,50000
3,3630,43190,50000
3,3578,47081,50000
3,3637,57964,50000
3,3546,45687,50000
3,3531,48894,50000
3,3534,45974,50000
3,3588,46828,50000
3,4247,44079,50000
3,4141,43768,50000
3,3542,53640,50000
3,3729,42458,50000
3,3484,49094,50000
3,3511,45233,50000
3,4289,41587,50000
3,3510,44997,50000
3,3537,44685,50000
3,3848,44909,50000
3,3886,43216,50000
3,3580,47307,50000
3,3760,56444,50000
3,3601,60384,50000
3,3489,46994,50000
3,3676,44982,50000
3,3692,58157,50000
3,3600,45928,50000
3,3767,45707,50000
3,3523,50748,50000
3,3650,61594,50000
3,3853,47528,50000
3,4006,45917,50000
3,3536,47786,50000
3,3991,50285,50000
3,4100,50883,50000
3,3510,46449,50000
3,3680,43868,50000
3,3519,42421,50000
4,3426,49459,50000
4,3407,42362,50000
4,3436,58622,50000
4,3387,58735,50000
4,3419,58545,50000
4,3364,47286,50000
4,3351,43041,50000
4,3347,45470,50000
4,3372,45607,50000
4,3422,44614,50000
4,3349,45338,50000
4,3389,46515,50000
4,3439,43378,50000
4,3355,41252,50000
4,3401,46069,50000
4,3325,44110,50000
4,3353,42172,50000
4,3362,41319,50000
4,3949,45709,50000
4,3437,43442,50000
4,3339,40303,50000
4,3402,58143,50000
4,3339,40107,50000
4,3464,40652,50000
4,3461,59683,50000
4,3411,59672,50000
4,3530,59437,50000
4,3429,59221,50000
4,3389,39846,50000
4,3386,40460,50000
4,3350,40623,50000
4,3347,40752,50000
4,3381,40509,50000
4,3350,42867,50000
4,3487,41754,50000
4,3321,41007,50000
4,3308,43102,50000
4,3293,45499,50000
4,3317,44320,50000
4,3805,44772,50000
4,3339,43296,50000
4,4030,43779,50000
4,3426,42904,50000
4,3397,43595,50000
4,3580,58948,50000
4,3348,39833,50000
4,3424,40060,50000
4,3952,49840,50000
4,3298,40082,50000
4,3303,40046,50000
4,3329,46542,50000
4,3717,40134,50000
4,3465,44200,50000
4,3992,44746,50000
4,3380,44400,50000
4,3417,41920,50000
4,3465,45083,50000
4,3296,46455,50000
4,3351,60994,50000
4,4014,42347,50000
4,3316,41347,50000
4,3310,41872,50000
4,3535,41105,50000
4,3295,41569,50000
4,3389,42238,50000
4,3408,58967,50000
4,3378,50978,50000
4,3316,39892,50000
4,3351,44665,50000
4,3363,44844,50000
4,3413,45798,50000
4,3928,43978,50000
4,3375,41824,50000
4,3389,50706,50000
4,3343,41278,50000
4,3402,40560,50000
4,3437,40768,50000
4,3375,41619,50000
4,3448,47253,50000
4,3484,48020,50000
4,3294,40646,50000
4,3310,40977,50000
4,3384,46332,50000
4,3464,44977,50000
4,3456,45578,50000
4,3532,45101,50000
4,3377,44507,50000
4,4051,42765,50000
4,3407,42785,50000
4,3397,43674,50000
4,3369,42675,50000
4,3398,41661,50000
4,3339,41122,50000
4,3952,50047,50000
4,3372,41802,50000
4,3372,41543,50000
4,3339,44173,50000
4,3391,46581,50000
4,3349,41830,50000
4,3477,42719,50000
5,3883,48243,50000
5,3882,51289,50000
5,4215,58483,50000
5,4091,56953,50000
5,3961,50997,50000
5,3917,53790,50000
5,4221,67167,50000
5,4117,66780,50000
5,3898,51907,50000
5,4217,51882,50000
5,3906,48867,50000
5,3882,52522,50000
5,4104,56420,50000
5,3893,52127,50000
5,3900,57670,50000
5,4248,54867,50000
5,3898,48450,50000
5,3931,53251,50000
5,4079,57433,50000
5,3885,54966,50000
5,3885,53818,50000
5,4232,52437,50000
5,3883,55018,50000
5,3920,57177,50000
5,4466,56364,50000
5,3946,50185,50000
5,3884,53833,50000
5,4061,53476,50000
5,3883,53764,50000
5,4115,59807,50000
5,4233,59824,50000
5,3885,55492,50000
5,3882,61734,50000
5,4112,55337,50000
5,3952,55654,50000
5,3975,56225,50000
5,3885,56831,50000
5,3885,57502,50000
5,4209,59198,50000
5,4045,56542,50000
5,3885,52893,50000
5,3882,52284,50000
5,4050,54371,50000
5,3949,56119,50000
5,3884,56422,50000
5,3884,50748,50000
5,3885,49749,50000
5,3901,61915,50000
5,3885,54449,50000
5,3884,57550,50000
5,3885,54150,50000
5,3885,57149,50000
5,3909,52997,50000
5,3884,67558,50000
5,4110,50074,50000
5,3891,55494,50000
5,3886,54029,50000
5,3883,54819,50000
5,3994,59600,50000
5,3883,50095,50000
5,3883,52493,50000
5,3908,55678,50000
5,4055,57526,50000
5,3885,57082,50000
5,3931,54345,50000
5,3885,56747,50000
5,4264,55809,50000
5,3883,53959,50000
5,3886,56263,50000
5,4138,54068,50000
5,3894,57190,50000
5,3886,54008,50000
5,3884,55874,50000
5,3882,57385,50000
5,3884,59849,50000
5,4157,57936,50000
5,3885,56541,50000
5,3940,51446,50000
5,4140,57310,50000
5,4166,59002,50000
5,3893,54758,50000
5,4036,61842,50000
5,3884,54143,50000
5,3894,53669,50000
5,4208,57784,50000
5,3957,56444,50000
5,4370,56517,50000
5,4179,50243,50000
5,3885,53033,50000
5,3885,55630,50000
5,4066,55087,50000
5,3885,54932,50000
5,3974,59047,50000
5,4065,55731,50000
5,3963,59633,50000
5,3884,53292,50000
5,4089,54050,50000
5,3884,55925,50000
5,3887,50150,50000
5,4073,54994,50000
6,3883,49444,50000
6,4137,50318,50000
6,3883,55081,50000
6,4110,62585,50000
6,4274,57931,50000
6,3882,50649,50000
6,5042,61317,50000
6,4021,56188,50000
6,4829,76077,50000
6,3883,66170,50000
6,4148,62256,50000
6,4068,72297,50000
6,4119,63410,50000
6,4222,61420,50000
6,3971,66660,50000
6,4002,73816,50000
6,4135,55030,50000
6,3883,53915,50000
6,4004,56510,50000
6,4211,62802,50000
6,3882,56128,50000
6,4853,59633,50000
6,4442,58638,50000
6,3882,58107,50000
6,3965,56692,50000
6,4112,55289,50000
6,3887,57821,50000
6,4868,57146,50000
6,5056,54940,50000
6,4964,57461,50000
6,3883,54229,50000
6,5167,53669,50000
6,4852,57879,50000
6,3883,54628,50000
6,4156,54003,50000
6,3882,56996,50000
6,4869,55719,50000
6,5124,54933,50000
6,3884,55502,50000
6,4853,54966,50000
6,5125,59399,50000
6,4409,61471,50000
6,4958,55349,50000
6,5173,63397,50000
6,4404,58616,50000
6,4115,56142,50000
6,4398,61628,50000
6,4089,62166,50000
6,4053,55489,50000
6,4207,63528,50000
6,4271,61465,50000
6,4161,60092,50000
6,5172,60477,50000
