elapsed.ps,repeats.n,param.x.float,param.y.float
32908,100000,6.489222884125054e+307,-1.3669871921972918e+308
28922,100000,2.406237711693271e+307,9.246833941951093e+307
28091,100000,-1.152582276413796e+308,-4.69007613301644e+307
30948,100000,-8.292395368717163e+307,-2.921594285400792e+307
28671,100000,1.6481338709609562e+308,1.5844365367209447e+308
31984,100000,1.6568941689878217e+308,1.1260164871973271e+308
29046,100000,-6.234599676758339e+307,1.950047689977992e+307
28126,100000,1.5969706530525353e+308,-1.1590975769717203e+308
32983,100000,-1.2835388700543942e+308,-1.5915031721607649e+308
39002,100000,-1.0149588094814878e+308,-1.1014431346449073e+308
30470,100000,-1.1267371720813363e+308,-3.402823441178618e+306
28955,100000,1.0251809678081928e+308,-1.3726046538019416e+308
29435,100000,-2.95007468791496e+307,8.797383015712112e+307
31671,100000,1.2959919968439884e+308,1.3771754043777572e+308
31668,100000,-1.7835867334107244e+308,-4.595050185407481e+307
28873,100000,-1.6559760105293492e+308,-4.074693604277554e+307
28658,100000,-7.628013967447845e+307,-6.783115378760198e+307
29452,100000,-2.6475046031381757e+307,4.078289991317502e+307
35792,100000,-6.974762231333599e+307,-1.3776041475703685e+308
30361,100000,1.6601548881761723e+308,-6.505288485374666e+307
29199,100000,-5.090719450834343e+307,-1.221493841009773e+308
32433,100000,1.7518130148132562e+308,1.9008426468741888e+307
30236,100000,-5.785951531681239e+307,1.3181537372011214e+308
29063,100000,-5.519468957803834e+307,1.6653250071479489e+308
29468,100000,1.1498413362894406e+307,-5.036955159728038e+307
29799,100000,-4.0843085805321657e+307,6.382002311770373e+307
30854,100000,-1.3909038516209515e+308,-2.808635431359859e+307
33764,100000,-7.004063969371644e+307,-7.564823173428206e+306
29178,100000,-7.088153613844583e+307,1.1439720964537848e+308
29666,100000,-7.505713670770732e+307,1.0546193995662392e+308
43028,100000,1.612473623371557e+308,6.174943040409264e+307
42530,100000,1.5901888885851502e+308,-1.3233008443665587e+308
35183,100000,-9.110185794971002e+307,-1.0975016392518463e+308
28249,100000,-1.159218940260887e+308,3.4722305603512005e+307
28896,100000,1.4655444869955061e+308,-2.8243113485545696e+307
29746,100000,6.008993056537889e+307,5.413837116918064e+307
29893,100000,-9.093401001856736e+307,-5.174844989526488e+307
28781,100000,-6.766498440727142e+307,9.317728161071058e+307
28084,100000,1.6435579464133743e+308,-4.0698691453509345e+307
30501,100000,1.007357262764038e+308,6.417769984676435e+307
31717,100000,-1.5081227136769757e+308,2.139195677398162e+307
29133,100000,-1.7496274459693706e+308,6.34705310953467e+307
29250,100000,-3.270421380625271e+307,1.0785797793436544e+308
29707,100000,-1.2957326502433123e+308,-1.4899012474065541e+308
30555,100000,-6.487865175841667e+306,-1.7227141594064772e+308
31244,100000,-7.665470922118687e+307,-1.4633616943036356e+308
35195,100000,9.52362962354907e+307,1.2774982188971194e+308
28327,100000,-1.4002787228915926e+308,-1.1007387503331583e+308
29687,100000,1.7125280365875693e+308,1.321457910390153e+308
40526,100000,-1.7214912503139696e+308,-1.6692171897413212e+308
30892,100000,-5.904559346013206e+307,-4.4327896094330127e+307
34781,100000,1.5796475443683433e+308,-4.040972944731997e+307
43017,100000,-1.324111899387146e+308,-9.556459004816436e+307
41085,100000,-1.5250591437312644e+308,1.8875351007302867e+307
29084,100000,9.03180346577879e+307,-9.756956242688356e+307
36765,100000,-9.557317643060496e+307,1.7970086805131977e+308
43574,100000,-4.460683948113695e+307,1.5549322349764066e+308
39955,100000,-1.2309437281274598e+308,1.5712972552446893e+308
29012,100000,9.347746139788348e+307,1.6411191851368514e+308
30124,100000,-9.94023335054306e+307,-1.2474973815719674e+308
29576,100000,-1.431571005632774e+308,1.3501202235781703e+308
29094,100000,3.16722852588531e+307,-3.673184301246963e+307
28366,100000,-9.62613123769267e+307,-3.9163192629317877e+307
29167,100000,-1.9509136838901493e+307,-1.608494529104605e+308
29263,100000,1.1406222972852645e+308,9.179981279379492e+307
31327,100000,8.606658585867525e+307,1.3268654954480524e+308
30067,100000,3.442376432419471e+307,-1.1882817388092095e+308
29072,100000,3.1236366208026207e+307,3.306092724916917e+307
29145,100000,5.594656615085834e+307,1.4033773638203175e+308
44998,100000,4.207295341991847e+307,9.702400342533803e+307
36689,100000,-1.0733888838630066e+308,-9.646326108232132e+307
28275,100000,-1.0118265621170105e+308,1.07893546366423e+308
37113,100000,1.4348339040435499e+308,-1.1059670628120478e+308
42904,100000,-1.3477332558855328e+308,1.258036820983571e+308
34757,100000,-1.2505719849222622e+308,-1.7211669661727445e+308
28178,100000,-4.4171405033521685e+307,1.5678917087045182e+308
28356,100000,-7.874183810363429e+307,-4.06181217453002e+307
33819,100000,-2.838565583607561e+307,-1.31939732489067e+306
39404,100000,9.625358753380498e+307,-1.283919854760465e+308
28531,100000,-4.4078186958440565e+307,1.148976516759623e+308
33861,100000,-7.771977480735128e+307,-1.5647401806522456e+308
29479,100000,1.5801030167296928e+308,7.391879263359021e+307
32575,100000,1.5732941511391342e+308,-1.1990038031098888e+308
29472,100000,6.367497440609498e+307,1.5206972347047772e+308
28215,100000,1.6548791606312314e+308,2.4852190356898253e+307
33243,100000,-1.1233297050217824e+308,7.809115585431312e+307
28982,100000,-2.103500629368864e+307,6.266868752013184e+306
32629,100000,-8.979604650868946e+306,1.214830133275292e+308
28696,100000,1.6716904137911172e+308,-1.4930237731529189e+308
29801,100000,8.194191094835307e+307,-6.928890898157401e+307
31041,100000,6.03025453285038e+306,1.473539183302001e+308
34074,100000,6.119017119803447e+307,-6.057288748788445e+306
29062,100000,1.081031330531733e+308,-1.13535978041597e+307
28840,100000,9.910892542224021e+307,6.128172476817748e+307
29223,100000,9.691361293413013e+307,7.720989770333227e+307
37958,100000,-8.947151012241087e+307,-4.0180171370399567e+307
30760,100000,6.617384893742479e+307,1.4907994024290393e+308
28795,100000,3.56514026494848e+307,-1.0920723552197369e+308
29421,100000,1.7259934100187211e+308,1.1044989912321053e+308
31103,100000,-1.2127659333221756e+308,-2.6546903581956818e+307
30010,100000,1.7050813168280934e+308,-1.6839366552064057e+308
30390,100000,-9.289485578252398e+307,-1.7623069556417308e+308
28503,100000,-7.573222433681987e+307,1.0096883240944472e+308
28717,100000,1.1535696465037091e+308,4.2572935124310366e+307
