runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector2
1,3841,65062,50000,Vector2(-1.7519130062768246e+38;7.129553464719214e+37)
1,3622,53950,50000,Vector2(-1.92500349548258e+38;3.0520049150179028e+38)
1,3616,57559,50000,Vector2(2.933245322065641e+38;9.3034195907374e+37)
1,4735,73931,50000,Vector2(1.1021984664792092e+38;1.5017080858736494e+38)
1,3747,75814,50000,Vector2(-2.1548906134773452e+38;3.2575018269919887e+38)
1,3664,55451,50000,Vector2(-1.934933560400432e+38;-1.2782251387112373e+38)
1,3637,69163,50000,Vector2(1.918065897277651e+38;3.0044916465165324e+37)
1,3862,74988,50000,Vector2(-1.0007393632706704e+38;2.8839136341312554e+38)
1,3607,69335,50000,Vector2(-2.1497544988934125e+38;-1.0815328207460965e+38)
1,3762,59853,50000,Vector2(1.132024358273667e+38;2.7895846091947843e+38)
1,3974,77514,50000,Vector2(-1.7039347635352905e+38;-2.8323415512320503e+38)
1,3730,78099,50000,Vector2(7.02911193000049e+37;-1.8519221200227984e+38)
1,3837,69007,50000,Vector2(3.343683610814769e+38;-3.1132886212835284e+38)
1,3634,61988,50000,Vector2(-1.853653020858374e+38;-1.2209097872966141e+37)
1,3683,56486,50000,Vector2(-1.404889496570378e+38;1.721060621732326e+38)
1,3622,68831,50000,Vector2(2.3243868568772375e+38;3.2308176804451365e+38)
1,3693,76200,50000,Vector2(-2.3355884260531423e+38;-2.547955598632273e+38)
1,3618,71815,50000,Vector2(2.5270793200754265e+38;2.7240117817702745e+38)
1,3615,57161,50000,Vector2(1.5021407096704953e+38;-2.4877322567407264e+38)
1,3664,55352,50000,Vector2(-1.1331542913126865e+38;1.2725207110102102e+38)
1,3723,66249,50000,Vector2(2.247640855650268e+37;7.450877031804825e+37)
1,3791,69067,50000,Vector2(3.257598574085798e+38;-3.0480614061186648e+38)
1,3794,65464,50000,Vector2(-1.6412656672816875e+38;-3.74230841009025e+37)
1,3677,52923,50000,Vector2(5.458777297112405e+37;2.3492271295670218e+38)
1,3681,54141,50000,Vector2(2.941231926495271e+38;3.3289841372786185e+38)
1,3742,60031,50000,Vector2(1.8294883552324874e+38;2.5286680412196806e+38)
