elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.issigned.boolean
44845,100000,5.20363625e+37; 6.89804294e+37,-2.91505951e+38; -2.85052169e+38,true
43785,100000,-7.39368266e+37; 4.80187283e+36,1.80034109e+37; -2.46510378e+37,true
47777,100000,-3.75439242e+37; 1.45588373e+38,-2.09106512e+38; 3.27814121e+38,false
43518,100000,-1.16001794e+38; 1.32966376e+38,1.75009124e+38; 1.84910976e+38,false
43226,100000,1.11923128e+37; 1.24704405e+37,-1.67861278e+38; 7.79007346e+37,true
47417,100000,3.83326969e+37; 2.64155608e+38,1.06432543e+38; 7.91230591e+37,false
43498,100000,2.71647078e+38; -4.77510696e+37,-2.55057102e+38; 8.63630072e+37,true
44469,100000,1.32724194e+38; 2.70665491e+38,-2.45944195e+38; -1.11676326e+38,false
44642,100000,1.87680793e+37; 6.38070459e+37,2.56222022e+38; 9.97950025e+37,true
43700,100000,4.48678947e+37; 1.33304697e+38,1.58431702e+38; 3.97872068e+37,false
43763,100000,-2.87398479e+38; -2.58059669e+38,-2.79349729e+38; -2.72790479e+38,false
48109,100000,-1.99407869e+38; 2.37206593e+38,6.74223246e+37; -2.30369332e+38,false
44241,100000,-3.2373332e+38; 2.40823824e+37,-2.06289893e+38; 1.92774487e+38,false
43487,100000,-1.58732768e+36; 2.15538834e+37,1.83875944e+38; 2.11541009e+38,false
51270,100000,2.95892204e+38; -6.12689812e+37,1.44595418e+38; -1.56769011e+38,true
43588,100000,-5.04254017e+37; -1.33824992e+38,3.04777786e+37; 1.47455897e+38,false
43784,100000,2.27165036e+38; 2.11871957e+38,2.91520366e+37; 1.49599524e+38,false
43532,100000,-1.07982382e+38; -1.56313194e+38,2.21727363e+38; -1.62272572e+38,true
43567,100000,-3.01813086e+38; -8.46787457e+37,-1.96114533e+38; 2.27640182e+37,false
43092,100000,-3.02926184e+38; 2.85496191e+38,2.77891545e+38; 2.28252518e+38,true
43549,100000,-1.34234463e+38; 2.04257718e+38,-3.38851463e+38; -2.66576009e+38,true
47845,100000,-4.24541713e+37; 4.35508412e+37,8.14094545e+37; -2.48056831e+38,false
42629,100000,2.0348802e+38; -2.83718905e+38,1.4110161e+38; 6.16616385e+37,true
