elapsed.ps,repeats.n,param.a.vector2
55380,100000,2.92363978e+38; -1.85740648e+38
55690,100000,-2.90131909e+37; 4.23688457e+37
54499,100000,-1.36443136e+38; -1.17007725e+37
55750,100000,2.90711752e+38; -6.02348268e+37
54848,100000,1.52153232e+38; 2.53893885e+38
55633,100000,9.59384544e+37; 1.48061296e+38
55384,100000,2.01581981e+38; -1.73498571e+38
55688,100000,-1.69575223e+38; -1.8233797e+38
56035,100000,1.30684443e+38; 2.78213894e+38
59864,100000,-1.015278e+38; -3.19739795e+38
57352,100000,1.41549375e+38; 1.64273685e+38
55600,100000,-2.22332123e+37; -9.13446103e+37
57080,100000,2.36590028e+38; 2.43776897e+38
56547,100000,7.31512534e+37; -4.17184751e+37
55271,100000,-2.50730843e+37; -3.04129398e+38
57247,100000,2.55940522e+38; 1.86434773e+38
55846,100000,3.14359987e+38; 2.42864737e+38
56574,100000,3.30827884e+38; 2.57579579e+37
57042,100000,-1.29912484e+37; -7.59127643e+37
56570,100000,2.45712123e+38; -2.46450322e+38
55132,100000,-2.89597802e+38; -2.70433764e+38
55298,100000,-3.31900215e+38; -1.1038237e+38
55677,100000,-8.34929397e+37; -1.3609653e+38
54994,100000,1.24947034e+37; 2.39538989e+38
55481,100000,2.18375269e+38; -9.78789841e+37
55480,100000,-2.81154742e+38; 2.40076575e+38
55461,100000,-2.25419289e+38; 3.1203394e+38
54635,100000,-1.61220381e+38; 2.26070394e+38
55637,100000,1.97012374e+38; -2.04454781e+38
59749,100000,3.05564378e+38; 2.02031459e+38
57448,100000,3.14146352e+38; -4.74679728e+37
54862,100000,2.6052601e+38; 9.79719374e+35
56342,100000,-1.37423314e+38; 2.62346762e+38
58582,100000,-2.14547755e+38; -1.95032548e+38
55778,100000,2.69445463e+38; -2.66823658e+38
55593,100000,2.76315196e+38; -3.00200979e+38
57431,100000,-1.28774654e+37; 1.56208299e+37
56532,100000,-4.58202755e+37; -8.8391958e+36
58242,100000,3.4372521e+37; -3.01195851e+38
58605,100000,-2.00998456e+38; -8.56696935e+37
55832,100000,2.78405197e+38; -2.52804334e+38
55071,100000,2.72229969e+37; 2.02179737e+37
55262,100000,1.36031931e+38; -2.73085446e+38
56376,100000,2.57745636e+38; 1.94419917e+38
56451,100000,9.02413994e+37; -1.77602656e+38
56146,100000,1.25772071e+37; -8.34544336e+37
55319,100000,1.29572082e+37; -6.9896383e+37
56041,100000,2.92614404e+38; 2.86082982e+38
56065,100000,4.93808525e+37; 1.25331276e+38
61945,100000,1.20630807e+38; -1.07232947e+38
55846,100000,-3.14397307e+38; -2.96480333e+38
58252,100000,7.56605779e+37; -4.63673681e+37
55989,100000,3.16873221e+38; 2.6441072e+38
55620,100000,-1.42219769e+38; -3.2129361e+38
57214,100000,-1.69356406e+38; -5.3356798e+37
57422,100000,1.08053067e+38; -3.88299075e+37
58145,100000,1.30224884e+38; 5.61314063e+37
54372,100000,-1.33969331e+38; -1.99541246e+38
56164,100000,-3.03299056e+38; -1.4420343e+38
58493,100000,-3.02412025e+38; 1.63063687e+38
55815,100000,-2.13576146e+38; 2.01091917e+38
55780,100000,2.06956333e+38; 2.61882802e+38
55404,100000,2.66521876e+38; -1.14143175e+38
55565,100000,-2.20698558e+38; -3.21366464e+38
56186,100000,-8.19896379e+37; 3.65338804e+37
55774,100000,2.46080979e+38; 2.17986475e+38
55878,100000,1.38401744e+36; -4.47996393e+37
56114,100000,-1.05656112e+38; 2.93434443e+38
55359,100000,-8.66817421e+35; 2.17623724e+38
60497,100000,-1.21464323e+38; 1.25927305e+38
55987,100000,2.94729454e+38; 1.04315962e+38
56677,100000,-1.45136654e+38; -8.96489705e+37
57983,100000,-2.69528439e+38; -3.29228352e+38
55894,100000,-2.70653463e+38; -1.67720328e+37
56863,100000,8.2597664e+37; -2.46152394e+38
55862,100000,-2.46663916e+38; -7.77280856e+37
56483,100000,-2.76929145e+38; 2.77689776e+38
56899,100000,5.15239527e+37; 3.12766682e+38
55832,100000,1.68350247e+38; 1.97948773e+38
60256,100000,2.87389128e+38; 2.76884017e+38
56765,100000,-2.05641302e+38; 1.34900395e+38
56058,100000,1.1488333e+38; -8.54137498e+37
55561,100000,1.59632543e+38; -8.9145338e+37
56218,100000,-2.05428725e+37; -3.18877671e+38
56130,100000,-2.31421964e+37; -2.97601727e+38
55954,100000,-3.85513362e+37; -2.68021821e+38
55137,100000,-8.69355086e+37; -1.98144113e+38
56437,100000,-3.35243608e+38; 2.37103843e+38
55221,100000,1.81104982e+38; -3.01902288e+38
58998,100000,-1.48487257e+38; -1.25639437e+38
58048,100000,2.34464797e+38; -4.99833313e+37
56260,100000,-3.10292735e+38; 9.49338971e+36
