elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
42688,100000,1.3326184e+38; 1.3435487e+38,5.02742216e+37; 1.02776578e+38
42496,100000,-1.78200683e+38; -1.54841929e+38,-2.72960344e+38; 8.21111448e+37
44312,100000,-4.67311585e+37; 2.91905413e+38,-1.43983923e+38; 2.99362687e+38
42544,100000,-1.81138955e+38; -2.68144813e+38,-1.0961392e+38; -6.48136112e+37
42549,100000,2.13591723e+38; 7.6056668e+37,-2.10120845e+37; 5.20471628e+37
42794,100000,-8.80596409e+37; -3.21461609e+38,6.37813836e+37; 1.6960158e+38
44284,100000,-7.34775416e+37; -1.13758853e+38,-5.85602654e+37; 1.88030553e+38
42572,100000,-2.34072647e+37; 3.22559253e+38,7.85991441e+37; -3.20601209e+38
43374,100000,-3.24645156e+38; 1.63477307e+38,-2.88806139e+38; -1.62199576e+38
44440,100000,1.84526746e+38; 3.66783673e+37,3.14037984e+38; 8.88947589e+37
43193,100000,-3.50880539e+37; -4.23613336e+37,1.17161735e+38; 2.72800235e+38
42838,100000,1.39557338e+38; -2.16922298e+38,-6.49348037e+37; -2.08158999e+38
42518,100000,6.69489686e+37; -2.76290127e+38,1.27996233e+38; 1.48780216e+38
42831,100000,2.3836697e+38; 8.39962325e+37,-2.97711597e+37; 1.93621034e+38
43189,100000,-1.86720147e+38; 1.4974719e+38,8.80378474e+37; 9.02628683e+37
42896,100000,1.59440884e+38; -5.51681237e+37,-4.95763242e+37; 1.16625133e+38
43079,100000,-5.19601209e+37; -2.72805893e+38,-2.90696216e+38; 9.63825885e+37
42546,100000,-2.26068386e+38; -1.40276958e+38,-2.59424837e+38; -1.09590352e+38
42885,100000,2.61204375e+38; 3.70968238e+37,1.37693101e+38; -2.55397278e+38
47043,100000,-1.98942793e+38; 2.11439597e+38,-2.36352461e+38; 2.0325601e+38
43249,100000,2.38783307e+38; 1.11452794e+38,-7.77526679e+37; -2.12490936e+38
43148,100000,2.90558316e+38; -8.48898298e+37,2.99965581e+38; -1.19793915e+38
43808,100000,2.73203266e+38; 8.11946283e+37,-1.41659214e+38; 3.1252232e+38
42662,100000,1.46505797e+38; -3.1875768e+38,1.18856573e+38; 1.76564805e+38
42748,100000,1.94091733e+37; 3.19608547e+38,2.39114763e+38; 2.56110448e+38
43775,100000,-7.0515027e+37; 3.31414695e+38,1.89286237e+38; -3.12669722e+37
42920,100000,3.25435674e+37; 3.27602595e+37,-1.06729173e+38; 1.9967294e+38
42712,100000,-1.30291005e+38; 6.7016935e+37,1.08063867e+37; -2.24723541e+38
44647,100000,-1.12013167e+38; 2.0396597e+37,2.88236527e+38; -2.15882398e+38
43893,100000,2.74005339e+37; -2.18535784e+38,2.1587463e+38; -9.22438411e+36
42593,100000,2.23374411e+37; 1.91027745e+38,1.20415773e+38; 1.88439831e+38
42593,100000,-2.74030383e+38; -1.26220153e+38,-2.06140615e+38; -3.31984838e+37
43331,100000,-1.30333385e+38; -4.2847214e+37,8.41163246e+37; 1.27836346e+38
43054,100000,6.89175945e+37; 1.25569473e+38,-1.01143255e+38; -3.2000089e+38
43188,100000,1.40919565e+38; 1.14230054e+38,6.10347245e+37; 1.50513084e+38
43102,100000,2.08945429e+38; 5.02165486e+37,-8.87288792e+37; -1.78342254e+38
42341,100000,2.76442185e+38; 4.98223752e+37,1.08437459e+38; -5.90058079e+36
42479,100000,1.04471984e+38; 3.40260766e+38,2.73516204e+37; -1.13638721e+38
42456,100000,1.19425708e+38; -2.12577156e+38,-2.30670526e+38; -2.31385582e+38
44113,100000,-2.92973018e+38; -2.67629457e+38,2.70506639e+38; -1.22374851e+38
