elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
41506,100000,-2.23250186e+38; 2.59291014e+38,2.90181712e+38; -4.20131886e+37
35744,100000,1.00236549e+37; 2.94322533e+37,-1.58002516e+38; 2.33673215e+38
34951,100000,2.78437203e+38; -4.03688455e+37,2.64333038e+38; 1.6264662e+38
37542,100000,4.99593525e+37; 1.0375999e+38,-1.11543771e+38; -3.2538228e+38
37081,100000,1.34179472e+37; 2.91752463e+38,-8.33195505e+37; 9.01522988e+37
34839,100000,-2.59647903e+38; 1.54170976e+38,-7.00612042e+36; 2.41412415e+38
34780,100000,-2.82863088e+38; 1.39744808e+38,-5.08220546e+37; -1.42207336e+38
42159,100000,2.87746606e+38; -2.42925442e+38,-2.82915478e+38; 1.80518435e+38
34633,100000,2.55456381e+38; -3.05678183e+38,-2.96384012e+38; 3.68005231e+37
37719,100000,1.41094998e+38; -2.10628564e+37,-1.08420391e+38; -2.39725785e+37
35061,100000,-1.17588213e+38; -1.40901925e+37,-2.85076366e+38; 1.16084242e+38
40078,100000,1.85887534e+38; 2.37939721e+38,8.61918933e+36; -3.84676244e+36
34952,100000,-3.34575952e+38; 1.26669834e+38,1.52833564e+38; -2.48144674e+38
37163,100000,-1.79177362e+38; 1.5650035e+38,5.47746957e+37; -2.92977034e+38
34681,100000,-1.52962923e+37; -2.97434458e+38,-3.25289184e+38; -7.49203714e+37
38515,100000,1.74727138e+38; 2.6922045e+38,-2.00338365e+38; -1.46228605e+37
34919,100000,3.3606178e+38; -3.06308398e+38,9.63304323e+37; -3.11998506e+38
35085,100000,6.19362167e+37; 2.04576314e+38,-9.34010134e+37; 5.88509529e+37
35346,100000,-2.33465746e+38; 6.63786374e+37,3.1086115e+38; 2.69704936e+38
38719,100000,-1.95734887e+38; -9.2364775e+37,2.88442942e+38; -2.86056868e+37
48519,100000,3.28338238e+38; 1.83652879e+38,-2.84144125e+38; -2.66642454e+38
35055,100000,3.39952595e+38; -3.01985354e+37,-3.22991633e+38; 7.62598762e+36
34886,100000,1.02892658e+37; -1.01894303e+38,2.86465163e+38; 2.42639095e+38
