elapsed.ps,repeats.n,param.a.vector2
44721,100000,-1.71049795e+38; 2.03076795e+38
45343,100000,3.10360803e+38; 1.22091765e+37
43951,100000,-1.48296288e+38; 1.98289342e+37
42772,100000,-2.48320543e+38; 1.91845126e+37
50697,100000,-1.86952015e+38; -2.48427674e+38
45816,100000,-1.48074175e+38; 2.7754287e+38
43602,100000,2.80617136e+38; -2.47131324e+38
45934,100000,3.18929898e+38; -4.49604636e+37
43832,100000,-2.98405276e+38; -3.22648292e+38
52072,100000,1.89796136e+38; -3.59686604e+37
44302,100000,2.61028405e+38; -1.57125911e+38
44923,100000,2.30831203e+38; -8.17530335e+37
63535,100000,-1.85609888e+38; -3.27610282e+38
44231,100000,-2.34811788e+37; -1.02041168e+38
44014,100000,2.41509689e+38; -2.56894655e+36
44213,100000,-3.03160771e+38; 5.16675522e+37
43245,100000,-2.05126535e+38; -1.5965748e+38
44085,100000,2.15572402e+38; 1.99098866e+38
44641,100000,-2.89187042e+38; -4.2834649e+37
45154,100000,1.85089745e+38; -7.10683412e+37
43361,100000,1.89592075e+38; -2.54029656e+38
44121,100000,2.03636447e+38; -1.40416531e+38
43970,100000,-2.02352758e+37; 1.83694255e+38
43575,100000,3.2801084e+38; 2.96297381e+37
43674,100000,-1.4464444e+38; 2.25899738e+38
43195,100000,2.84129096e+38; 1.18376245e+38
44096,100000,1.08548759e+38; -1.66118725e+38
42873,100000,-1.79931563e+38; -1.54954402e+37
44607,100000,-1.74268593e+38; -3.01936707e+38
45783,100000,-3.73445481e+37; -1.66309005e+38
44840,100000,2.9759112e+38; 1.68087914e+38
44065,100000,6.20001621e+37; 8.26212271e+37
46789,100000,-3.15160311e+38; 8.35094242e+37
43496,100000,4.90857029e+37; -2.61658093e+38
44124,100000,-1.27029005e+38; -1.3874447e+38
44292,100000,6.49893684e+37; 1.4597307e+38
43512,100000,-8.90094458e+37; -5.36977048e+37
44609,100000,-2.20730036e+38; 3.08108441e+38
43417,100000,-7.76319305e+36; -2.62292466e+38
46558,100000,-3.07156228e+37; 6.82026751e+37
44018,100000,-1.5899963e+38; 2.86233274e+38
45311,100000,-1.42164297e+38; 9.07419794e+37
43620,100000,-3.33248366e+38; -1.40321914e+38
44111,100000,2.85831135e+38; 2.16023685e+38
43549,100000,2.2089049e+38; 2.16037984e+38
44582,100000,3.35755997e+37; -2.19274104e+38
44097,100000,3.27702263e+38; -1.14056934e+38
43654,100000,-2.69826149e+37; -2.95948731e+38
44171,100000,2.50938758e+38; -9.66486633e+37
44359,100000,2.70325274e+38; -3.1492183e+38
43674,100000,2.84422745e+38; 5.74755013e+37
43954,100000,-1.01375246e+38; -1.8047789e+38
43495,100000,-1.67919905e+38; -3.36697471e+38
44000,100000,-7.15466512e+37; -3.39508634e+38
43227,100000,-1.80902969e+38; 2.3025356e+38
44326,100000,-5.27957682e+36; -3.90853391e+37
43085,100000,-7.58256108e+37; 3.38473054e+38
44474,100000,-2.50311251e+37; 3.33748226e+38
42836,100000,-4.51616194e+37; 2.86032783e+38
46335,100000,-2.59092855e+38; -9.87839548e+37
43600,100000,2.41576398e+38; 8.5041091e+37
44948,100000,-1.0345259e+38; 3.20774421e+38
43221,100000,-1.78595399e+38; -2.07179216e+38
44727,100000,-2.67973447e+38; 2.89131773e+38
43139,100000,-1.43582195e+37; 3.10418608e+38
44604,100000,2.23485787e+37; -2.17450675e+38
43926,100000,3.02770923e+38; 2.90369811e+38
44309,100000,-2.93004557e+38; -2.92896573e+38
42930,100000,1.36402977e+38; 3.82043042e+37
46261,100000,-2.19800726e+37; 4.46189332e+37
43766,100000,-6.3094729e+36; -2.75250071e+37
45091,100000,8.04663478e+37; 1.38829098e+38
43578,100000,-1.5306734e+38; 3.36158568e+38
45366,100000,-3.1408583e+38; 2.04213806e+38
43959,100000,2.2639971e+37; -9.35437914e+37
43820,100000,3.33736037e+38; -3.00798945e+38
44718,100000,-2.01371226e+38; -2.80664982e+38
45555,100000,-9.0190976e+36; 2.21107897e+38
44103,100000,-2.52674527e+38; 2.87075375e+37
45324,100000,-8.64842047e+37; -1.02833875e+38
42638,100000,-2.8624155e+38; -2.31178763e+38
44443,100000,-1.60146083e+38; 6.26626059e+37
42923,100000,1.46980345e+38; 3.10083989e+38
44242,100000,-1.71955891e+38; 2.04264066e+38
43064,100000,1.65402746e+37; -1.96472436e+38
44442,100000,-2.58336595e+37; 2.10473323e+38
43391,100000,-2.61110245e+38; -2.49241303e+38
43641,100000,2.815439e+38; 8.49706654e+37
44166,100000,1.25188772e+38; 6.98779565e+37
46390,100000,2.56241391e+38; 1.72038501e+38
44515,100000,-2.23026999e+38; 7.53564635e+37
45200,100000,5.47891925e+37; 2.46263075e+38
44190,100000,1.80192355e+38; 2.10816866e+38
43739,100000,-1.38678227e+38; -3.28786723e+38
44458,100000,2.98899761e+38; 3.02468877e+38
44027,100000,1.68120589e+37; -1.66522386e+38
43646,100000,3.0955334e+38; 2.13048743e+38
45038,100000,-4.12779234e+37; 1.47802419e+37
43908,100000,1.7297062e+38; 2.23992137e+38
44334,100000,2.40241592e+38; 8.29204028e+37
43922,100000,-2.95154634e+38; -1.23186949e+38
44031,100000,-1.61587714e+37; 2.28123441e+38
43589,100000,-1.64929862e+38; -2.65296007e+38
43901,100000,-2.10840698e+38; -3.44495536e+37
44450,100000,2.54478708e+38; -2.58489595e+38
45454,100000,3.26306245e+38; -3.18095358e+38
46877,100000,2.22923214e+38; -2.45775526e+38
45385,100000,-1.15525928e+38; 2.7426144e+38
44564,100000,1.12525024e+38; -1.15835346e+38
47433,100000,2.05063538e+38; 2.20511108e+38
43758,100000,7.00284418e+37; 1.91369098e+38
44633,100000,2.16128419e+37; -3.40082565e+38
44967,100000,-1.03183291e+38; -1.25572191e+38
43668,100000,-3.12530453e+38; -1.69414982e+38
44548,100000,3.27222665e+38; 1.89483709e+37
44860,100000,3.71284365e+37; -2.19270696e+38
43575,100000,-1.68718393e+38; -1.6466114e+38
44098,100000,-2.97953079e+38; -1.33182404e+38
44790,100000,-8.92250377e+37; 7.12043399e+37
48508,100000,-1.08378741e+38; 2.74985198e+38
44977,100000,3.25608753e+38; -1.88795159e+37
44350,100000,2.67184137e+37; -1.30667396e+38
45944,100000,-1.08475093e+37; 4.28720447e+37
44667,100000,1.95109834e+37; 2.45892312e+38
45063,100000,2.39703277e+38; -2.13033259e+35
43780,100000,-2.94365304e+37; 2.5433018e+38
44359,100000,3.18667809e+38; 9.06376568e+37
45071,100000,-6.34666513e+37; 1.16205409e+38
45834,100000,5.2439739e+37; -2.81559878e+37
46246,100000,-3.29750888e+38; 1.59242076e+38
44395,100000,1.34896501e+38; -9.75247518e+37
43529,100000,2.64863545e+38; -3.20879509e+37
44248,100000,-8.64068679e+37; 4.32617611e+37
44365,100000,-4.60713109e+37; 2.13914355e+38
43341,100000,2.5892658e+38; 1.87203659e+38
44438,100000,4.69401789e+37; -2.95140903e+38
44627,100000,-1.9072286e+38; -4.59141323e+37
43537,100000,1.05422242e+37; -3.48354061e+37
44554,100000,-3.21267486e+38; -7.08055877e+37
45257,100000,2.3551642e+38; 1.57652827e+38
43475,100000,-8.47863591e+37; 8.29168889e+37
44589,100000,1.22086192e+38; -1.33132307e+38
47094,100000,1.26391174e+38; 1.70279814e+38
43205,100000,1.50880744e+38; -5.39199949e+37
44743,100000,1.87044199e+38; -1.03458837e+38
44832,100000,3.25639846e+38; 6.06789406e+37
43728,100000,-3.23910122e+38; 3.33327737e+37
43716,100000,3.00726942e+38; -3.27919893e+38
44425,100000,1.51367927e+38; 2.29643364e+38
46640,100000,1.98041058e+38; 4.48111496e+37
43904,100000,-1.36775677e+38; -2.97625356e+38
43988,100000,3.42591524e+37; -9.78894397e+37
44609,100000,-1.28501113e+38; 1.57785961e+38
44374,100000,-3.09190305e+38; -1.5570602e+38
43776,100000,-4.37082061e+36; -2.20574815e+38
44768,100000,-1.84413793e+38; -2.98106861e+38
44503,100000,-2.93180872e+38; -2.25177157e+38
43860,100000,2.09508124e+38; -1.49959466e+37
44488,100000,2.53088552e+38; 5.24065012e+37
44976,100000,2.5325071e+38; -3.37823231e+37
44172,100000,2.67655155e+38; 2.10815447e+38
43493,100000,1.66039867e+38; -1.69451521e+38
44390,100000,-1.13828118e+38; 2.99358549e+38
44537,100000,-2.95265275e+38; -2.03724432e+38
45759,100000,2.42524236e+38; -2.64521604e+38
45918,100000,-1.94795101e+38; 5.98735768e+37
44437,100000,1.26089899e+38; -2.28029898e+38
45969,100000,2.26232675e+36; 3.13590467e+37
45373,100000,-5.09550819e+37; -2.1611017e+38
48580,100000,9.88283834e+37; 6.16715972e+37
47170,100000,1.69344845e+38; -3.30710489e+38
46265,100000,-2.85625309e+37; -2.38414857e+38
48829,100000,-2.77750136e+38; -1.97751445e+38
47605,100000,1.40537272e+37; 4.31029904e+37
48053,100000,-1.64121892e+38; 1.42147777e+38
46156,100000,-2.01678038e+37; -4.3605269e+37
47587,100000,9.4323929e+36; 2.28537019e+38
47517,100000,2.7003702e+38; -9.44053679e+37
46434,100000,-8.83042771e+37; 1.96325004e+38
46777,100000,-1.76051133e+38; -1.16623845e+38
45902,100000,1.25707626e+38; 3.30651893e+38
43401,100000,-1.55976111e+38; 2.25403286e+38
44379,100000,2.00693226e+38; -2.28192847e+38
45524,100000,2.33585007e+38; 7.51044698e+37
43648,100000,-1.9847648e+38; 5.07491546e+37
43478,100000,-9.25860459e+37; 1.95957669e+38
46967,100000,2.84609526e+38; 6.31308354e+37
44416,100000,4.53577909e+37; -4.01019138e+37
43336,100000,2.51563173e+38; 2.13955326e+38
45572,100000,3.35741277e+38; 2.70144557e+38
44551,100000,3.26827077e+38; 2.59681978e+38
