elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.epsilon.float
52854,100000,-2.40577428e+38; -1.50891412e+38,-7.23365357e+36; -3.22423888e+37,0.004670825404523937
51440,100000,1.64748598e+38; 2.6579177e+38,2.92900833e+38; -7.76302179e+37,0.006733071143411356
57738,100000,2.27681913e+38; -2.1588396e+38,1.06954582e+38; 3.06841318e+38,0.006054944151976676
51978,100000,-3.32558683e+38; -7.23621409e+37,-1.05308786e+38; 1.89969369e+38,0.006335732026657741
52337,100000,-2.59767569e+38; 1.10091571e+38,5.2643775e+37; -2.79218846e+38,0.005355860870404412
54323,100000,-2.70507004e+38; 3.0174658e+38,-2.83636031e+38; -5.28950639e+37,0.009991667663156066
52468,100000,3.1838994e+38; 3.10516146e+38,-6.87953322e+37; 2.32270768e+38,0.005622123706411554
52891,100000,3.94744876e+36; 1.86124435e+37,-8.85306998e+37; 3.37526515e+38,0.007569826793119737
53763,100000,-7.04121089e+36; -1.68729102e+38,2.14680219e+38; -2.88200567e+38,0.009206277937761876
80317,100000,-1.27734732e+38; 2.61532707e+38,2.43172563e+38; 3.23290758e+38,0.005297450632230804
74751,100000,8.12328125e+36; -2.07514464e+38,1.89019343e+37; 2.62333274e+38,0.007130171440481831
79255,100000,1.42857499e+38; -2.07664818e+38,3.65150508e+37; 6.24964727e+37,0.003933595643277033
80561,100000,-1.13429224e+38; 2.4470356e+38,-2.08321035e+37; 2.62646069e+38,0.0007990951081490433
76401,100000,1.35194358e+38; 2.05666595e+38,-1.36670908e+38; -1.55413822e+38,0.007737418327841867
51042,100000,-1.83788446e+38; 2.3607015e+38,1.83169062e+38; -2.65944699e+38,0.007490016550710231
50209,100000,-5.43077185e+37; -3.04462333e+38,-1.14745937e+38; -3.35194119e+38,0.007663518719646953
49554,100000,2.56376188e+38; 1.66175486e+38,2.88545347e+38; 2.52781963e+38,0.0020723874080592454
51826,100000,1.40288864e+38; 1.82493536e+38,1.53417414e+38; -1.77088254e+38,0.00013910905701949416
49055,100000,2.88430265e+38; 1.55011015e+37,-1.81520954e+38; -2.37513182e+38,0.00847481114144372
52474,100000,1.17071336e+38; -1.28693045e+38,3.01564261e+38; -1.48943297e+38,0.005483568211676664
54715,100000,-2.65799152e+38; 6.36081655e+36,1.77856997e+38; -1.69253686e+38,0.0056974756597936264
50746,100000,-3.03800093e+38; -1.40960556e+38,6.87313412e+37; 2.24707498e+38,0.0016769902319585036
