runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.alpha.float
1,3753,66645,50000,Vector2(-3.3794723282086044e+38;5.569297161163183e+37),Vector2(2.801947143496402e+38;-3.0832223829352672e+38),7.185060039690191e+307
1,3525,60435,50000,Vector2(3.2301635727354187e+38;2.353893300720438e+38),Vector2(-2.0745834267721666e+38;1.8849596806719705e+37),1.1045606064538034e+308
1,3536,62719,50000,Vector2(-2.93382722439717e+38;-1.914223191954143e+38),Vector2(1.4413541252642552e+38;-1.0604084883197973e+38),-1.0847217197817554e+308
1,3782,62112,50000,Vector2(-2.6781554847214745e+38;-6.333246795390726e+37),Vector2(1.664695906855826e+38;6.233668657495818e+36),7.701443100341977e+307
1,3710,68837,50000,Vector2(3.7146132868367036e+37;1.6418272872036126e+38),Vector2(-9.538717852790323e+37;2.940408663489459e+38),-6.703734680164414e+307
1,3997,57723,50000,Vector2(3.388584403547141e+38;-3.1078588174085348e+38),Vector2(-2.8754258513603193e+38;-2.2041475100263175e+37),-9.137228974234387e+307
1,4382,72651,50000,Vector2(3.3189037289995796e+37;-2.209244226029595e+38),Vector2(-3.0123171072018613e+38;2.8750593482187813e+38),5.870475452880441e+307
1,3815,69405,50000,Vector2(-1.501761530022955e+38;1.5124290633539956e+38),Vector2(-3.1429822717673705e+38;-2.4363664459471905e+38),-3.537250948698651e+307
1,3675,58827,50000,Vector2(-3.648503279793841e+37;-3.079504617254918e+38),Vector2(-2.8371563924478612e+38;3.390094631766229e+38),-8.797806820594837e+307
1,4294,58400,50000,Vector2(-3.741836337006725e+37;-1.0058113854402555e+38),Vector2(4.316538920186435e+37;1.056430600736281e+38),-1.5134666120302837e+308
1,3598,61452,50000,Vector2(-5.773965435292912e+37;2.6857436919204647e+37),Vector2(-1.2998305445403231e+37;2.3539346261300053e+37),-6.401177454999022e+306
1,3530,58402,50000,Vector2(-2.4079724922707504e+38;2.9539384504637668e+38),Vector2(2.808483758463467e+38;1.629226130353008e+38),1.151081896547502e+308
1,4288,65586,50000,Vector2(2.849497427395299e+38;-1.4000470712775062e+38),Vector2(-1.2417250158005537e+38;3.1174319119173623e+38),-5.139970592084392e+307
1,3620,62694,50000,Vector2(-2.5030359432589697e+37;-2.3675589798390903e+38),Vector2(-2.8516934038830865e+38;1.7748447042229053e+38),-3.8965707034876436e+306
1,3550,65500,50000,Vector2(-6.065206132454387e+37;-3.9807689533305026e+37),Vector2(1.1079838209945548e+38;9.283109799880783e+37),1.2624118674635296e+308
1,3819,77528,50000,Vector2(1.8039953946016576e+38;-3.278315027254968e+38),Vector2(-2.1820197560909016e+38;9.665239523897902e+37),1.320028508827711e+308
1,3597,63605,50000,Vector2(-2.7205114435208763e+38;-4.516873350444104e+37),Vector2(-6.849546180116721e+37;2.346833805233791e+38),-2.4770751280760453e+307
1,3585,73223,50000,Vector2(-2.5004400483598224e+37;-2.874129196914358e+38),Vector2(3.1375841084513586e+38;1.2576103004141817e+38),-9.969704695758406e+307
1,3710,65030,50000,Vector2(2.056323173405999e+38;-3.731816066072161e+37),Vector2(1.61816238015036e+38;3.2711985381973347e+38),-1.2789367818023544e+308
1,3524,60073,50000,Vector2(3.5751606922513764e+36;2.1832296018237594e+38),Vector2(-2.0788441779106177e+37;3.1050395624736272e+38),6.007596340605831e+307
1,3740,85770,50000,Vector2(2.0653456004940874e+38;-7.99988991498055e+37),Vector2(1.6754568406830913e+37;1.5870967260688789e+38),1.7360165085665862e+307
1,3748,74315,50000,Vector2(-2.978701244348865e+38;-2.502516105100828e+38),Vector2(-1.828981700640588e+38;-1.4318600307408339e+38),-4.72416171659222e+307
1,3571,73899,50000,Vector2(-2.5448319047292147e+38;-3.0476667104277777e+38),Vector2(2.1151833345480843e+38;6.493428646416285e+37),-1.568782175886957e+308
1,3516,74733,50000,Vector2(8.453028862080294e+37;1.7098288317661117e+38),Vector2(-2.2875047147816692e+38;-2.364197576095477e+38),1.1025816057985156e+308
1,3767,63100,50000,Vector2(-2.7329443577838187e+38;3.3361722232421526e+38),Vector2(-4.588153343694937e+37;2.7411587336732977e+38),4.646730855525631e+307
1,3648,68817,50000,Vector2(1.3347212836019689e+38;-2.5098051974641885e+38),Vector2(-1.963700304765387e+38;-8.892446252022927e+37),9.660663417019676e+307
1,3575,63588,50000,Vector2(2.1086820109737297e+38;-2.960687980025646e+37),Vector2(-1.0412967793984684e+38;1.656409325588158e+38),1.1259600145637217e+308
1,3840,72730,50000,Vector2(1.7215017641412053e+38;2.0067582377611713e+38),Vector2(2.8731824140340594e+38;-1.3630086532159418e+38),-2.919295239836219e+307
1,3590,58979,50000,Vector2(2.9777198799601924e+37;6.129337590440414e+37),Vector2(3.076556974667219e+38;-3.1386270806592023e+37),-4.9772248140582e+307
1,3755,66468,50000,Vector2(-6.444682410235109e+37;1.5992232745347582e+38),Vector2(-1.1339995607329187e+38;2.5431640821875064e+38),4.862832360330884e+307
1,4625,66558,50000,Vector2(1.0938651342574048e+38;1.250302751058082e+38),Vector2(5.972364416614152e+37;-1.048514781916168e+38),1.493905093183409e+308
1,3761,71322,50000,Vector2(3.816074773228371e+37;-3.2880444991418396e+38),Vector2(-8.767735800092954e+37;1.096431568956603e+38),1.2761774511085541e+308
1,3627,62647,50000,Vector2(2.3123904200689657e+38;-3.058009928029256e+38),Vector2(-4.1372170662781497e+37;1.529366396553765e+38),-1.0444859122091959e+307
1,4719,62144,50000,Vector2(5.454024621482029e+37;2.4906940970151477e+38),Vector2(-5.146416463448117e+36;7.820024492494887e+37),-1.4759403203720942e+308
1,3562,72910,50000,Vector2(6.264631403701572e+37;-6.834438320263201e+37),Vector2(4.687210603958211e+37;2.5647646455912994e+38),-9.191785427799754e+307
1,3592,62028,50000,Vector2(-2.6529217332853794e+38;1.2048357748616241e+38),Vector2(-1.5831380053624381e+38;-2.748275628379123e+38),2.3275115647211284e+307
1,3633,75801,50000,Vector2(2.39080748902318e+38;3.02714075979081e+37),Vector2(-3.9890046257500654e+37;3.085925825311338e+38),-6.966790794772538e+307
1,3587,64164,50000,Vector2(1.4511888628569699e+38;-1.6342489676793042e+38),Vector2(-1.6627781036157527e+38;1.0831256997843193e+38),4.665763321462449e+307
1,3740,59587,50000,Vector2(-8.188836279306008e+37;3.041470231469766e+38),Vector2(2.616121937772802e+38;3.0174879047062163e+38),-1.7387867175465037e+308
1,3784,65565,50000,Vector2(2.2157988923412072e+38;-1.3488707996017164e+38),Vector2(2.2972110647215928e+38;-8.084025913558658e+37),-1.1062176305690892e+308
1,3645,63147,50000,Vector2(-2.8675566820822945e+38;-7.084967340895336e+35),Vector2(1.333761418567476e+38;1.788877900603576e+38),-3.983997961089782e+305
1,3841,77030,50000,Vector2(2.565701490090892e+38;4.616790077814333e+37),Vector2(8.79753573040312e+37;1.6186317151085885e+38),-1.4462265727360245e+308
1,3615,61761,50000,Vector2(-1.4067171444997631e+38;1.3537539925378916e+38),Vector2(-4.609801266525154e+37;-1.6485206851969137e+38),7.316155346295362e+307
1,3703,61357,50000,Vector2(-2.6800614227519296e+38;1.2185962742451736e+38),Vector2(-6.6464239326590305e+37;1.5178966939229e+38),-2.808329422766594e+307
1,3562,62771,50000,Vector2(6.995461384227072e+37;-2.829795094706312e+38),Vector2(2.8732056373930555e+37;2.9378287409878744e+38),-7.843014217702285e+307
1,3826,69945,50000,Vector2(3.8662336792384416e+37;2.693150270141454e+38),Vector2(-2.6139139946633483e+38;2.586113707116007e+38),5.690408887998796e+307
1,3715,86987,50000,Vector2(-2.3591900519884315e+38;-3.025056285849819e+38),Vector2(-3.2134886939159205e+37;-1.1682586802064948e+38),8.695980790959811e+307
1,3602,57309,50000,Vector2(3.1919365040590322e+38;-2.2830119582303643e+38),Vector2(-2.365918132902155e+38;2.4385283479868437e+38),-1.0774461293142871e+308
1,3613,58742,50000,Vector2(1.0356377842949535e+38;2.5039172139562484e+37),Vector2(1.4420283125594806e+38;6.946207453980504e+36),1.0920496259565196e+308
1,3690,59589,50000,Vector2(1.1554828918092026e+38;-3.295460965037511e+38),Vector2(-1.6588986871308622e+38;-3.2631147810257033e+38),-1.9016844748223151e+307
1,3643,63540,50000,Vector2(2.0864036094409827e+38;-1.1248911362281108e+38),Vector2(-3.6464671793997545e+37;1.2699442365182584e+38),1.1850266897011292e+308
1,3768,64740,50000,Vector2(3.2837959428021627e+38;-3.0485544714961296e+38),Vector2(-2.7629698284887765e+38;4.708790580716257e+37),6.400683562718217e+307
1,3694,68634,50000,Vector2(1.5036861278702455e+38;-2.966158196601775e+38),Vector2(7.757728085517751e+37;2.5234019163901884e+38),-1.5304557911741818e+308
1,3756,64445,50000,Vector2(1.3500215221105796e+38;-1.6047019590168966e+38),Vector2(3.09794578971475e+38;1.5159979561478542e+38),-7.348286516425938e+307
1,3760,73213,50000,Vector2(2.5536829454561523e+38;-8.941383649914618e+37),Vector2(2.9465152913729263e+38;-3.377187717590849e+38),-1.1902392278450345e+308
1,3719,69011,50000,Vector2(-2.416612190289618e+38;3.1172826333826795e+38),Vector2(2.9552635002831733e+38;-4.068217322927007e+37),-1.1100614106349912e+308
1,3842,63699,50000,Vector2(2.606801562087636e+38;1.6152088556638762e+38),Vector2(1.5873615129262546e+38;-7.166950678606667e+37),9.577744637767846e+307
1,3814,60605,50000,Vector2(-9.231199634566497e+36;-1.198997381845165e+38),Vector2(3.1741652595884087e+38;2.751196701010241e+38),9.863453528822657e+307
1,3582,61672,50000,Vector2(2.1018435937517626e+38;2.059473031617446e+38),Vector2(2.054446239221277e+38;-1.8545107639605124e+38),-1.4847693777543048e+307
1,4335,64681,50000,Vector2(1.722477550867237e+38;-2.840337992630338e+37),Vector2(1.4825447582198792e+38;1.566818677183292e+37),1.6730152860458294e+308
1,3868,70330,50000,Vector2(1.032963447176664e+38;-2.4144496797776765e+38),Vector2(-2.1131125005275514e+38;-2.635135277007553e+38),-1.898862065143109e+307
1,3738,72979,50000,Vector2(3.118429806469862e+38;2.6354877852864645e+38),Vector2(1.848704112915083e+38;1.864499647866215e+38),-3.65435809526591e+307
1,3843,70901,50000,Vector2(2.725170718655027e+38;-1.4825205207404029e+38),Vector2(3.120207762495718e+38;1.8120980144142204e+38),-3.8537236958593745e+306
1,4136,71715,50000,Vector2(-2.261581969891338e+38;-2.9892067212271725e+38),Vector2(-3.8968989078483226e+37;-1.659764543196842e+38),-1.5348998173861953e+308
1,3608,60082,50000,Vector2(2.953477583411548e+37;-2.343356994579533e+38),Vector2(-1.9192112449479692e+38;-2.2348173021783593e+38),-5.34600341814006e+307
1,3628,64607,50000,Vector2(-1.5199420735193803e+38;2.8705387540602954e+37),Vector2(3.3843770204989595e+38;2.876545846018633e+38),-3.910254215399476e+306
1,3897,64173,50000,Vector2(9.994623827620245e+37;-1.883290894715806e+38),Vector2(-7.109101696995372e+37;-2.555952141442609e+38),-6.691737340580187e+307
1,3673,61767,50000,Vector2(-2.2669590585161211e+36;2.5242967763019016e+38),Vector2(-3.319766999058335e+38;-1.7524470421216888e+38),-6.290274676614181e+307
1,3686,60336,50000,Vector2(1.6612019575654529e+38;6.055369670856856e+37),Vector2(9.277788709721265e+37;1.9455453171050624e+38),4.97268562184807e+307
1,3934,66201,50000,Vector2(-6.082297231671964e+36;-1.326817938463762e+38),Vector2(2.673270060720243e+38;-3.328915177085966e+38),8.041874730946672e+307
1,3617,62646,50000,Vector2(1.1510611236915105e+38;-1.5341559861696194e+38),Vector2(4.2178530815490276e+37;2.2015079065344742e+38),8.330508938532802e+307
1,3738,64073,50000,Vector2(2.4953251795999495e+38;-4.510984352815683e+37),Vector2(-8.753315006864758e+37;-1.6302331519898292e+38),-4.968905393469945e+305
1,4423,60227,50000,Vector2(1.2991819384342103e+38;1.3129585623333947e+38),Vector2(3.0299267008679438e+38;-3.380015288313694e+38),-1.4184543717769214e+308
1,3674,59303,50000,Vector2(4.835424819197136e+37;2.1659518283787927e+38),Vector2(2.5012397330644703e+38;5.795634654653213e+37),6.832215788331291e+307
1,4023,77500,50000,Vector2(-2.3695377317200225e+38;6.27194980414681e+37),Vector2(-4.295360535138542e+37;3.142919193473503e+38),-1.6919072465104427e+308
1,4172,68364,50000,Vector2(-5.4540971310963625e+37;1.1414502024887721e+38),Vector2(1.309516345864017e+36;1.913372750519462e+38),-4.0817718971364737e+307
1,3645,66672,50000,Vector2(-7.5755276506264675e+37;-1.5207269013589936e+38),Vector2(-1.7831554215580015e+38;7.390281811933196e+37),-8.607252906879815e+307
1,3660,59816,50000,Vector2(2.348733772629919e+36;1.6038702788110988e+38),Vector2(-2.8523148569133423e+38;1.6090225179106664e+38),-8.491610279909237e+307
1,4750,72215,50000,Vector2(1.5318113396194372e+38;1.4531519972825073e+38),Vector2(-2.8023653667824294e+38;-1.3713785951870807e+38),-1.6955621865003917e+308
1,3805,60424,50000,Vector2(-2.72792932918522e+38;-3.082687941442211e+37),Vector2(-3.871178277169692e+37;-8.448541378955486e+37),7.615488002661078e+306
1,3666,65451,50000,Vector2(1.3883846857554065e+38;2.8858524296652685e+38),Vector2(-3.3111096553431123e+38;-1.0706849767936795e+38),-5.130242249076909e+307
1,4924,65828,50000,Vector2(-1.4817950696549042e+37;-2.5192870211297996e+38),Vector2(9.063051740404043e+37;1.4771940557423399e+38),4.732152644127248e+307
1,3692,84279,50000,Vector2(-9.634649593733674e+37;3.1335608896823782e+38),Vector2(1.5041787875995182e+38;-7.702760220190655e+37),-1.5616805089909895e+308
1,3643,62462,50000,Vector2(2.5275890170287663e+38;3.2671426647488925e+38),Vector2(-1.162467342380316e+38;7.494331080260169e+37),-1.4645965217046247e+308
1,4500,62632,50000,Vector2(2.8547199450441434e+38;1.3299112087524149e+38),Vector2(-2.7850263404604596e+38;1.7198858645680824e+38),1.2243910632035631e+308
1,3591,61865,50000,Vector2(-7.434632849953261e+37;3.3983670153471743e+38),Vector2(-2.836272282213238e+38;-2.0848870936749177e+38),1.4891191061442924e+308
1,3678,73853,50000,Vector2(-1.2970155742644443e+38;-2.6138253605333804e+38),Vector2(-2.6680917587243346e+38;-1.3029423985867754e+38),-2.2781984108837624e+307
1,4421,62935,50000,Vector2(-3.9403007290989367e+37;-1.091350014054504e+38),Vector2(-1.334672402994824e+38;9.678758764019216e+37),-7.687686312830674e+307
1,3587,60375,50000,Vector2(-2.7861102324296788e+38;-1.6992599723577929e+38),Vector2(2.978277950460437e+38;2.3211875095863575e+38),2.438507113063655e+305
1,3642,61332,50000,Vector2(-8.334667311416504e+37;2.871076491444912e+37),Vector2(3.281509912415735e+38;1.7946953013260952e+38),3.3155217401380394e+307
1,3797,67461,50000,Vector2(1.5589632999437977e+38;-2.971852077449808e+38),Vector2(1.5773188806351025e+38;4.9153034766169074e+36),-2.218332590815911e+306
1,3645,67901,50000,Vector2(2.6559384374777785e+37;3.1523239439826204e+38),Vector2(-3.3012400320058794e+38;2.2215041313386184e+38),-1.4827747449761615e+308
1,4118,78892,50000,Vector2(2.8133912902911665e+38;-3.353425049323307e+38),Vector2(-2.84018333925711e+38;1.6918774794982077e+36),-5.06358728316694e+307
1,4216,63374,50000,Vector2(-2.679612763174991e+36;-3.400482470668835e+38),Vector2(-2.7867690050936054e+38;-6.323720654660131e+37),2.2720441758312927e+306
1,3724,66455,50000,Vector2(-1.0558179705542028e+38;-2.044120464492058e+38),Vector2(-1.17028717469698e+37;1.6170341711161569e+38),-1.2295872742027124e+308
1,3606,61343,50000,Vector2(-2.8875904293442054e+38;1.0584203051183993e+38),Vector2(3.198450808375533e+38;5.241222594040996e+37),3.6366655860879866e+307
1,4301,86455,50000,Vector2(1.691162930207871e+38;-1.8765603799129303e+38),Vector2(1.7541888954584504e+38;-2.0000271144860074e+38),-7.643883551091042e+307
1,3623,58559,50000,Vector2(-2.453721698196843e+38;2.431576146447e+38),Vector2(-3.242640297003105e+38;-1.4321469254246775e+38),-4.1254050894104194e+307
1,3673,58362,50000,Vector2(-2.3005690711615973e+37;-8.318164148547313e+36),Vector2(-2.837138949575602e+38;-3.0875502434964944e+38),-1.077234830278636e+307
1,3911,62449,50000,Vector2(-1.0562935930594084e+38;9.997345726989055e+37),Vector2(-8.57892279261064e+37;2.6681696431772126e+38),7.256887200705208e+307
2,3419,59816,50000,Vector2(-2.0131812712344557e+38;3.2574444277728104e+38),Vector2(1.0484159051693501e+38;-1.2953951111491606e+38),-1.7497803645730733e+308
2,3468,60618,50000,Vector2(-8.853651073053542e+37;1.776048870881074e+38),Vector2(-1.6173528077710302e+38;-1.9081336012947428e+38),-1.2823386042955744e+308
2,3550,70473,50000,Vector2(2.190765125463804e+38;2.6921852330925124e+38),Vector2(3.3523665103660923e+38;-1.303917779664615e+38),2.0396346439264857e+307
2,3400,56351,50000,Vector2(1.0057940439800444e+38;4.491045222994573e+37),Vector2(1.1433854486011045e+38;-3.2923928449367665e+38),-1.3901036315077878e+308
2,3406,59920,50000,Vector2(1.2106576377142563e+38;-1.822999403927991e+38),Vector2(1.9432140569452187e+38;-3.288607336008341e+38),-6.903243084037276e+307
2,3431,58466,50000,Vector2(-3.0132351397665466e+37;-3.3333994150252374e+38),Vector2(5.629740770023026e+37;2.3540813186574637e+38),9.880222666223214e+307
2,3410,62562,50000,Vector2(2.2375882849784102e+38;-3.186319696367493e+38),Vector2(-1.4508096832094296e+38;-2.6316067462088058e+38),1.4010490342782026e+308
2,3777,58364,50000,Vector2(-3.2925494251389067e+38;-3.3068156664059232e+38),Vector2(-3.1240297797614302e+38;3.2320569356719196e+38),-1.2622736127517275e+308
2,4078,55976,50000,Vector2(5.594547746999249e+37;1.815894273019736e+38),Vector2(1.2251320779158543e+38;2.9319209314245467e+37),2.9143581026325793e+307
2,3463,53915,50000,Vector2(-2.97651743730684e+38;-6.301487077252608e+37),Vector2(5.29100830371436e+37;3.027045178935553e+38),-9.539043780112471e+307
2,3419,55236,50000,Vector2(-2.9133304297240077e+38;-2.8377981278877207e+38),Vector2(-1.9764991136975794e+38;-6.710121854139779e+37),8.105916480271856e+307
2,3419,59312,50000,Vector2(2.7302559243908547e+38;-5.753325041159756e+37),Vector2(1.4961656132133075e+38;-2.979399567711519e+38),3.26730969910391e+307
2,3483,57537,50000,Vector2(7.767619056091092e+36;3.3190593457872636e+38),Vector2(-2.0692175124874245e+38;-2.4431164318632857e+38),1.1627821859196311e+308
2,3391,57199,50000,Vector2(-1.941548465468567e+38;-2.3186272610220886e+38),Vector2(-2.9378751877058667e+38;9.930382337562118e+37),-5.359535795644706e+307
2,3659,57749,50000,Vector2(6.491720360467417e+37;2.413319543914561e+38),Vector2(1.2426779848157813e+38;-2.9204050863118334e+37),1.8693323722698231e+307
2,3432,65558,50000,Vector2(-3.0808572004453614e+37;2.2943157507506715e+38),Vector2(-6.76783545066697e+37;-1.19858057832781e+38),-3.575173231356025e+307
2,3500,70805,50000,Vector2(1.1218714910863191e+38;1.5236143051901694e+38),Vector2(-1.128180638829679e+38;1.8140986459445126e+37),-2.8592300156847376e+307
2,3415,56572,50000,Vector2(-9.89390340976947e+37;1.4170566098554646e+38),Vector2(3.276442555200359e+38;2.4721308244495015e+38),1.39454321787567e+308
2,3429,55827,50000,Vector2(6.061748488677205e+37;-1.7419602250602167e+38),Vector2(2.7470388070414923e+38;2.402549584415022e+38),3.5979122417846746e+307
2,3372,54196,50000,Vector2(1.4684881356561164e+38;-2.0504789999028028e+38),Vector2(-1.102830466362459e+38;-2.963897924875544e+38),-6.838063821080637e+307
2,3527,56061,50000,Vector2(1.2565103853413757e+38;-2.0042923024015593e+38),Vector2(1.410009892286868e+38;-3.1688151655831575e+38),-3.8960854315069605e+307
2,3446,58047,50000,Vector2(-8.198628626662651e+37;-5.795455155328221e+37),Vector2(4.834275884075619e+36;-2.690133870185199e+38),7.916814635807472e+307
2,3386,54500,50000,Vector2(-1.0977292628760566e+37;-2.2908596281542092e+38),Vector2(-1.3201818382775912e+38;2.394696235416488e+38),1.7805496976627237e+308
2,3681,54608,50000,Vector2(7.091535102037649e+37;-2.8535247026462e+38),Vector2(-9.915467667660073e+37;-1.6122867689122781e+37),-3.9426510695834194e+307
2,3496,65603,50000,Vector2(-2.0773992336974416e+38;1.6044863570028097e+38),Vector2(1.0817366589626132e+38;1.3867409992811266e+38),1.6284995743456253e+308
2,3409,54567,50000,Vector2(5.644023642865917e+37;-5.889992987671562e+37),Vector2(1.6031812853568628e+38;-9.118485594091784e+37),-8.074519952290353e+307
2,3656,55203,50000,Vector2(-1.5509694952587585e+38;2.1210932230583963e+38),Vector2(-1.7387923155042223e+38;-1.7997529229848618e+38),-1.0623322999760912e+308
2,3506,72559,50000,Vector2(-1.7693526333504285e+38;-2.7890755207137326e+38),Vector2(-6.224663901457096e+37;-1.3824019833946174e+38),-1.500366784922904e+308
2,3469,75418,50000,Vector2(5.655677915424175e+37;-4.369226535613841e+37),Vector2(-1.9455459255773505e+38;2.4969804270477035e+38),1.5217810102270395e+308
2,3570,60589,50000,Vector2(-1.9332247673913242e+38;1.7101709960161253e+38),Vector2(5.181965506142968e+37;-9.299730220430495e+37),1.703086754814137e+308
2,3469,58929,50000,Vector2(-2.763317266165287e+38;-2.1475092361502883e+38),Vector2(3.2607715542441934e+38;-2.8430462013726656e+38),2.258196733752292e+307
2,3493,63634,50000,Vector2(-3.3683823122855198e+38;9.69555665565296e+37),Vector2(-1.2858924980137057e+38;2.4975398159045722e+38),-5.400655550290282e+307
2,3551,56059,50000,Vector2(-3.0269814921693975e+38;-1.9160121765402212e+37),Vector2(3.2354672200226776e+38;-1.6132455184142427e+38),-1.389507232793797e+307
2,3433,56064,50000,Vector2(9.563427912410452e+37;-9.509079167636507e+37),Vector2(-3.2514629423565975e+37;-2.89246956579846e+38),1.5370288590036798e+308
2,3441,68573,50000,Vector2(1.8928702767716107e+38;3.3880380968444666e+37),Vector2(-1.0570843915333488e+37;1.398607223019743e+38),-3.696976295812254e+307
2,3612,56946,50000,Vector2(1.808362603037516e+38;-2.409810129286865e+37),Vector2(-2.0853032887199846e+38;-4.998345809639668e+37),1.6222500764674905e+308
2,3898,54494,50000,Vector2(-4.005142832011451e+37;3.320393979045208e+37),Vector2(-1.4761012395128951e+38;-2.0575906211821312e+38),-1.608688295739216e+308
2,3440,54702,50000,Vector2(2.9498036784419663e+38;2.3260307461756135e+38),Vector2(-1.0803764191625443e+38;1.6919974499510133e+38),1.6599611553998713e+308
2,3542,54382,50000,Vector2(2.416295379051609e+38;-2.9701459211539488e+38),Vector2(1.8880664387630098e+37;-1.502072357950131e+38),1.585233291140087e+308
2,3369,53169,50000,Vector2(1.399562727336171e+38;-1.6664614906118238e+38),Vector2(-6.361631013510556e+37;-4.110046496842978e+37),-2.855862265988412e+307
2,3739,54759,50000,Vector2(3.0150061490671135e+38;-1.4250609613934978e+38),Vector2(4.433745894683537e+37;2.723225635574037e+38),-4.176937079008795e+307
2,3599,55385,50000,Vector2(-1.9359916937094544e+38;-1.3051518628769492e+38),Vector2(-3.2560893599871904e+38;7.01139473815146e+37),-6.481454327267356e+307
2,3464,55257,50000,Vector2(-1.9028212325713543e+38;-3.0534084577624755e+38),Vector2(-2.8000554031526695e+38;-2.1847424667560958e+38),-1.206519343116676e+308
2,3459,66562,50000,Vector2(1.7873220369628797e+38;1.5637594813427732e+38),Vector2(1.0446630509203864e+38;-2.9069021228242263e+38),-1.3909104834594144e+308
