elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
45872,100000,4.18525431e+36; 2.57110919e+38,-3.52229421e+37; 2.5086704e+37
43655,100000,3.05952766e+38; 2.06756186e+38,3.37794587e+38; 2.4132806e+38
43329,100000,6.21727857e+37; -1.76363847e+38,-2.52721582e+38; -2.43564135e+38
43848,100000,1.81961001e+38; -2.40558302e+38,-1.51763383e+37; -5.43187116e+37
44626,100000,-4.44873307e+37; -1.65124497e+37,1.78778671e+38; 6.45941099e+37
51745,100000,1.63235692e+38; -2.97233825e+38,-5.50456078e+37; 1.63350247e+38
44352,100000,2.82532181e+38; 1.05678798e+38,-1.65760842e+38; 1.90161439e+36
44035,100000,-3.31226332e+38; -3.38803698e+38,-6.74405179e+37; -6.34810315e+37
43550,100000,-8.23864075e+37; 1.86842267e+38,3.39365724e+38; -1.75528374e+38
53577,100000,2.39620545e+38; -3.48374851e+37,-1.62281375e+38; -3.31425343e+38
48352,100000,2.67464298e+38; 2.83760808e+38,1.17351598e+38; 1.54633205e+37
44566,100000,1.0009667e+37; 7.25072565e+37,2.78767664e+38; 1.7782199e+38
49939,100000,6.72691277e+36; 1.77792276e+38,-8.13209827e+37; -3.2787657e+38
45367,100000,-2.29514124e+37; -1.27752225e+38,-1.65062377e+38; 2.72696531e+38
44734,100000,3.22256193e+38; 1.94455939e+38,-3.32884459e+38; -1.57520971e+38
46905,100000,-1.62708137e+38; -1.45273306e+38,1.00149417e+38; 2.5463107e+38
45451,100000,7.22151847e+37; 2.21672742e+38,-2.59677333e+38; -7.57342741e+37
43863,100000,1.06057866e+38; -2.88601266e+38,2.60492706e+38; 1.74389902e+38
46485,100000,-9.52773189e+37; 1.54921192e+38,2.1413444e+38; -2.15917527e+38
44717,100000,2.17546489e+38; 1.01269037e+38,1.27304339e+38; 3.40512045e+37
44897,100000,-2.57218755e+37; 3.12069961e+38,-6.24042131e+37; 2.43637192e+38
44154,100000,1.33721562e+36; 1.12632531e+38,2.89448564e+38; 3.1505612e+38
45885,100000,1.11351331e+38; 3.32124031e+38,1.33716057e+37; -1.14457643e+38
43596,100000,-2.02448506e+38; -3.26616607e+38,-1.25954139e+38; 1.32043101e+38
43549,100000,3.27165591e+38; -1.38932985e+38,-2.23965344e+38; -2.88792585e+37
43525,100000,-1.53832341e+38; 1.52557724e+38,-1.84389353e+38; -1.7681434e+38
43833,100000,2.71804936e+38; 6.84575337e+37,4.47451709e+37; -4.96408375e+37
44035,100000,3.39551571e+37; -3.39554918e+38,1.25183641e+37; -1.47796813e+38
44322,100000,3.99791443e+37; -2.59639304e+38,1.21224692e+37; -5.659993e+37
48435,100000,1.96567642e+38; -2.64539655e+38,-2.82330148e+38; -1.73797331e+38
44552,100000,-3.09567091e+38; 1.87953883e+37,3.07819397e+38; -2.80720186e+37
48832,100000,-3.29539342e+38; 2.42001943e+38,-1.94759161e+38; -2.25314814e+38
45731,100000,2.43201425e+38; -1.79779628e+38,1.00164467e+38; -2.0033226e+38
44395,100000,1.15224622e+38; 1.5271619e+38,-1.99687989e+38; -3.00438182e+38
44247,100000,-2.81370384e+38; 1.3367117e+37,-1.74871325e+38; -1.69082239e+38
44872,100000,2.12839225e+38; 1.13918374e+38,3.36058657e+38; 3.89788666e+37
43756,100000,-2.01045899e+37; 4.38598082e+37,1.05619938e+38; 1.31331939e+38
44002,100000,-4.92360158e+37; -2.25824673e+38,-2.25228066e+38; -1.40300344e+38
44294,100000,3.03530296e+38; 2.22760751e+38,-6.55124061e+37; -7.90511478e+36
45478,100000,-1.92612227e+38; -1.38497663e+38,-1.89185393e+38; 6.1144645e+37
44047,100000,1.18555582e+38; 3.31549066e+38,1.28545409e+38; -1.50233741e+36
44580,100000,2.19541811e+38; 2.18907864e+38,1.68516147e+38; 3.01794811e+38
44360,100000,8.06965126e+37; -5.33857106e+37,2.96311097e+38; -1.68037766e+38
43662,100000,-1.69597311e+38; -2.85579735e+38,2.16500342e+38; -1.1764045e+38
44154,100000,-6.4733952e+37; -2.51940684e+35,-1.15639945e+38; 7.82717252e+37
43784,100000,1.2132622e+38; 2.47377025e+38,-2.68362666e+38; -2.0951936e+38
43701,100000,-2.4944934e+38; -7.19414331e+37,-2.54194815e+38; -2.07772801e+38
44361,100000,-1.92746862e+38; 1.98978693e+38,8.90631435e+37; -1.41608975e+38
44397,100000,-5.05783615e+37; -2.49476539e+38,2.48730349e+38; 2.14138882e+38
46759,100000,3.10855156e+37; 1.65984821e+38,3.03843659e+38; -1.71101028e+38
43757,100000,5.59855302e+37; 8.23918888e+37,1.62583755e+38; -2.07329833e+38
49625,100000,-1.60845745e+37; 2.30793316e+38,-1.28916304e+38; -1.88542014e+38
44056,100000,-1.38843916e+36; 1.44423707e+38,-1.08364665e+38; -1.50426164e+38
44952,100000,6.75395062e+37; -1.68909899e+38,-5.54586388e+37; 4.89219072e+37
43328,100000,-3.388814e+38; -2.91986603e+38,-2.53549429e+38; -4.01238669e+37
43312,100000,-3.28944743e+38; 1.06719184e+38,6.0018738e+37; 1.73425595e+38
43370,100000,-1.03373813e+38; 3.33562156e+38,-2.00751376e+38; -2.38984265e+38
43678,100000,-4.33680054e+37; 2.17789817e+38,1.06496138e+38; -3.06313509e+38
43879,100000,-1.99713281e+38; -2.36479226e+38,-2.17993655e+38; 2.51902801e+38
43859,100000,-2.67294007e+38; -3.27093487e+38,-1.19443546e+38; -3.33618054e+38
44025,100000,-3.28896958e+38; 6.56039292e+36,1.10412038e+37; -3.01155956e+37
44503,100000,-9.69776237e+37; 3.13356231e+38,3.31991037e+36; 3.7556588e+37
44245,100000,3.3424549e+38; -3.05574337e+38,-5.97061658e+37; -2.26454665e+38
43885,100000,2.43646076e+38; 2.31480038e+38,7.32611334e+37; 1.82459482e+38
43836,100000,-2.62720141e+38; -2.61142615e+38,-2.25923144e+38; -8.56747172e+36
43976,100000,-2.34705022e+38; 2.81565481e+38,2.36515531e+38; 1.78606138e+37
43704,100000,-1.92989257e+38; 3.13231063e+37,1.61378939e+38; 7.46978582e+37
44088,100000,2.13554708e+38; 6.40417996e+37,2.57931809e+37; -1.48623403e+38
43844,100000,2.19678718e+38; -2.47032914e+38,-3.10683618e+38; 2.27712114e+38
44644,100000,5.36805408e+37; -1.20639215e+38,5.7698192e+37; 2.22936965e+38
43755,100000,3.02772241e+38; 2.5248732e+38,7.85520737e+37; -9.56163089e+37
44223,100000,3.08960475e+37; 2.59324723e+38,3.39744153e+37; 1.52224301e+38
44304,100000,2.08724492e+38; 1.70219149e+38,-2.63062224e+38; 2.78088183e+38
43869,100000,2.81989261e+38; -6.47839431e+37,-3.36797585e+38; 6.91288206e+37
43680,100000,5.87619499e+36; 2.69887883e+38,2.47150755e+38; -1.82055517e+38
43429,100000,3.08328992e+38; 2.57386841e+38,2.56672332e+38; -2.25760905e+38
43839,100000,2.11344594e+38; -2.9516727e+38,-1.48124851e+38; -3.12912472e+38
44104,100000,5.1313685e+37; 3.06429971e+38,7.42578871e+37; 3.56137309e+37
44271,100000,1.0489401e+38; 1.55882984e+38,2.0615968e+38; 3.1043526e+37
45842,100000,1.34945686e+38; 1.40408063e+38,-1.24139492e+38; 3.16254222e+38
45571,100000,1.06352123e+38; 5.12362518e+37,-1.372729e+38; -2.06528049e+38
44423,100000,-2.97941255e+38; -5.28704918e+37,-2.15438842e+38; -2.59007831e+38
44027,100000,-6.310926e+37; 3.03121727e+38,-1.22090624e+38; 2.63753469e+38
43616,100000,2.33736598e+38; 2.97282543e+38,3.22832964e+38; -1.79271148e+38
43602,100000,1.58719317e+38; 6.05360764e+37,1.14935649e+38; 2.0489996e+38
43026,100000,1.84128663e+38; 1.5282035e+38,2.70199908e+38; 7.52299215e+37
43955,100000,-4.52051404e+37; -2.2697501e+38,-1.55327327e+38; -9.93417844e+36
44064,100000,-1.24520122e+38; -9.2596576e+35,3.32515928e+38; 2.76060165e+38
44510,100000,1.089882e+37; 9.33993401e+37,-3.35631144e+38; 9.77298881e+37
45214,100000,3.45806514e+37; 3.72719649e+37,-1.73563741e+37; 1.12062879e+38
43723,100000,-2.21535592e+38; -2.25978292e+38,1.61199787e+37; -2.27750366e+38
44478,100000,-1.71782391e+36; 3.10763673e+38,2.38041012e+38; -1.66943651e+38
44048,100000,1.15140846e+38; 2.07266228e+38,1.58005234e+38; 1.66504892e+38
43401,100000,1.17626547e+38; 2.17138123e+38,1.01563801e+38; -2.59625451e+38
43521,100000,1.689696e+38; -7.63390144e+37,7.21589251e+36; -2.37919926e+38
43135,100000,2.5760011e+38; -7.37491129e+37,-1.63480623e+38; 2.14393243e+38
43770,100000,5.20389485e+37; 1.9461118e+38,1.00125109e+38; -2.64930051e+38
44104,100000,3.57966732e+37; 6.52957444e+37,-2.73925442e+38; 2.27551862e+38
44208,100000,-3.15204607e+38; -5.29255281e+37,3.04578004e+38; 4.03214531e+37
47204,100000,9.09073622e+37; -3.25639207e+37,1.375537e+38; -2.29605259e+36
43348,100000,-2.62319462e+38; 1.50636706e+38,-1.33507237e+38; -3.00281439e+38
43248,100000,1.28204736e+38; -2.85406645e+38,3.06131089e+38; -2.10017009e+38
44159,100000,5.79458301e+37; 8.17528256e+37,-2.06536507e+38; 2.35179184e+38
44073,100000,-3.00505499e+38; -3.19737341e+38,-1.33058296e+38; -1.07217046e+38
43714,100000,1.15076743e+38; 2.91500616e+38,6.46667615e+37; 9.56337772e+33
43576,100000,-1.23755718e+38; 1.27615684e+38,1.81209601e+37; -8.71458068e+37
43373,100000,-9.15076809e+37; 1.06732733e+38,-2.97175614e+38; 1.16306932e+38
43639,100000,-9.93020487e+37; -2.48905305e+38,1.1416725e+38; -6.04779622e+37
44042,100000,-3.37206681e+38; 2.71373834e+38,1.87248144e+37; 1.99746261e+38
45305,100000,3.08029588e+36; -1.21278171e+38,1.14987765e+38; -4.10069124e+36
44403,100000,9.41536328e+37; 1.16802503e+38,2.57245629e+37; -1.38352918e+38
44884,100000,1.69172871e+38; -2.94622092e+36,1.96586018e+38; 7.24519362e+37
44160,100000,-1.09013631e+38; -8.6424473e+37,-2.16702918e+37; -5.06170958e+37
43375,100000,2.04730744e+38; -2.40357162e+38,1.42892253e+38; 1.43021279e+38
43231,100000,6.173859e+37; -1.0867164e+38,1.67122015e+38; 1.32522871e+38
43809,100000,-1.47163597e+38; 2.59458709e+38,-1.96780587e+38; 2.76252321e+38
44057,100000,8.72126981e+37; 1.30238555e+38,1.96429782e+38; 1.39667492e+38
44180,100000,-4.14916619e+37; 3.12826556e+38,2.84358876e+38; -3.02515486e+38
43721,100000,1.9521801e+38; 2.14420077e+38,-1.52747608e+38; 2.53710066e+38
45472,100000,9.06863042e+37; 2.22570987e+36,-2.30774575e+38; 4.66389395e+37
43969,100000,-1.62371134e+38; -3.16121312e+38,1.55746697e+37; 2.59195687e+38
44794,100000,1.16538862e+38; 1.29993584e+38,1.93008951e+38; 2.40068543e+38
44150,100000,2.55414584e+37; -3.26855858e+38,3.51608653e+37; -2.85707778e+38
43659,100000,-3.43155857e+37; -1.37254281e+38,-2.18857604e+38; 2.85938875e+37
43532,100000,1.81795497e+38; 3.70436332e+37,-1.3989504e+38; -2.02614822e+38
43730,100000,-2.25312765e+38; 2.57805449e+38,-3.08889902e+38; -2.74725522e+38
44681,100000,1.46035083e+38; -2.03965245e+38,-1.40692849e+38; 1.50006602e+38
44189,100000,-4.59472129e+37; -8.53368085e+37,-2.0174282e+38; -6.94860953e+37
43414,100000,-1.19302746e+38; -2.17896401e+38,-1.2966868e+38; 2.99569243e+38
45243,100000,2.20911361e+38; 2.30066658e+38,2.7361143e+38; -8.62407448e+37
44498,100000,-2.2202592e+38; -1.77557487e+38,1.59205081e+38; -1.6457601e+37
44630,100000,1.31369786e+38; -2.08715487e+38,-2.44494935e+38; 5.08301726e+37
43907,100000,4.33384996e+37; -1.99088279e+38,-1.6438965e+38; 1.14555435e+38
43328,100000,-2.01536934e+38; -9.55056582e+37,4.01169329e+37; -2.10301247e+38
42899,100000,-3.22634196e+38; 6.15343157e+37,1.49770697e+38; -2.76865438e+38
43717,100000,-2.00462564e+37; -3.37047911e+38,-9.27933829e+37; -1.70292531e+38
44029,100000,-3.16511342e+38; 1.66542861e+38,1.33710883e+38; -4.98358731e+37
43943,100000,1.0043402e+38; 1.99162391e+38,3.33935676e+38; -2.98553256e+38
43591,100000,1.67743803e+38; -3.1144577e+38,1.39212071e+38; -1.06067155e+38
45951,100000,-6.82687602e+37; 3.38045136e+38,-1.16851311e+36; -1.25526028e+38
43838,100000,-5.37249846e+37; -2.98785104e+38,-1.11936438e+38; -3.14559669e+36
44122,100000,2.15803479e+38; -9.92461199e+37,-2.09805484e+38; -2.89415098e+38
