elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
41361,100000,-1.4169986e+38; -1.62614706e+38,-3.23196323e+38; 1.08252625e+38
37027,100000,-2.23573407e+38; 2.56020658e+38,-8.626985e+37; 9.81338846e+36
42009,100000,3.2468775e+38; -1.9334572e+38,-1.70875473e+37; 1.54903547e+38
38369,100000,1.24509737e+38; -4.11467038e+37,-3.26296266e+38; 1.12780805e+38
35523,100000,-1.53267851e+38; 6.16064755e+37,-2.80857402e+38; -2.54083855e+37
35802,100000,1.42158699e+38; -2.39062414e+38,-2.30285647e+38; -1.440124e+38
45596,100000,-2.63080011e+38; 1.92622348e+38,-2.36481436e+38; -2.57685195e+38
38248,100000,-1.71776757e+38; 2.77032484e+38,-1.30533491e+38; 2.48021438e+38
49236,100000,1.11350946e+38; 2.9652319e+38,-1.1191234e+37; 7.96131353e+36
40040,100000,-2.29125006e+38; -3.13239181e+38,-7.24051282e+36; -7.4368269e+37
41281,100000,3.09897593e+38; 1.91743451e+38,3.84444251e+37; 1.7172167e+38
35173,100000,1.99614648e+38; 1.1207014e+38,1.71187999e+38; -1.42055877e+38
35731,100000,8.48263002e+37; 1.409278e+38,-5.61752265e+37; 2.22918366e+38
41151,100000,2.97724639e+38; -1.68320066e+38,-1.75380353e+38; -1.89444642e+38
34699,100000,3.58700245e+37; -1.77902633e+38,2.10872602e+38; -2.65098395e+38
35732,100000,3.43786748e+36; 2.07641967e+37,-2.46179369e+38; 2.81584952e+38
36839,100000,-2.89196575e+38; 1.97129728e+38,-7.42146995e+36; 7.1803178e+37
41190,100000,-1.84873738e+38; 3.14803928e+38,2.53902454e+37; -1.91463939e+38
38349,100000,1.56207655e+38; -2.82810516e+38,-3.42464658e+37; 1.02333214e+38
36058,100000,1.25015357e+38; 1.47039407e+38,3.74252594e+37; 2.66918295e+38
46758,100000,-9.58365759e+37; 3.25883438e+38,4.09307931e+36; 1.62025816e+38
35314,100000,3.07408901e+38; -4.36853693e+37,-1.86161082e+38; 2.71181475e+38
35543,100000,3.30438203e+37; 2.57940974e+36,2.10818854e+38; 3.22447071e+38
35657,100000,-1.93328115e+38; 2.18874378e+38,-2.72779876e+37; 3.34857127e+38
43487,100000,-1.80019082e+38; -1.15041097e+38,2.10593841e+38; -6.84561849e+37
35912,100000,-2.68279285e+37; 3.17173178e+38,-2.08656465e+38; -2.37393394e+38
38592,100000,-4.1003368e+37; -8.73909298e+37,-3.17827508e+38; 9.74254289e+37
41469,100000,1.67462851e+38; 1.55212732e+38,-2.8992658e+38; 2.31903555e+38
41615,100000,7.24464473e+36; 1.76992886e+38,-2.74069812e+38; 9.35344869e+36
38716,100000,1.70694204e+38; 1.68579468e+38,8.74560161e+37; -3.16900197e+38
38043,100000,5.82075176e+36; -4.62944123e+37,-2.7396765e+38; -1.0795566e+38
35728,100000,1.88001508e+38; -2.1094428e+38,2.88961299e+38; 2.76889391e+38
41052,100000,1.57575582e+38; -2.52223669e+38,3.07659247e+38; 1.56549991e+38
37402,100000,-8.64896911e+37; -2.34446746e+38,-1.68431244e+38; 3.09747422e+38
36315,100000,1.23576036e+38; -2.5309922e+38,7.80318299e+37; -1.71908268e+38
35585,100000,-2.09127402e+38; 9.05337805e+37,1.06487964e+38; 1.36788292e+38
38004,100000,1.28723053e+38; -1.53317959e+38,1.52784197e+38; -1.62823716e+38
36648,100000,-6.18060848e+37; -2.59473353e+38,1.77074096e+38; -2.68651305e+38
35352,100000,-1.10853905e+38; 8.48382517e+37,3.33838524e+38; 3.31104901e+38
37019,100000,-8.98610028e+37; -1.0359264e+38,-4.63691479e+37; -1.12073081e+38
35891,100000,-1.44875071e+38; -2.44562922e+38,-3.38376206e+38; 4.34314995e+37
35039,100000,1.93568056e+38; -1.47608816e+38,1.82684901e+38; 2.01877638e+38
36417,100000,2.67785145e+38; -2.9801054e+38,1.40882905e+38; -3.38728957e+38
35502,100000,3.04686434e+38; 5.39407007e+36,-1.81811253e+37; 3.5492181e+37
35972,100000,-1.00206715e+38; 2.34375818e+38,1.10721623e+38; 1.58313679e+38
41577,100000,1.74125683e+38; 2.33048375e+38,3.02106876e+38; -3.38604444e+38
35283,100000,-3.00704693e+38; -2.42623619e+38,2.91438674e+38; 7.97987371e+37
