elapsed.ps,repeats.n,param.a.vector2
42309,100000,-7.59217849e+37; 2.25156266e+38
42881,100000,-4.61164595e+37; -1.84282059e+38
43539,100000,-9.10780653e+36; -1.84819705e+38
42834,100000,3.0879208e+38; 2.61342803e+38
41873,100000,3.07742141e+38; -2.52241457e+38
42667,100000,-2.46801877e+38; 1.28763841e+38
42862,100000,1.749689e+36; -1.63587927e+38
42856,100000,2.2546677e+38; 5.69429309e+37
42453,100000,1.01806947e+38; 9.26237509e+37
42060,100000,2.21767542e+38; 2.37352505e+38
43086,100000,3.13094142e+38; -3.0662671e+38
44039,100000,-4.36605804e+36; -2.79884556e+38
43334,100000,-2.82755429e+38; 3.02487638e+38
43978,100000,1.51038176e+38; 2.98947546e+38
42577,100000,-2.99689599e+38; 1.83225325e+38
44911,100000,1.71474914e+38; -4.17315775e+37
44377,100000,-1.40956206e+38; 1.97634659e+38
42814,100000,-2.06455317e+38; -6.18466141e+37
44319,100000,5.86065398e+37; -1.53913086e+38
43427,100000,-8.11099201e+36; -3.20331047e+37
44227,100000,-2.40423444e+38; -1.2859718e+38
42975,100000,-1.37230804e+38; -3.21168731e+38
42241,100000,-2.36208679e+38; 6.47746766e+36
43571,100000,-1.31408241e+38; 4.80106236e+37
44344,100000,2.21661359e+37; 1.00811831e+38
43933,100000,2.33902406e+38; -1.82031888e+38
42685,100000,-1.74438864e+38; 4.58807171e+37
42385,100000,1.29230255e+38; -3.13063231e+38
43274,100000,-2.31429595e+38; -2.79184757e+37
44689,100000,1.11824429e+38; -2.97719913e+38
43675,100000,4.828184e+37; 1.73894421e+37
45548,100000,-3.26444855e+38; 1.88884686e+38
42478,100000,1.9196603e+38; -1.14429552e+38
43281,100000,3.22438775e+38; -1.83708858e+38
42621,100000,1.00335569e+38; -1.55362588e+38
44736,100000,-1.40177158e+38; 1.13376307e+38
44358,100000,-2.86252827e+38; 3.20467163e+38
42259,100000,-1.16427592e+38; -3.0245762e+38
44236,100000,1.82751954e+38; -2.50625557e+38
42106,100000,-2.7159335e+38; 2.48595633e+38
43478,100000,1.85520057e+38; 1.82993599e+38
44176,100000,2.07158609e+38; 1.34578108e+38
44765,100000,1.21387676e+38; -2.85508117e+38
42495,100000,1.65318752e+37; -1.44033767e+38
43700,100000,3.03661178e+38; 1.19598666e+38
45406,100000,-3.08650955e+38; -2.42201258e+38
42822,100000,1.14014635e+38; -2.52814942e+38
42646,100000,-2.40339779e+38; -2.47188034e+38
44246,100000,2.45159772e+38; -9.00678631e+37
42938,100000,2.15083048e+38; -2.69138469e+38
43666,100000,-1.53095806e+38; 2.41704339e+38
44197,100000,2.29246823e+38; -2.91620546e+38
43757,100000,3.28599963e+38; -8.08258789e+37
42349,100000,1.36732404e+38; 2.71074911e+38
44624,100000,1.35654698e+38; 1.92870706e+38
43520,100000,-2.87240032e+38; 8.4000867e+37
43678,100000,4.43582795e+36; 1.53187442e+38
42344,100000,-1.69243707e+38; -4.48544474e+37
44934,100000,1.10573227e+38; -1.33972364e+38
43622,100000,-1.47121724e+38; 1.54774987e+38
43878,100000,-2.12407413e+38; -3.83092631e+37
43834,100000,2.67772104e+38; -5.49179098e+37
43198,100000,2.67320577e+38; -2.97258671e+38
42015,100000,-7.48058493e+36; 1.9828538e+38
51195,100000,3.69840739e+37; -2.60272176e+38
43527,100000,2.33966478e+38; 2.83937022e+38
42517,100000,3.20187002e+38; 2.42933879e+38
43392,100000,-7.59093873e+37; -2.70449219e+38
43742,100000,-1.96589811e+38; 3.11654293e+38
43566,100000,-5.69000995e+37; -2.7485679e+38
43480,100000,2.0588891e+38; 7.7538004e+37
45704,100000,-1.66804545e+38; -1.96171669e+38
48973,100000,-1.8185681e+38; -1.66453781e+38
43360,100000,4.08019282e+37; 1.73256541e+38
45523,100000,-2.41267112e+38; 2.48292573e+38
43037,100000,9.87300239e+37; 1.88910404e+38
41987,100000,-2.49742218e+38; 2.17859527e+38
44611,100000,-1.0166143e+38; 2.76082395e+38
43107,100000,2.53391774e+38; -1.16226908e+38
42973,100000,2.90235476e+37; -1.36466846e+38
44232,100000,1.20002205e+38; -2.69093989e+38
44001,100000,1.96249695e+38; -2.64135751e+38
45642,100000,-2.9010111e+38; 1.27202095e+38
42661,100000,9.10670456e+37; 9.5248604e+35
43753,100000,-1.66277597e+38; -2.47107857e+38
44079,100000,5.79760408e+37; -1.2176e+38
41956,100000,-3.36387759e+38; 1.82517753e+38
42784,100000,1.73642941e+38; 1.73709813e+38
43513,100000,-7.45927547e+37; 1.15819037e+37
41687,100000,2.01030928e+38; -3.94984665e+37
43215,100000,-3.03438133e+38; 2.06344534e+38
45909,100000,5.66597631e+37; 1.87583589e+38
41932,100000,-1.54409203e+38; -2.87899677e+38
42271,100000,2.49248686e+38; 2.77540984e+38
48390,100000,-2.07519007e+38; -1.01204914e+38
43272,100000,2.99182072e+38; -4.78504078e+37
41636,100000,-1.1631967e+38; -4.21924293e+37
45065,100000,-9.09114896e+37; 2.83529001e+38
43339,100000,1.48460707e+38; 2.96677417e+38
41790,100000,-3.15803588e+38; -1.26406386e+38
43679,100000,-4.36936496e+37; -1.58825151e+38
45430,100000,-1.41892006e+38; 1.88029883e+38
42374,100000,-2.57907449e+38; 3.07101724e+38
42869,100000,9.72401998e+37; -2.41530337e+38
43690,100000,1.41797388e+38; -1.80202516e+38
44508,100000,-2.3698442e+38; -2.91894501e+38
41648,100000,3.20092263e+38; -1.27364405e+38
42882,100000,2.80997548e+37; 1.23195305e+38
45906,100000,-2.20929011e+37; 6.16853994e+37
41792,100000,-2.85219823e+38; -2.75914558e+38
43991,100000,1.88273876e+37; 7.14434124e+36
44995,100000,-1.61229387e+38; -1.80700754e+38
43194,100000,2.95864945e+38; -9.05948001e+37
42953,100000,2.8926012e+38; -1.92347785e+38
44591,100000,7.45011441e+37; -5.66193301e+37
43814,100000,1.55453991e+38; -1.70938437e+37
42531,100000,-2.31601387e+38; -2.90681268e+38
43831,100000,-1.08862152e+38; 2.73830845e+38
45027,100000,-2.02755866e+38; 2.95715362e+38
42890,100000,4.62301019e+37; 1.99731941e+38
42070,100000,-2.5535651e+38; 1.47160524e+38
44026,100000,2.69776066e+38; -7.02546921e+37
42671,100000,-1.85012611e+38; 5.53913113e+36
45491,100000,1.52225407e+38; -3.56048599e+37
43279,100000,4.64505336e+36; 1.25868101e+38
43748,100000,-1.44770759e+38; 2.94505313e+38
44923,100000,1.84722634e+38; -9.32868006e+36
42452,100000,-1.57420269e+38; 2.2465347e+37
