runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float
1,2910,15899,50000,-1.5183046731140077e+308,-1.472227372668928e+308
1,2905,15475,50000,8.352077038760196e+306,-4.0051578745049456e+307
1,3064,15475,50000,-4.1324051764817557e+307,1.6223381709086202e+308
1,2941,15586,50000,2.8773332245366354e+307,1.6624679067005574e+307
1,2963,15577,50000,8.141729113361722e+307,1.46328567294156e+308
1,3344,15306,50000,-1.5198730590161352e+308,9.95920465710607e+307
1,2905,15500,50000,2.6415433728005007e+307,1.395552160133432e+308
1,2905,15738,50000,-1.1795561378181476e+308,1.4117850943306898e+308
1,3036,15498,50000,-4.467921546731558e+307,-1.5571458918080074e+308
1,2907,15556,50000,-1.1464604520023892e+308,1.5580006572886889e+308
1,2905,15572,50000,-3.726897234561187e+307,1.329802687118423e+308
1,3392,15313,50000,-9.48984735397647e+307,-1.6046696937043655e+308
1,2908,15582,50000,-1.4097979485370721e+308,1.4899520767551789e+308
1,2907,15413,50000,2.138091472436967e+307,1.3881540519025805e+308
1,3103,15417,50000,1.2245400556725748e+308,-1.053678423054709e+308
1,2908,15887,50000,1.6538610641259687e+308,1.6279389063669955e+308
1,2911,15587,50000,1.2936392052031441e+308,-1.5529726910921082e+308
1,3294,15303,50000,-3.153380445890444e+307,1.4240091563910848e+308
1,2904,15687,50000,-1.473344079504948e+308,1.1801471424176204e+308
1,2904,15400,50000,4.961466370431993e+307,-1.5181368538828728e+308
1,3023,23075,50000,1.417875067203667e+308,-1.2579453994840435e+308
1,2905,15669,50000,6.768066193552627e+306,-6.723087379304215e+307
1,2908,15448,50000,1.0056075273299421e+308,-1.5637930308736741e+308
1,3279,15486,50000,5.892037352527007e+307,-1.508960003008649e+308
1,2905,15455,50000,-1.4245718972622155e+308,-4.3611994012601775e+307
1,2909,15439,50000,8.012077122488106e+307,1.7081833951699377e+308
1,2990,15309,50000,-4.814136156285673e+307,-8.694688496143987e+307
1,2908,15498,50000,-1.6930135625630113e+308,-1.7020661544955324e+308
1,2914,15803,50000,1.4209349976270618e+307,-1.7704434718985622e+308
1,3283,15534,50000,6.873068447485875e+307,8.278075283706186e+307
1,2904,15523,50000,9.180056403203488e+307,-1.6683180364411587e+308
1,2904,15754,50000,9.347391378005267e+307,-4.873228143397159e+307
1,3005,15355,50000,8.35908250807675e+307,-9.893912122497591e+307
1,2905,15787,50000,-2.0693457619566333e+307,1.4512196175548564e+308
1,2909,15746,50000,2.8316440673242433e+307,1.0701778375672648e+308
1,3357,15553,50000,1.2850040507796724e+308,-1.6874515405291053e+308
1,2909,15837,50000,-2.9422828505797325e+307,-5.275656426075447e+307
1,2933,15798,50000,-1.7508086999867622e+308,2.643736888258779e+307
1,3070,15603,50000,-4.0188238351109465e+307,-1.3167157018424006e+308
1,2904,15570,50000,1.6113718980555004e+307,-3.8968942143636167e+307
1,2936,15568,50000,-1.6147521124635188e+308,-1.1787660315884913e+308
1,3305,15398,50000,1.759845079964583e+307,-1.241267070686431e+307
1,2913,15727,50000,-1.3801680719775453e+308,-1.4929703696443504e+308
1,2906,15536,50000,1.4872264273567918e+308,-1.2970927461148016e+308
1,3005,15450,50000,2.6221425775823016e+307,-5.386971634359272e+307
1,2910,15488,50000,-9.778888356657989e+307,-1.756768261113725e+308
1,2903,15525,50000,-1.2910258698700686e+308,-5.935659435793457e+307
1,3262,15470,50000,6.776801840485964e+307,1.4027870062808447e+308
1,2908,15616,50000,1.3317050130061086e+308,-8.831985566421814e+307
1,2910,15453,50000,1.1968034379440834e+308,-1.217888882563042e+308
1,3039,15361,50000,-6.631705487007728e+307,9.156543867487494e+307
1,2906,16697,50000,-1.3987791498109366e+308,-7.141370591527831e+307
1,2906,15475,50000,1.283585212073851e+308,-2.8123667101202233e+307
1,3280,15416,50000,-1.6907076287284641e+308,-1.1288541118256777e+308
1,2907,15670,50000,1.364613436753003e+308,-5.613486891758585e+307
1,2905,15578,50000,1.7402440271668965e+308,-7.133338797217491e+307
1,3042,16143,50000,1.5769794694232643e+308,-5.222786665101253e+307
1,2905,15539,50000,-1.2425334043188876e+308,-8.15160306195129e+307
1,2936,15552,50000,-3.364930118934286e+307,-3.589393009823234e+307
1,3305,15304,50000,5.033114854606216e+306,-6.048949805890691e+307
1,2905,15407,50000,-1.555648686376773e+308,-4.121818097157029e+307
1,2907,15591,50000,-1.0305927620599115e+308,-1.4788950700532367e+308
1,3040,15855,50000,1.1611090517256279e+308,-2.6693361257343313e+307
1,2903,15794,50000,-1.1093643846398992e+308,-1.36707126167527e+308
1,2905,15451,50000,4.570990606221848e+307,8.876795006471626e+307
1,3269,15352,50000,1.592599807671294e+308,1.7685723842776942e+308
1,2903,15578,50000,6.6230559994689e+307,1.5421825283762378e+308
1,2903,15517,50000,-1.581619078830678e+308,-1.7206893146766483e+308
1,3032,15400,50000,-5.757644642065569e+305,3.7602952909578403e+307
1,2910,15800,50000,-1.3959191002284051e+308,-1.7637662495453656e+307
1,3066,15552,50000,-1.7097598938185805e+307,-1.3600561414810627e+308
1,3306,15375,50000,1.6880926166774587e+308,1.324080687703437e+307
1,2904,15452,50000,-7.695694028773529e+307,-1.774563307513736e+308
1,2906,15517,50000,-1.5650107977960472e+307,1.5352026692052154e+307
1,3096,15400,50000,-2.606844945887432e+307,-4.156958921155161e+307
1,2905,15680,50000,1.135237286592262e+308,-1.2264839191158195e+308
1,2905,15887,50000,1.303083817551312e+308,-1.8625814375046363e+307
1,2903,15403,50000,1.5511467395228349e+308,-1.0038444357853359e+308
