elapsed.ps,repeats.n,param.a.vector3
29404,100000,-7.8712654650573125e+37; 2.968525153802521e+38; 3.9015628479366823e+37
29483,100000,1.359515819458097e+38; 1.7838610465881126e+38; 1.0310427029871982e+38
29384,100000,-6.454026896634691e+36; -2.9944620963795747e+38; -2.412840828341891e+37
29135,100000,2.389407597112336e+38; 8.881196613536262e+37; 2.321001317066196e+38
29220,100000,-3.2224745112546743e+38; 1.7351757590477952e+38; 1.8181156025195278e+38
29463,100000,-4.63160739215028e+37; -1.0057731530981527e+38; -2.3399014804553588e+38
29140,100000,2.320974138637327e+38; 9.588599396849063e+37; -9.405614539766359e+37
29395,100000,-3.194755961818036e+38; -4.7391231778086377e+36; 2.5629834443799067e+38
29179,100000,-3.416572404795364e+37; 6.785341198395881e+37; 1.7048679572011546e+38
30216,100000,-2.26288166669874e+38; -1.4269087903204384e+38; 1.0359329947667347e+38
32054,100000,2.739839565752676e+38; 2.87596211827024e+38; 8.723097258916757e+37
29329,100000,2.117870550996472e+38; -1.178485679600944e+38; -3.336879268040936e+38
29530,100000,-3.378541974080085e+38; -2.8398066949107704e+38; -6.965988000711525e+37
30266,100000,-6.455451355614168e+37; -2.8344821567416197e+38; 9.74759929045497e+37
31381,100000,-2.892926934135022e+38; 4.897577728126326e+37; -1.954512170390837e+38
29419,100000,1.7710078807981825e+38; 2.8548091876463994e+38; 1.7087565007703667e+38
29664,100000,-1.420901749068125e+38; 2.615717405113257e+37; -2.3832745577286127e+36
29348,100000,1.6837839867699666e+38; 1.1844972843954184e+38; 3.2024525277903336e+38
29611,100000,3.3718566890506253e+38; -1.2769067820869999e+38; 3.792859527196031e+37
29263,100000,1.9167035278245737e+38; -3.3503739664466295e+38; 1.159745443011506e+38
29323,100000,3.1965095789523676e+38; -1.7679910751937353e+38; -3.27158467724667e+36
29275,100000,-2.603465105707835e+38; -3.34886637494079e+38; -1.02715344953365e+38
29605,100000,-2.210805160272692e+38; 5.468553418541365e+37; 2.986986811496053e+38
29124,100000,-3.325070646345594e+38; -2.307898474814045e+38; 9.40528900709222e+37
29242,100000,-1.659580277505593e+38; -6.399390521939554e+36; -7.443309664781703e+37
29134,100000,-2.279189383198388e+37; -2.4351280020167915e+38; 1.9935126073454105e+38
29223,100000,1.3929691187981199e+38; -4.633778624098351e+37; 2.373644919664762e+38
