elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.axis.vector3
47790,100000,-1.916982410956624e+38; -2.978578738594859e+38; 3.2128557813242386e+38,-2.7319535620746803e+38; -1.7585431231521623e+38; 3.1325414957756987e+38,-5.184629600644407e+37; -2.9407001217154633e+38; 2.1767986582107296e+38
47829,100000,-1.227429770687804e+38; -6.372771634045602e+37; -3.1284294400526544e+38,1.8289060472527665e+38; 2.1830851910673814e+38; -1.7792630243309647e+38,5.854375555226829e+37; 3.3034469609948527e+38; 1.8666958271780983e+38
47949,100000,-1.2043439264287356e+38; -1.677299117300403e+37; 2.6969720845830702e+38,-1.3600514778957294e+38; 1.662774554194072e+38; -2.2791090141503336e+38,8.991637376189586e+37; -6.907703200823872e+36; -2.4895045336918935e+37
48039,100000,-1.2017375353826183e+38; -2.2621001854567114e+38; 2.7639861800340155e+38,-1.1341360613495513e+38; -1.825375082564867e+38; -2.85035760438659e+38,-1.020027326331455e+38; 1.5571968034793677e+38; -6.037701663851115e+37
47791,100000,2.9000537672215533e+38; 4.999753091953512e+36; -1.0966274970333742e+38,2.7518725108982346e+38; 8.243733663259732e+37; -7.796078445891516e+36,1.6719485922939477e+38; 1.5898554380111196e+38; 2.570016369909973e+38
48052,100000,-1.0077337522224896e+38; 1.4125288661475935e+38; 1.072231611938006e+37,-2.1890502477318153e+38; -2.297005958854476e+37; -1.934678610511714e+38,6.612749047994088e+37; -3.1537293121440574e+38; 7.915157740325155e+36
48003,100000,4.419060416010013e+37; 1.2364855369866784e+37; 3.6077924272373915e+37,1.752069789303061e+38; 2.7161971721740835e+38; -1.7366539410597094e+38,5.689738165871588e+37; 1.910578037300175e+38; -2.473455671444812e+38
48088,100000,-1.882652607285579e+38; 1.0728130832683306e+37; -1.7719526861435446e+37,-1.8581865450529822e+38; -2.274551353888297e+38; -3.2026034289177847e+38,-1.5097011806743525e+38; -7.322551747423241e+37; 2.7517005160647956e+38
47987,100000,1.879924420369792e+38; -1.2743198621541021e+38; -1.435909616642299e+38,-2.5086000166855395e+38; -2.8849368816957596e+38; 9.55225534708028e+37,3.7912605127289033e+37; -1.0752241800629767e+38; 2.2135118478342994e+38
47253,100000,-1.862011199031943e+38; -2.214231670551133e+38; -1.1933968000813087e+38,2.2366741567775736e+38; -8.617620616013927e+37; 2.3544029976737777e+38,-2.51875614173493e+36; -3.3002031952269407e+38; 3.345255142616884e+37
47913,100000,-4.99463210044124e+36; -2.1457891864038506e+37; -7.650869703460672e+36,5.515203974750244e+37; 2.910260281382303e+38; -1.1953938061308842e+38,-9.637356281295282e+37; 2.6628992590417037e+38; 1.8020247556845668e+38
47981,100000,1.4556595115818068e+38; 2.1880069205818035e+38; -1.0748081878420058e+38,2.1062386144417898e+37; 2.4109116162464155e+38; -2.6476523632703506e+38,1.5065978705929458e+38; 6.596457202479954e+37; -3.126240359584132e+37
48077,100000,1.3782821189438756e+38; 1.39174761067974e+38; 9.542748981699048e+37,-2.8667855448691637e+38; -1.8156598083647177e+38; -1.1524867742625512e+38,1.824764784859893e+38; -1.7853619448987828e+38; -3.1679284186352858e+38
48018,100000,2.2704656652977375e+38; -8.214642729930275e+36; 3.174562389168448e+38,-2.9784037013999795e+38; -9.24076621335124e+37; 1.374846462566354e+36,1.7822552882197915e+38; -1.1827326133478527e+38; -2.69477063184469e+37
47900,100000,1.1854638426250804e+38; -7.534892857106032e+37; -1.5506548136737578e+38,-3.171299963583701e+38; 1.3227042601479493e+38; -1.4319601244322279e+38,-7.356633801460978e+37; -1.0608101814419976e+38; -6.538941866506639e+37
48114,100000,7.6656626789050955e+37; 1.0795020444845309e+38; 1.7405266643494306e+38,-7.655717199355945e+37; -1.0572581864306401e+37; -2.3473203802401825e+38,2.267040980436161e+38; -2.2655049935568764e+38; -7.154543421591873e+37
48138,100000,-2.7674617737436973e+37; 2.9010991226125255e+38; -4.92309198528724e+37,-1.3453040364608662e+38; 2.0055386564717037e+38; -1.5469073342633391e+38,1.5137274101135084e+36; 1.9229730234571585e+38; 2.6399756740594645e+38
47968,100000,2.425510691855028e+38; -1.3914991511620952e+38; -1.3238344974231128e+38,-3.2502354509273845e+38; -3.0283376754875457e+37; -3.499893557567645e+37,-3.3375559399313378e+37; 1.4590202054410838e+38; 1.1584662314378037e+38
47981,100000,3.8190765698497113e+37; -6.961442205659107e+37; 2.142465203705956e+38,-1.700993509906617e+38; 8.468639979222105e+36; 1.34781286911679e+38,-1.433749337195414e+38; 2.838300523173603e+38; -2.2184538597583252e+38
47342,100000,-1.6308586615020058e+38; -6.220136867633561e+37; 3.240929272928941e+38,3.695903524567695e+37; 2.2983134136835512e+38; -1.2615022919930265e+38,-1.759213051141371e+38; -2.8308414642177642e+38; -2.3827953287574495e+38
47968,100000,-6.74284600085455e+37; -2.2621888195866793e+38; 2.671697971151864e+38,-2.2392163539972953e+38; -2.279522369658056e+38; -6.721888187011097e+37,-2.3195275971843947e+38; -1.6414250870211722e+38; 3.280174721391527e+37
47782,100000,-7.431696464102892e+37; 2.5471923715588877e+38; -2.0552241710416251e+37,2.061744864317151e+38; -1.6708421868500685e+38; -1.030208791716344e+38,-1.3610008974892763e+38; -2.1758200319473534e+38; 2.1518038335597655e+38
48079,100000,-2.581691533350123e+38; -1.5041626630838833e+38; 3.3222759331263067e+38,2.693876583229361e+38; 4.912624740751035e+37; -2.6445638086419306e+37,-1.788434121481448e+38; 2.2034460935961992e+38; -4.0975078478434704e+36
48064,100000,-1.0844205288134164e+38; -2.8081858098663893e+38; -3.1351398752700225e+38,1.4755651754270706e+38; -1.0557060116531906e+38; -1.9191181486878884e+38,-3.0309574022179774e+37; -2.8860954129323202e+38; 1.2177723013550253e+38
48178,100000,-2.9242267486353774e+38; 1.3659238439482746e+38; -3.293878531440234e+38,-2.281060790426493e+38; 1.1802166818485677e+38; -1.1096318681868995e+38,-1.6348208302180792e+38; -2.5126364190207622e+38; -7.287867179055217e+36
47997,100000,1.1890901092851053e+37; 2.3432046736834095e+38; 1.9794828589743726e+38,-2.3573064246085404e+38; -2.5585566056598137e+38; 2.1452824303999033e+38,-2.723814433924831e+38; 2.4209364000171164e+38; 7.961763548467846e+37
48216,100000,-4.488065229963557e+37; -1.2273608104951516e+38; -1.5477298873848152e+38,2.6207956134177713e+38; 1.1937063096518604e+38; 6.36515406805871e+37,-2.256376895114753e+38; 2.9578515357485993e+38; 2.840049678177822e+38
48237,100000,7.171979195007652e+37; -3.001395232454391e+38; 7.982959680624142e+37,-2.1392569321548505e+38; -3.2110392887201355e+38; 1.167015469909839e+38,1.4539292192185192e+38; -3.229010923397643e+38; -6.050790409828592e+37
48495,100000,-5.597361297506456e+36; -1.0822164393617876e+38; -2.0349939886427029e+37,4.617676926174252e+37; -3.058566325230708e+37; -2.5679220082943e+38,-1.3312290583164121e+38; -2.96824221418855e+38; 2.855700396724384e+38
48019,100000,-3.276426937744964e+38; -1.4355326680598151e+38; -6.110964769700946e+37,-1.3708906004120169e+38; 2.9697603525473834e+38; 9.271463640286366e+37,1.340064583000003e+38; -1.4152287591019836e+38; -2.283792222527817e+38
47894,100000,1.6700441754442128e+38; -1.570650835653806e+38; 2.8875019980383335e+38,-1.725776484789271e+38; -6.6070664238833845e+37; 2.1978088006709602e+38,2.0405128322958565e+38; -2.6398592530283396e+38; 7.6663958880122675e+37
47990,100000,-3.3889592224766165e+38; -2.1006380073249215e+38; 5.0302996684672115e+36,-6.089260563184078e+37; -1.254779585917848e+38; -1.8622886623953208e+38,-3.7802253607237965e+37; -1.091649889480494e+38; -2.8206742979316457e+38
