runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3
1,5065,64268,50000,Vector3(1.381783369901706e+38;3.316456098514635e+38;2.292652795987268e+38)
1,5020,62115,50000,Vector3(-3.1837691833598338e+38;-3.4016132150042387e+38;2.926201038386197e+38)
1,5105,64810,50000,Vector3(7.181505842798487e+37;-1.358638301006595e+38;-1.809963696451628e+38)
1,5047,58589,50000,Vector3(1.9761105027295734e+38;1.3457326037757914e+38;-9.694044602017008e+37)
1,5057,65781,50000,Vector3(1.742799916817808e+38;-7.051950430274442e+37;1.5853784003272575e+38)
1,5213,63119,50000,Vector3(-7.285523673390575e+37;1.862477897276923e+38;1.8697615133896902e+38)
1,5017,62705,50000,Vector3(2.628791192813651e+37;1.1747350564170368e+38;2.1982143981570093e+37)
1,5017,59286,50000,Vector3(5.142390468524322e+37;-1.3904410178530727e+38;-1.6792902160981815e+38)
1,5441,64682,50000,Vector3(2.5555554175107614e+38;-3.1255302724239084e+38;-3.2544687954598586e+38)
1,5015,60746,50000,Vector3(-2.254011154858583e+38;-9.07297288106167e+37;7.185203833129473e+37)
1,5017,55811,50000,Vector3(3.014409034928382e+38;2.1922988812780322e+38;2.177029877680211e+38)
1,5290,58357,50000,Vector3(2.9758428443634225e+38;2.019436772004414e+38;2.376693010886023e+37)
1,5018,56912,50000,Vector3(-5.1909019358143365e+37;-1.123103698175765e+37;-2.1456225664089566e+38)
1,5047,56387,50000,Vector3(4.812737929934971e+37;-1.9993486678847652e+38;-2.462485068208269e+37)
1,5393,56567,50000,Vector3(1.2939240279806077e+38;-5.461931211805773e+37;-3.1730156526120737e+38)
1,5044,76837,50000,Vector3(-1.0438795414373974e+38;-5.341305130109735e+37;8.540476471086438e+37)
1,5070,77886,50000,Vector3(-8.822775160913903e+37;1.3962084224359191e+38;7.447593689985174e+36)
1,5023,56014,50000,Vector3(-1.4861472184016318e+38;5.0310656463423994e+36;-2.6423320844072168e+38)
1,5069,63818,50000,Vector3(-4.395872551230638e+37;2.886005156209584e+38;2.4194263746221246e+38)
1,5056,63865,50000,Vector3(-3.281385986893057e+38;-2.0257220879164895e+38;-9.090230169272936e+37)
1,5394,56280,50000,Vector3(-2.9468385929820085e+38;1.881307072232473e+38;2.760233528609148e+38)
1,5091,57713,50000,Vector3(-1.5575828791461732e+38;-1.3093033678866726e+38;8.222847756896577e+35)
1,5018,57410,50000,Vector3(-1.8872023574078703e+38;1.849715191033825e+38;-3.208181902855173e+38)
1,5497,55883,50000,Vector3(-3.9285851022516274e+37;2.045487498899344e+38;-1.5216980801750934e+36)
1,5058,72841,50000,Vector3(2.411413200235914e+38;9.876317546522625e+37;-3.264684639529026e+38)
1,5072,77207,50000,Vector3(-2.4541190306009787e+38;-1.3864461944575375e+37;-9.916748501826544e+37)
1,5438,68134,50000,Vector3(-2.342906725086332e+38;5.711976813881511e+37;1.1057714157549885e+38)
1,5215,71041,50000,Vector3(2.808083180873795e+38;-2.0394123087507623e+38;2.5516177905103085e+38)
1,5025,59614,50000,Vector3(-1.6307353444516156e+38;1.319647903844775e+38;1.4387776507723033e+38)
1,5506,57832,50000,Vector3(-2.643188002092491e+38;-2.9233288463622238e+38;2.9665997446588463e+38)
1,5060,62184,50000,Vector3(6.074306849643546e+37;4.818863217635274e+37;1.0139758666021095e+38)
1,5074,75585,50000,Vector3(-3.2243857227116264e+38;2.8049586756743523e+38;-3.208881240338307e+38)
1,5298,58593,50000,Vector3(-8.10597553723173e+37;1.9741883387714353e+38;-1.3071801450359589e+36)
1,5032,60023,50000,Vector3(1.3855954487867123e+38;2.5089819344583762e+38;1.8416129768694543e+38)
1,5034,58621,50000,Vector3(-2.7094593557037505e+38;1.2699131030195167e+38;-6.715705094443424e+37)
1,5227,59773,50000,Vector3(-2.547754194304909e+38;-5.714671331997357e+37;-1.1536992567086575e+38)
1,5014,60509,50000,Vector3(1.0466778040783652e+38;1.814622768761683e+38;-2.2895319416215542e+38)
1,5051,58600,50000,Vector3(-5.506831396065857e+37;2.5056771186375572e+38;-2.137881379135531e+38)
1,5365,58413,50000,Vector3(-1.7012570798194165e+38;-5.981991462332525e+37;2.772482278592889e+38)
1,5015,59994,50000,Vector3(-9.887200073395464e+37;-3.3515556196301383e+38;-8.954814661554156e+37)
1,5060,60395,50000,Vector3(1.812979056934391e+37;2.162987148567027e+38;5.980236526841569e+37)
1,5568,58657,50000,Vector3(-9.930988781609268e+37;-5.032102838063506e+37;2.4113987997250953e+38)
1,5018,56645,50000,Vector3(9.731561989181363e+37;-1.3379497361506301e+38;-1.578127236069856e+38)
1,5017,57396,50000,Vector3(3.0619000941912363e+38;2.1401248164617908e+38;-4.299956022094489e+37)
1,5257,56783,50000,Vector3(-3.3359663567846756e+38;7.607722679980704e+36;-2.3619172247837385e+38)
1,5051,59626,50000,Vector3(1.811857667860417e+38;3.0908388333896305e+38;-4.358543790475598e+37)
1,5016,59396,50000,Vector3(2.062110353338209e+38;2.136720616833914e+38;2.9089307694327835e+38)
1,5540,59938,50000,Vector3(8.614768909223654e+37;8.934321314890626e+37;-3.217623364525673e+38)
1,5023,59710,50000,Vector3(-8.554494658484002e+37;-3.2943269755165708e+38;1.0207426869181758e+38)
1,5032,59074,50000,Vector3(9.20699600136116e+37;-7.564837806644863e+37;-1.0225369702837628e+38)
1,5242,61214,50000,Vector3(-2.5952983934809248e+38;-5.870129409826225e+37;-3.3954007129426402e+38)
1,5031,56605,50000,Vector3(-1.2349799990748113e+38;-1.2542504178512888e+38;-1.79724297479641e+38)
1,5192,65640,50000,Vector3(9.76526628334023e+37;1.8430013078068243e+38;1.5285966791093065e+38)
1,5472,70435,50000,Vector3(3.2069339261922604e+38;-1.6076300290793277e+38;1.906541837789048e+38)
