elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
37465,100000,-1.1852167014640599e+38; -2.0845179538201312e+38; -1.9547048532820715e+38,2.411880506953182e+38; -1.0121446692510438e+38; 1.4829017286289035e+38
37089,100000,-1.9536988457657304e+38; -2.272863046112889e+37; -2.9213285951271117e+38,2.4801468383730567e+38; -2.2683384461785065e+38; 1.3574186183050793e+38
29201,100000,1.939067521125848e+38; -2.1939174175644036e+38; -9.458685239205154e+36,2.7538922332465662e+38; -1.6198058638005439e+38; 2.1076070432647362e+38
30286,100000,-1.815994468123178e+38; 3.1682482722347354e+38; 2.0150395456023422e+38,-1.0784118649683346e+38; -1.7213522827824264e+38; -1.6755742758346965e+38
30257,100000,-2.772704523096121e+37; 2.465779996354406e+38; 3.7711714832243164e+36,-2.2876393899814375e+38; -2.340123826370639e+37; 1.8882967962300833e+38
35298,100000,-2.2398509905937936e+38; 1.9404189380777395e+38; -9.682347736398582e+37,-3.023263726489048e+38; 1.2902441904062172e+37; -7.755452906220461e+37
32059,100000,1.8177071147901103e+38; 3.028262123511772e+38; -1.6624715349945935e+38,3.141790274554964e+38; 6.393114890878064e+37; -5.12393550402596e+37
33552,100000,-3.1453417244765633e+38; -1.9747073656331928e+38; -8.346375554199067e+35,2.2830296039267195e+38; 6.608402020555785e+37; 2.290153800300002e+38
31866,100000,-6.429411784044519e+37; 2.6274992033218982e+37; 3.2930686548247602e+38,-1.953419151337296e+38; 2.319919250513841e+37; -6.561745379624025e+37
33819,100000,-3.3695069718980423e+38; -2.2954310804547763e+38; 2.969608640123548e+38,-3.3680415678041784e+38; -5.538051095048278e+37; 2.5504405994569125e+38
33454,100000,1.6108553378545004e+38; -1.509832205040392e+37; 3.5703234643259655e+37,1.4566401660861433e+38; -2.7294213032356644e+38; -3.3897826883065247e+38
35041,100000,-1.913305615743674e+38; -2.1411719972696273e+38; 1.4224136252329931e+37,-7.642444897571555e+37; 1.948815044357267e+37; -1.1245374110046231e+37
29877,100000,-1.8043878592274882e+38; 3.2897498441413147e+38; 7.384792377773967e+37,-1.1136156376692008e+38; -1.5334968078575007e+38; 2.2499721158101118e+38
