elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
35097,100000,2.8158336980556382e+38; 8.96933686683037e+37; 2.9246946638249337e+38,2.5001118282664113e+38; 1.1261847483126317e+38; 1.4851201171793029e+38
32987,100000,-2.49476072014068e+38; -2.6007077121222187e+38; -1.383421985773585e+38,2.8472823854424843e+38; 9.507911914963816e+37; -2.0508112257721106e+38
40854,100000,1.5106920777955389e+38; -3.855882805027338e+37; 2.1692229753996696e+38,-3.277275756586877e+38; -6.878819781897671e+37; -9.619836335879647e+37
35335,100000,-1.0715218290139261e+38; -2.5472459171202413e+38; 1.169259819944531e+38,1.1589278590803828e+38; 1.5341227230178694e+38; 1.0642829356143348e+38
34120,100000,-2.6953811323737598e+38; 1.11729937960744e+37; -3.3154095261790865e+38,9.779555494436123e+36; -2.297529904200562e+38; -1.1770210868034644e+38
36331,100000,-3.3766441490134712e+38; 1.4763474679654834e+38; -2.438947382569255e+38,2.5091880037399494e+38; 2.4402663476657806e+38; 2.5462626259026563e+38
34277,100000,-2.6744062052472034e+36; 2.6090989506234414e+38; 2.135327215294143e+38,1.9122071964985762e+37; -1.1172813789689167e+38; 2.408098851682581e+38
32767,100000,-5.871863555847338e+37; -1.7366590116621103e+38; 5.113738015537484e+37,-6.001689738539592e+37; 2.8629018690782564e+38; 3.2752339264120772e+38
32969,100000,-1.2772343430020989e+38; -6.371968070330117e+36; 3.3335373354105422e+38,-1.3956899026344018e+38; -2.2918946395162836e+38; 2.1696227416929576e+38
34685,100000,7.423810663248992e+37; -3.055482131320353e+38; 2.788177009968291e+38,-2.3688099988634435e+37; 1.2902827269844641e+38; -2.6208090505141337e+37
40850,100000,1.093088419381633e+38; -2.0242167274757065e+38; 8.319070645491536e+37,-1.0867321150359446e+38; 1.1395093787137987e+38; 1.6127852091282879e+38
33447,100000,-1.6552472449299168e+38; 2.666005104424311e+38; 3.140613691973856e+38,-2.457452850267531e+38; -1.2863843464465942e+38; -2.575338068541779e+38
32838,100000,-2.9782187258243942e+38; -1.0964273096505861e+38; 3.5447240844272466e+36,-6.193243406619599e+37; -1.1893039112353398e+38; 1.6918488813006666e+38
34668,100000,-2.776108164957734e+38; -1.842866632607056e+38; -1.9510006768161566e+38,2.0466174319383636e+38; -1.159867441705272e+38; 8.695804234433603e+37
34853,100000,-5.754779796988578e+37; -2.7585600269927506e+38; -1.764618110476648e+38,-3.271694443112144e+38; 1.847170559924951e+38; 3.889613973378931e+37
33075,100000,3.4885856071533693e+37; 1.875552546979725e+38; -9.527353618689397e+37,2.6932568034978973e+37; -1.8919527005611415e+38; -4.1732971911919657e+37
32560,100000,1.0675928980965908e+37; -3.337997031634193e+38; 9.675320895591397e+37,1.904862859922058e+38; -2.306483168271902e+38; -3.5778008281564717e+37
34789,100000,-8.884458025000529e+37; 8.185785297841379e+37; -1.0020608636683963e+38,-2.2750813332512405e+38; -2.0091426378341766e+38; -2.6337925814917913e+38
37213,100000,2.3830360809594448e+38; 6.319298075246054e+37; 1.25796757505935e+38,-2.2799842001247312e+38; -6.668342879187577e+36; -1.2104399060471611e+38
32552,100000,-1.7691033625363996e+38; 1.5902812672007482e+38; 1.2452352924306577e+38,8.523721172512861e+37; 2.455375728700021e+38; 2.3759264879210768e+38
33164,100000,1.1772886117861365e+38; -2.2160347767648977e+38; 2.139925237551291e+38,3.115547676065183e+38; -3.513739090953458e+37; 1.4720974918571343e+38
35888,100000,3.2004636347045995e+38; 2.498593284259386e+38; 2.9052474838487604e+38,-6.041733299820081e+37; -2.495623533845219e+38; 1.4018297936696192e+38
33920,100000,-1.3709105785854765e+38; 1.2624581005455985e+38; 1.7848483942876183e+38,-7.892714620273414e+37; 1.1195282643048093e+38; 1.9420651852062318e+37
34303,100000,1.90808512633579e+38; 1.5795419341397107e+38; -2.7004058965289685e+38,-1.4725283916491639e+38; 2.1916451792165065e+37; -2.49726154124481e+38
32269,100000,4.842812686895266e+37; -4.504066529960118e+37; 7.611712483479862e+37,1.763595674208528e+38; -2.601076243504717e+38; 6.834236003227404e+37
34419,100000,-3.263741507482456e+38; 2.9414909328659097e+38; -8.386090318605122e+37,4.435358346247027e+37; 1.6473741205820193e+38; -2.126935571144728e+38
35199,100000,6.661789886174757e+37; 2.1052885610229428e+38; 7.665228635339577e+37,1.773243610808793e+38; -1.8903469421928204e+38; 2.0287553729787397e+37
33440,100000,-1.7767297513714686e+38; -3.3120761121607263e+38; 2.081228755454707e+38,-8.486922796768956e+37; 2.0002784135409966e+38; -3.0125521803291677e+38
31937,100000,-1.7702359322886675e+38; 2.4231483996084907e+38; -3.382858476491934e+38,-3.7735096013739074e+37; -1.62520534547318e+38; -3.543843257407678e+37
34304,100000,-1.2089808909123224e+38; -3.2629218953103725e+38; 5.691729898494666e+37,4.361597814301668e+37; 6.237330773314817e+37; 2.8198437332583762e+38
39520,100000,-1.3425054695837544e+38; 5.763620392274569e+37; -2.767249416915147e+38,1.3860735051810704e+38; -1.994604206630279e+38; 2.0516499034092216e+38
32891,100000,-1.5123052392433653e+38; -2.7379247034619954e+38; -3.197916569706573e+38,3.63649938920004e+37; -6.752048637151967e+37; 1.2670108930293302e+38
32390,100000,-3.3244422972960728e+38; -1.9202334783919932e+38; -7.428485251602394e+37,-1.1563114282415118e+38; -3.5486111448452564e+37; 2.5394106194662547e+38
33065,100000,-2.2048315849962246e+38; -1.2254051805611675e+38; 2.2109246236652576e+38,-2.1685443259743314e+38; 8.051476195566478e+37; -8.098330589991874e+37
35157,100000,-2.4723750246611295e+38; -9.333404090974958e+37; -1.639551702258131e+38,-1.4674908495759049e+38; 1.1913304281908886e+38; -1.0595441534345377e+38
32392,100000,-3.058177866380774e+38; 2.4150476052127922e+38; -1.1800438757187446e+38,-3.0454435555111215e+38; -2.158193401057204e+38; 2.3505970035116524e+38
32622,100000,2.0613355652913494e+38; -3.3166266735794016e+38; -3.727467010392898e+37,-1.4461391513379487e+38; -2.870480188602565e+38; 1.5693718269041997e+38
31985,100000,2.095041482042986e+38; -2.8999654880337534e+37; -3.3312328480313753e+38,-2.97758490052428e+38; -2.9979597979157244e+38; -2.7033892361575696e+38
37913,100000,2.84225944670414e+38; 2.472295111967291e+38; 1.6101281120581615e+38,-6.101122730440774e+37; 1.925887200069011e+38; -6.870785919453665e+37
38913,100000,-6.973802306071572e+36; -1.5996936236134668e+38; -1.9519785931951967e+37,2.8537435498458236e+38; -1.3581540584773078e+38; -3.028378138894705e+38
33389,100000,-2.276205790039667e+38; 3.1857779532069795e+38; 8.212599150397647e+37,2.5948122241227252e+38; 2.812383254533865e+38; -9.19583966195867e+37
33497,100000,-1.5106628711257096e+38; 2.842314412034166e+38; -3.0427792581855858e+38,2.558881276331544e+37; -1.5959526345741213e+38; -6.796147666232707e+37
35990,100000,1.2767584162607492e+38; -2.5413384624990818e+38; -3.3150280140544418e+38,3.2740482167466477e+38; -1.4414340379580936e+38; 3.3510221922575622e+38
31997,100000,-1.4306042453502238e+38; -6.042877734781967e+37; 2.446767062767847e+38,-2.4443242493551832e+38; 3.8130065517155785e+37; 1.3576461869408323e+37
33187,100000,-7.508768606476288e+37; 9.628497938900887e+37; -2.025618850451607e+38,1.1444697462185158e+38; -1.362898418319746e+38; 6.130779669763233e+37
31328,100000,2.6949351221865755e+38; -3.882216091241059e+36; -2.694910580470955e+38,1.2209358501929548e+38; 3.0685535358376182e+38; -1.3693046173930593e+38
30930,100000,1.1714613740949594e+38; -2.262609476761859e+38; -1.8964225379895943e+38,1.6611506430691556e+37; 3.113942120520958e+38; 3.1241153715299576e+38
31929,100000,2.2357561749189123e+38; -7.379336916650825e+37; 2.2348866680192038e+38,1.713724271354589e+38; 3.2830053344758124e+38; 3.118708081129624e+38
33952,100000,1.7388833835233427e+38; -7.216351529557801e+37; -8.401489231036455e+37,1.1281995268236225e+37; 8.822622028721396e+37; 1.2365455982721172e+38
33332,100000,6.9058810798511035e+37; 1.4204280533918316e+38; -6.960301827179141e+36,-1.2740375310124193e+38; 2.019021591079827e+38; -9.185413489301913e+37
34711,100000,2.859177410202738e+38; 1.609769924704561e+38; -2.49399566765043e+38,-1.1498358633273539e+38; 2.0274878744965835e+38; -2.2521309754883245e+38
33094,100000,-1.3465551568972675e+38; 1.4599481256804509e+38; -2.8011269228520304e+38,-2.6902596211247417e+38; 8.889087484992562e+37; 2.23677719141836e+38
32620,100000,1.5521813692325767e+38; -1.731480912490298e+38; -2.112537088567096e+38,-1.32925132055596e+38; 1.151391574849978e+37; 1.5610122289619586e+38
32478,100000,8.840458379726847e+37; 3.554196920450102e+37; 5.311497593895969e+37,-1.5361602938866522e+38; -5.710259400848322e+37; -1.1555378571392285e+38
34903,100000,-2.589701665374893e+38; -3.302199187156036e+38; 3.3920750062399294e+38,2.2958505206853798e+38; 3.2586220244743984e+38; -4.530856550685101e+37
32590,100000,1.3183779207674424e+38; 1.4562675782217242e+38; 5.353838645124312e+37,3.246288899666706e+38; -3.080205982979012e+38; 1.379978767860233e+37
33380,100000,-4.197677915186155e+37; 4.97808013302394e+37; -3.40123190570369e+38,-1.1053122220015618e+38; 1.20463538465474e+38; -2.226968009661746e+38
32603,100000,-2.119674468506621e+38; -2.8383120841470773e+38; 3.7441662788099444e+37,2.039538262514401e+38; -3.1358499624302464e+38; 1.8987055260145813e+38
37611,100000,2.328583084600137e+38; -7.781796206873924e+37; 2.474795223187085e+37,-2.6413986879172567e+38; -2.5984636663236707e+38; 1.2043312499227333e+38
33537,100000,2.8790872826479945e+37; -1.9724464854346737e+38; 2.113692983090408e+38,-4.058059385137258e+37; -3.0139605908520452e+38; -3.0334868722256728e+38
35755,100000,6.800342068538742e+37; -2.9550426248425896e+38; 1.7051827401982032e+38,2.3747922955760406e+38; -2.166759169693066e+37; -2.6773683244047567e+38
32049,100000,-1.9187419099897407e+38; 1.7348952533229767e+38; 8.411050865983856e+37,-1.834767460804126e+38; 2.1707453730645197e+38; 2.690672773808368e+38
41838,100000,2.171762941554335e+38; 2.821976022980008e+38; -1.4195364386656551e+38,-2.093981117668907e+38; 1.987443907567902e+38; 1.6230032842625115e+38
33523,100000,-3.236730002844601e+38; 1.414193037855573e+38; 3.2258689753259415e+38,3.064337634177403e+38; -2.0556538538890785e+38; 2.1894222271239463e+38
