elapsed.ps,repeats.n,param.a.vector3
38427,100000,-2.6807820567651474e+38; 3.3231233321995473e+38; -5.962610098775516e+37
38593,100000,-2.003630690200288e+38; 1.5674699453556653e+38; -3.193707158417431e+38
38589,100000,3.9189671836175758e+37; -2.531291165253721e+38; -1.2134315614636997e+38
37962,100000,1.252835567663362e+37; -2.812644289145464e+38; -1.698849862035607e+38
38719,100000,-1.6631040419380833e+38; -2.9696394693861456e+38; 2.088038777303229e+38
38513,100000,-3.0162462155902807e+38; -7.725598213404366e+37; 6.779317322743597e+37
38749,100000,-2.235609127449286e+38; 3.0070312577290297e+37; 8.85702200952967e+37
38838,100000,2.4600834787931245e+38; -1.469274079028258e+38; -8.936198451899444e+37
38329,100000,-2.85093585588439e+38; 1.0145104095072137e+38; -3.2378607471800045e+38
38245,100000,-5.517606426167797e+37; 3.3481577455787565e+36; 1.7366671246259517e+38
38505,100000,-1.7037948149090254e+38; -2.4280863550505957e+38; 4.583946264882899e+37
38529,100000,1.1274888058380985e+38; -2.3271973396699915e+37; 1.1305697038568932e+38
38919,100000,-3.2017692134107865e+38; 3.1435272601134206e+38; 2.2832502765432072e+38
38752,100000,-2.4709653971936757e+38; -2.9655892750123924e+38; 4.700641615597749e+37
38171,100000,-1.5919119475798698e+37; 1.8115092160634264e+38; -1.5427048189934625e+38
38466,100000,4.648062511061723e+37; -3.1787354949443995e+38; 2.254889180370325e+38
38486,100000,-2.4135558339864436e+38; -3.841253102980224e+37; 1.680570847440556e+38
38197,100000,-2.461481342463008e+38; -2.494300309442677e+38; 7.833491505411472e+37
38334,100000,1.5146492773212594e+38; -6.255669621018199e+37; 2.5039583872477438e+38
36121,100000,8.723762521951757e+37; -6.625187235683527e+37; -2.8920505312160484e+38
38446,100000,-1.1280261882805472e+38; -8.218325381688998e+37; 1.651260838734367e+38
38281,100000,-2.0225791257243077e+38; 3.129804486011734e+37; -2.1954951862074717e+38
38294,100000,1.87266047819434e+38; 2.677426129272127e+38; 1.774631333273875e+38
38809,100000,-2.0128853508783384e+38; -3.3824540959504613e+37; 8.246153354725448e+37
38416,100000,-8.332308974239839e+37; -2.1891948613122894e+38; -2.9877857356103407e+38
38322,100000,-3.7706599228245943e+37; 2.476359301203671e+38; -4.831662939275899e+37
