runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.value.float
1,2945,28285,50000,8.96827305444666e+37; -2.7632205190714777e+38; 2.1727718900200686e+37,6.178377921560843e+37; 2.8905906033727776e+38; 1.281989553933675e+38,0.0020754832236034976
1,2911,28129,50000,3.8010044358326176e+37; -1.541652466171177e+38; -1.8341175109883768e+37,-3.10979801859074e+38; 1.112455686663968e+38; 1.530682015052706e+38,0.005541190703310959
1,2949,28140,50000,3.288685828933507e+38; -3.3635200102312364e+38; 1.0542788399014297e+38,-2.9946012337094558e+38; -3.1934213792661156e+38; -3.3177590405075735e+38,0.002311312755146996
1,2910,28755,50000,7.241083392768254e+37; 2.4571445576415554e+38; -2.0755210825681434e+38,-2.8151355775170805e+38; -1.8964990026738e+38; 1.9324481539276004e+38,0.006835968296862034
1,2907,27802,50000,-2.8022160882477465e+38; 7.817090641945719e+37; -2.225883914868431e+38,1.0682379040749989e+38; 5.73468499967376e+37; 3.1699830267281357e+38,0.0003231894402810923
1,2911,28032,50000,-1.0955522250882366e+38; 1.571867780230025e+38; 2.8142563350607622e+38,-2.3513803101705455e+38; 3.073739545149176e+38; -1.0755909874406587e+38,0.009106420152201153
1,2909,27982,50000,2.246350894399476e+38; -1.5006519808055873e+38; 2.6603321144581695e+38,8.06154083427205e+37; -2.7952275811947123e+38; -1.994359195122267e+37,0.007764248467067365
1,2909,28098,50000,1.245736267947868e+38; 9.082102373919453e+36; -1.919215909902178e+38,2.1245609826873686e+37; 1.9929856703439076e+38; -9.547678621353216e+37,0.007449995840538348
1,2915,27598,50000,2.858055184479368e+38; -2.972936375067219e+38; -2.103646497141431e+38,-1.8742053893338503e+38; 5.810708795000767e+36; -3.443966587796416e+37,0.002870289959667632
1,2908,28459,50000,-1.3760211373333086e+38; 1.0017865567550129e+37; 3.1695654119143965e+38,3.087020264133551e+38; 4.236900038877697e+37; 3.035382871875422e+38,0.005222906915152284
1,2909,27969,50000,-2.6456003918907492e+38; 4.309488754608206e+37; 1.5373765285785352e+38,2.432392057079331e+37; -3.109799235535316e+38; -3.145728307203609e+38,0.007368552495747272
1,2909,27611,50000,-2.580918773544224e+38; -3.155244205317354e+38; -7.523176723198482e+37,8.390699496187552e+37; 2.884511762390467e+38; 1.7905019131405402e+38,0.0027066685170507045
1,2911,28036,50000,-9.658627458367111e+37; -1.1378490606636438e+38; 2.2173062810229506e+38,-5.226386201563515e+36; -2.275495905703539e+38; 1.0718456376832484e+38,0.0043984178068321176
1,2906,27629,50000,2.1910172358151775e+38; 2.1332677394229882e+38; -3.231918939227579e+36,3.1752736932732483e+38; 4.587309088395185e+37; 8.85497450028018e+37,0.0011951851041839324
1,2933,27685,50000,-3.832471073151963e+37; -1.5891231162593677e+37; 4.211229100102595e+37,3.23231381238955e+37; 7.831331935848923e+37; 1.7240015711248554e+38,0.008972648737794619
1,2910,28189,50000,-3.696580196458097e+37; -2.458643022063073e+38; -2.8658000225865222e+38,-2.297351013347858e+38; -2.916392667925967e+38; -2.6642072716370432e+38,0.007795889118743832
1,2910,27659,50000,4.315253015417564e+37; -1.4588754904485618e+38; -1.1971854527832228e+38,-1.0737965012509757e+38; -1.7785498948093004e+38; -4.779272968209426e+37,0.0040001264196022806
1,2909,27791,50000,1.6515756217314157e+38; -2.9214843640328677e+38; -2.803479073893766e+38,3.105220684391388e+38; -2.9311379797078218e+38; 2.6787657824264483e+38,0.0005071509090339366
