elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.alpha.float
41698,100000,-2.124745679379822e+38; 2.868941970658224e+38; 1.6093350698426587e+38,2.2733542860734896e+38; -7.636929603340082e+37; -2.156322602301387e+37,-9.894354728998596e+307
41626,100000,3.3089540408504362e+38; -2.601208484815333e+38; -9.90467336926901e+37,8.969954466202802e+37; 3.165840141742494e+38; 1.949374433214136e+38,-1.3890120971112187e+308
41535,100000,3.309401876454485e+38; 1.2779652196321665e+38; -3.140369086114036e+38,4.769233175455619e+37; -3.2918829451593307e+38; 1.7854059577276227e+38,-1.703196352710025e+308
41766,100000,1.9606549009633988e+38; -1.863679021573651e+38; 2.5642107329850237e+38,-1.767860659299984e+38; 2.268207218988371e+38; 2.9763661305311967e+38,-7.266348861980428e+306
41659,100000,4.004121929600557e+36; 9.217535755511697e+37; -1.9929580862668467e+38,2.5421487447627476e+38; -3.0880500020691284e+38; -2.288431823724652e+38,1.4025569520440933e+308
41627,100000,2.4520739552406425e+38; -1.661613589068359e+37; -5.73907107075055e+37,-2.5752078554721236e+38; -4.754415163911841e+36; -3.2235241259516633e+38,8.395826069202202e+307
41911,100000,2.297719139082164e+37; 2.8615399052733712e+38; -3.7361678472002143e+36,-2.1505385661426657e+37; -4.217962353030767e+37; 2.086638682568289e+38,1.6558471000793728e+308
41753,100000,1.6883215674464955e+38; -2.7916118360346693e+38; 9.585234545095818e+37,1.5293459113200654e+37; 2.9032094059197375e+37; -2.459919596923527e+38,8.507502441563046e+307
41583,100000,-1.9504295241617178e+38; 2.4252121347856622e+38; -2.981660447910038e+38,-2.2868049716503432e+38; -2.767937599072999e+38; -9.143040493278444e+37,1.294884202512702e+308
41826,100000,2.4482464617243374e+38; -1.6066658033267701e+38; 2.407821185495107e+38,-2.3868548530396203e+38; -1.5035147415090947e+38; 6.710225294428757e+37,1.0382597185841303e+307
41666,100000,3.015520916622854e+38; -1.6481603681903049e+38; -2.5766018654841826e+38,-1.3165510841344415e+38; 1.955313528394277e+38; -2.8245890058092465e+38,2.2074036985947864e+307
41698,100000,1.3083353898883383e+38; 1.9959493360351932e+38; -2.739899804509199e+38,-2.087932903125098e+38; 9.36935466199743e+37; -2.823774869887756e+38,-1.665911806945602e+308
41740,100000,1.4841810416146538e+38; -1.2498819924708543e+38; -1.6803173173205104e+38,-2.7927302081002146e+38; -4.751441445751295e+37; -3.0142271017142372e+38,1.7104153949151523e+308
41649,100000,6.68085585826243e+37; 2.046775837557368e+38; 6.7248560105963515e+37,-1.5355736251888666e+38; -2.8014674645092757e+38; -3.2554859583014818e+38,-7.668079506919251e+307
41599,100000,-1.0306665657010985e+38; -2.368130031081481e+37; 1.147915220549936e+38,4.1940416594394005e+36; 8.95677799880379e+37; -2.9070968339564214e+38,1.5836368428394367e+308
41509,100000,-3.0451383052465865e+38; -4.433367627744429e+37; -1.4530089048827535e+38,2.095242277898062e+38; -3.322377852234565e+37; -1.814384247624744e+38,-1.328451617385257e+307
41572,100000,1.502238977945025e+38; -1.7886665578955058e+38; 2.7806994940197126e+38,1.2359480784851936e+38; 1.5681900723086429e+38; -8.974126557858273e+37,1.1618265526089616e+308
41648,100000,-1.7875932127792805e+38; -2.282822114876474e+38; 1.870455171798135e+38,4.119434210128028e+37; -5.864941676509851e+37; -3.2865480629612822e+38,4.556055659627832e+307
41617,100000,-3.466943515515913e+37; -2.22442398702516e+38; -9.476796797155914e+36,1.5844066700831466e+38; 8.294828095412771e+37; 1.6534583364028747e+38,9.664191493990025e+307
42754,100000,3.3092067596740977e+38; -1.090661122012316e+38; 1.8493740409042916e+38,3.559507615874698e+37; -3.095768194160666e+36; -3.277209433107473e+38,1.3879563021531537e+308
41411,100000,-1.8999563422148385e+38; -3.6633408765393925e+37; -9.497924856474978e+37,-1.9737127162662297e+38; -2.8161010202142144e+38; -3.355103215893913e+38,-4.015557817893086e+307
41460,100000,5.48557847316267e+37; 2.2534692088739734e+38; -1.7157861811148963e+38,-3.3738561289893533e+37; -2.9577645242113996e+38; -8.549966103479747e+36,-1.8494562815990186e+307
41382,100000,6.243936754122726e+37; 2.514480090053734e+38; 6.5113948048432e+37,-1.139772542978406e+38; -2.1069425915261206e+38; -3.3239579533547376e+38,-1.6249603603937681e+308
41233,100000,-8.505707857483618e+37; -8.218378115953967e+37; 2.454915520826114e+38,3.0647899319115646e+38; 1.3709068263396998e+38; 2.964697660286216e+38,-5.453919870009702e+307
41350,100000,2.514373404579219e+38; 1.0812974433826461e+38; 2.7728885352572503e+38,-1.7608277337699176e+38; -2.924018042640556e+38; 8.204161160942287e+37,1.1497026786114578e+308
