elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
32334,100000,2.718415053664243e+38; 2.6172887847973e+38; 3.0879329725657153e+38,-1.7963412188654315e+38; -7.848835528571814e+36; 9.79386448088138e+37
32601,100000,-1.236233147752173e+38; 6.045090545669726e+37; 9.329595054451392e+37,2.4380261555250573e+38; 5.072072875609182e+37; -1.2041042897592684e+37
32267,100000,1.7565398295556096e+38; 1.0167483705828806e+38; -7.650463041148119e+37,-5.032870020206764e+37; 2.5580347392607118e+38; 2.4898430471081785e+38
32423,100000,-2.635934150415817e+37; -8.9279516241546e+37; -1.9921617988658073e+38,-2.4058140382407298e+38; 6.486505752958319e+37; 2.9161052661818832e+38
31668,100000,8.259047389570729e+37; -8.01955130255515e+36; -8.60696930861057e+37,1.796627809313131e+38; 2.4642651031811094e+38; -2.2249689753712102e+38
32313,100000,-2.1805920772789005e+38; -1.9860156202836127e+38; -3.1650651508715383e+38,-3.2335227454139755e+38; 1.8585270106511915e+37; 2.0206658860263952e+38
34119,100000,-5.471351757241369e+36; 3.170835090755585e+38; -1.1193341616449023e+38,-2.7934023671544797e+38; -1.1818539793638225e+38; -2.9237491485952355e+37
31755,100000,1.8439576234196364e+38; -6.589056151215582e+37; -3.3320987040973552e+38,-2.5838449167777427e+38; 1.2448830883878903e+38; -1.253984718285481e+38
31682,100000,-3.3900826651445627e+38; 8.22505863461717e+37; 2.4527962118466285e+38,-4.656955840612684e+37; 3.0662670998029986e+38; 3.0328287080340343e+38
32100,100000,-1.2859264710497918e+38; -6.156251333863979e+37; -8.287194810558437e+37,3.0239652950372385e+38; -5.249268625930765e+37; -2.3686057549987347e+38
32367,100000,-1.8890478538577065e+38; -1.0727918120912588e+38; 8.59625512573744e+37,-2.775253667041132e+38; -1.837202161252948e+38; 2.9767608262220837e+38
32301,100000,2.5901407795428122e+38; -2.404943720044637e+38; 2.6711566336395424e+38,1.233390060985981e+38; 7.101468919201277e+37; 1.5292696494599556e+38
32142,100000,-1.6502248132518125e+38; 2.971780480543907e+38; 1.5579939021767912e+38,2.8271338904482407e+37; -2.1564310624867425e+38; -1.2325349545970911e+38
31869,100000,-2.257422250505725e+38; 2.93145073446391e+38; -2.5407048400230637e+38,1.5480605920734028e+38; -5.58066798704723e+37; -2.845436888992648e+38
31831,100000,-2.520960928394389e+38; 2.806940469916725e+37; 1.4408177569422866e+38,2.3328395510795594e+38; -1.0678915819310165e+38; -3.2269086516422247e+38
32133,100000,2.2166600834529783e+38; -4.580446028045549e+37; 3.0152345289992506e+38,-2.1132946365657922e+38; -1.808245776358199e+38; 8.185495766444287e+37
