elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
52211,100000,-2.864575979166942e+38; -5.636268663553961e+37; 1.8918458122625303e+38,3.3045846013495215e+38; 5.920491139932333e+37; -3.3395778426387018e+38
56820,100000,2.7711405971976076e+38; 2.3848351306912887e+38; -5.168507620310705e+37,3.2637776608775746e+37; 4.204609428668203e+37; 3.3602835461307817e+38
58730,100000,1.3804350967233033e+38; 2.715115714094017e+38; -2.3664598760626684e+38,-9.268993242796641e+37; 3.1716033884313714e+38; 1.3150730035345754e+38
61421,100000,-1.5417331901613996e+38; 2.295868369205831e+38; -3.2788022107336477e+38,2.1604798370918235e+38; -1.3566130009956223e+38; -1.954602427113573e+38
55324,100000,2.8449717626344123e+37; 2.4213406284405172e+38; 2.4007977926975546e+38,1.8171297252947183e+37; 1.2045023320477401e+38; 1.4109442014852602e+38
58846,100000,-5.229461838832319e+37; 1.607464828853106e+38; 1.803537214968711e+38,-1.6358324153970613e+38; -2.8911846751500685e+38; -2.061422779652645e+38
63284,100000,7.777258017725107e+37; -4.627802412108635e+37; -1.0415304327571024e+38,9.02342903912283e+37; 6.412582454675889e+37; 2.70198143410698e+38
66049,100000,3.07512868738293e+38; 3.3485850579195874e+38; -2.880112102099243e+38,-1.7548997939150584e+38; -1.66775074197828e+38; -3.2263784694551852e+38
66144,100000,1.7470462420924284e+38; 1.5285347163479673e+38; 1.0010563773327754e+38,-1.7707014135890713e+38; 7.012270938246338e+37; 2.7053785348914957e+38
71542,100000,-7.6318260420235635e+37; -1.5107409584026837e+38; -1.3466050516248925e+38,-4.400306285969997e+37; -2.1999656321082126e+38; 1.606632235938876e+38
62492,100000,4.922028172903528e+37; 1.6595817986863132e+38; -1.8278854364015108e+38,5.188603938806243e+37; -1.307883193566225e+38; 3.032799501364205e+38
56029,100000,-9.179803374805543e+37; -1.8844484371848985e+37; -5.869440314959941e+37,-1.8619647523139505e+38; -1.7010665265811901e+38; -9.792113094812104e+37
