runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3
1,2906,25778,50000,-2.763649492034595e+38; -3.04819060506784e+38; -2.3773849959956754e+38
1,3034,25460,50000,1.0860743564924982e+37; -3.1261484802686277e+38; -2.1893889639721963e+38
1,2905,25723,50000,1.6267868663620247e+38; 6.378178417385695e+37; -6.281817703479226e+37
1,2906,25408,50000,1.0739240776073826e+38; 1.3632646172251399e+38; 6.070167716903681e+37
1,2906,25458,50000,1.413215527124725e+38; 4.311965743881052e+37; 2.7539173834344747e+38
1,2913,25333,50000,1.4582340592448463e+38; -1.9576435716095446e+38; -2.02396887643035e+38
1,2907,25753,50000,4.041302311852841e+37; -3.332941438216387e+38; -2.738173365803736e+38
1,2905,25810,50000,-1.5320449929780713e+37; -1.034246005347951e+38; 1.7483806218202526e+38
1,2908,36315,50000,-2.2207615923230287e+37; 3.878295564847203e+36; -9.819401048692857e+37
1,2906,25365,50000,1.361221570105764e+38; 2.4847195076182e+38; 3.243918697280423e+38
1,2912,25762,50000,-1.0423426418496807e+38; 4.515541620106034e+36; 8.488468316380754e+37
1,2907,25508,50000,1.6293904178707975e+38; -2.55731329395111e+38; -3.3420697394826064e+38
1,2908,25875,50000,8.365595957821112e+37; -1.822598623514223e+38; -1.774865595104797e+38
1,2907,25558,50000,-3.3294189921405208e+38; -2.4840213870796423e+38; -1.3300990238653447e+38
1,2924,25784,50000,-4.392544714874919e+37; 1.6015400327717353e+38; 1.0212520796353715e+38
1,2906,25456,50000,-7.415476621142852e+37; 3.2367767030927133e+37; 2.9490507953974788e+38
1,2912,25617,50000,-3.0762259657424876e+38; -2.052134247350557e+38; 1.3062094891257316e+38
1,2933,25329,50000,2.5627307255562452e+38; -2.6918868788472427e+38; -1.1991924986255521e+38
1,2905,25748,50000,3.376226534199732e+38; 2.6663373302936187e+38; -4.1629592470169844e+37
1,2906,25670,50000,1.3817631889041504e+38; 3.268834014885741e+38; -6.028521845264503e+37
1,2905,25761,50000,2.5797886376811084e+37; -3.0897518990589708e+38; 1.126164465903028e+38
1,2912,25662,50000,-2.6666592121340287e+38; 1.7277964099616986e+38; -2.4693884398469918e+38
