bench.path,bench.runs,bench.samples,bench.repeats,stats.mean,stats.stddev,stats.p10,stats.p50,stats.p90,stats.p99,stats.min,stats.max,stats.median,stats.q1,stats.q3
server/luau/math/operations/add/vector2.csv,50,5000,250000,47230,7604,39745,46123,55783,75297,7903,122051,46123,43255,49120
server/types/rect/init/empty.csv,50,5000,50000,43758,6650,35974,42871,51583,65479,20727,90123,42871,38899,47262
server/types/vector2/method/fuzzy-eq.csv,50,5000,50000,47427,7043,39575,47504,55937,69689,26024,91766,47504,41634,51513
server/luau/math/operations/bool/neq/float.csv,50,5000,250000,21831,3538,17340,21262,25959,33440,4926,45800,21262,19912,23218
server/types/vector3/method/lerp.csv,50,5000,50000,42693,8450,34368,41585,50939,75591,12887,119351,41585,37386,46580
server/types/brickcolor/init/palette.csv,50,5000,50000,48074,10966,37675,45960,58979,95145,16008,144275,45960,42271,51335
server/types/brickcolor/init/red.csv,50,5000,50000,43437,10313,34567,40957,52188,86993,12817,156551,40957,37867,47268
server/luau/loop/while.csv,50,5000,250000,25571,5982,20551,25652,28802,40003,11985,123015,25652,22277,26829
server/luau/function/var.csv,50,5000,250000,15185,3154,12043,14520,18250,26734,7929,40808,14520,13606,16390
server/luau/math/operations/subtract/vector2.csv,50,5000,250000,48972,9277,38060,48260,57846,86064,35260,127289,48260,44117,51461
server/luau/loop/for/ipairs.csv,50,5000,250000,44849,8034,37027,45245,50199,70686,19019,182022,45245,39643,46367
server/types/vector2/init/empty.csv,50,5000,50000,44627,8855,35629,43475,59630,74074,22687,89333,43475,37962,47686
server/types/brickcolor/init/new.csv,50,50000,10000,893338,174330,731072,894603,1138589,1369035,18392,2081836,894603,781874,947350
server/luau/math/operations/bool/gt/integer.csv,50,5000,250000,20188,3357,15750,20158,22773,32953,6206,40050,20158,19111,21086
server/luau/math/operations/bool/lte/float.csv,50,5000,250000,20022,3528,15547,19728,23406,32388,13726,40709,19728,18959,20510
server/types/rect/init/integer.csv,50,5000,50000,54940,8939,45197,55082,63772,86659,34126,110789,55082,47283,57684
server/luau/math/operations/subtract/vector3.csv,50,5000,250000,18548,3665,13796,17993,23023,31489,7848,39358,17993,16995,19848
server/types/vector3/method/cross.csv,50,5000,50000,40414,8718,31567,38248,49762,72378,5768,124840,38248,35411,44155
server/luau/math/operations/bool/eq/integer.csv,50,5000,250000,21540,3566,16996,20758,24971,34075,8562,47944,20758,19785,23113
server/luau/var/write/array.csv,50,5000,250000,89078,14068,73768,88349,107261,132190,44538,192035,88349,79054,92003
server/types/rect/init/vector2.csv,50,5000,50000,46833,7540,38941,46087,54690,74355,18316,118856,46087,41188,49907
server/types/color3/init/from-hsv.csv,50,5000,50000,50447,8764,40307,49813,62638,79126,32945,90343,49813,43237,54076
server/luau/math/noise/xyz.csv,50,5000,150000,52559,6613,44636,51548,58802,78602,11702,95727,51548,49194,55578
server/luau/tostring/format.csv,50,50000,50000,151582,34955,122749,141730,216587,245863,80837,341081,141730,126203,159429
server/types/brickcolor/init/empty.csv,50,50000,10000,886595,175757,722284,891400,1134813,1375312,238689,2086086,891400,781927,935609
server/luau/math/noise/x.csv,50,5000,150000,50445,6897,41804,49976,56461,74607,25204,99363,49976,47152,53155
server/types/color3/method/lerp.csv,50,5000,50000,56404,9946,44949,55908,70390,86182,30409,106506,55908,48010,60464
server/luau/math/operations/subtract/integer.csv,50,5000,250000,17657,3725,12630,17166,22148,30371,8317,38429,17166,16057,18863
server/types/color3/init/from-hex.csv,50,5000,50000,61911,12412,48653,57959,79497,96830,39435,109663,57959,52894,67646
server/luau/math/operations/divide/float.csv,50,5000,250000,18899,4247,14276,18011,24871,33010,8675,50082,18011,16809,19668
server/types/color3/init/from-rgb.csv,50,5000,50000,51771,8996,40577,51405,63566,79922,27563,98860,51405,44786,56492
server/luau/math/constrain/min/if.csv,50,5000,250000,17041,2284,14559,16811,19266,25998,10888,31687,16811,16214,17728
server/luau/function/metatable.csv,50,5000,250000,36958,4978,30386,38134,40810,54895,22931,74065,38134,33117,38995
server/types/vector2/method/angle.csv,50,5000,50000,53349,9905,43510,52512,66284,86231,1569,108599,52512,45752,57190
server/types/vector2/method/max.csv,50,5000,50000,56925,9009,46635,57352,69754,86351,31499,167373,57352,49030,60185
server/luau/math/constrain/max/max.csv,50,5000,250000,22501,2639,19812,22363,24934,32096,11519,38241,22363,21574,23405
server/types/vector2/method/dot.csv,50,5000,50000,43778,6074,36166,44276,51383,60824,23779,85409,44276,38439,47397
server/types/vector2/method/min.csv,50,5000,50000,56371,8965,46334,56680,69639,82266,14807,103799,56680,48643,60501
server/types/vector3/method/abs.csv,50,5000,50000,39428,7866,31786,39085,45878,67771,10984,134011,39085,34715,43357
server/luau/math/constrain/max/if.csv,50,5000,250000,17131,2493,14690,16772,19670,26729,6791,32217,16772,16219,17662
server/luau/math/operations/bool/neq/integer.csv,50,5000,250000,21792,3610,17174,21255,25827,33555,8499,52494,21255,19858,23200
server/luau/math/rounding/floor/floor.csv,50,5000,250000,22073,4178,17672,21641,26388,37950,10558,79355,21641,20519,22995
server/types/vector2/method/sign.csv,50,5000,50000,53833,8255,44152,54474,65140,77268,29325,152810,54474,46415,57680
server/luau/type/typeof.csv,50,5000,250000,22713,5120,17988,22403,27380,44285,13933,80178,22403,19375,24608
server/luau/math/operations/subtract/float.csv,50,5000,250000,17638,3729,12577,17177,21708,31392,11257,45480,17177,16151,18850
server/luau/var/write/table.csv,50,5000,250000,78619,12400,64703,77912,94914,110989,43159,198404,77912,68992,83138
server/luau/var/read/local.csv,50,5000,150000,14826,4133,10818,14154,19819,27732,3388,61860,14154,11621,17340
server/luau/loop/for/none.csv,50,5000,250000,31651,5160,26393,31864,36986,47296,16206,94347,31864,27782,33171
server/types/vector2/method/lerp.csv,50,5000,50000,57084,9704,46417,56995,71998,83814,22161,104066,56995,48789,60846
server/types/vector2/method/cross.csv,50,5000,50000,43017,6220,35661,42981,50825,59687,21393,86965,42981,37842,47141
server/luau/math/operations/divide/integer.csv,50,5000,250000,18841,5316,14379,18030,24542,31938,11120,264100,18030,16846,19355
server/types/brickcolor/init/random.csv,50,5000,50000,50900,11072,40120,48751,62277,93972,15564,148696,48751,44853,54393
server/types/color3/init/new.csv,50,5000,50000,52340,8717,41791,51955,63974,78058,32210,129231,51955,45319,56647
server/types/vector3/method/angle.csv,50,5000,50000,58431,12219,48243,55235,71665,107555,17260,191970,55235,50679,62607
server/luau/var/write/local.csv,50,5000,250000,14781,3893,11047,14002,19706,27297,4600,71649,14002,12099,16057
server/luau/math/operations/multiply/vector3.csv,50,5000,250000,18614,3765,13745,18179,23268,31108,5126,41794,18179,16919,19721
server/luau/math/sqrt/exp.csv,50,5000,250000,18107,4917,13648,17323,22460,31872,6327,243775,17323,16624,18832
server/luau/table/array/read-1000.csv,50,5000,250000,19697,3708,15526,19239,25097,30736,11228,44267,19239,17071,20892
server/types/rect/init/float.csv,50,5000,50000,54494,8812,44870,54589,63295,85639,29769,119785,54589,46951,57583
server/luau/math/operations/bool/lte/integer.csv,50,5000,250000,19966,3387,15591,19822,23381,31982,14208,41483,19822,18936,20588
server/luau/math/operations/add/vector3.csv,50,5000,250000,18940,3639,15409,18229,23869,30842,11573,68791,18229,17369,20048
server/luau/math/operations/add/integer.csv,50,5000,250000,18348,3506,14741,17709,22881,29902,9331,46442,17709,16784,19279
server/types/color3/init/empty.csv,50,5000,50000,47798,8821,37775,45945,59919,76171,26659,89168,45945,41082,52463
server/types/vector3/method/floor.csv,50,5000,50000,39914,8189,31972,39175,48151,66359,11209,129641,39175,34398,43787
server/luau/math/operations/bool/gt/float.csv,50,5000,250000,19973,3338,15471,19818,23474,31541,13822,51708,19818,18948,20742
server/types/vector3/method/dot.csv,50,5000,50000,39434,8729,30994,38585,46390,77268,11899,168674,38585,34284,42690
server/luau/function/table.csv,50,5000,250000,31835,4351,26326,32599,35203,45615,13446,72120,32599,28431,33581
server/luau/math/noise/xy.csv,50,5000,150000,51737,6406,43658,51081,57708,74815,31150,93048,51081,48400,54697
server/types/vector2/init/new.csv,50,5000,50000,46219,8372,36995,46052,59552,69010,24311,101688,46052,39568,49351
server/types/vector2/method/floor.csv,50,5000,50000,53363,7781,44112,54095,63667,75095,29547,98958,54095,46170,57195
server/luau/math/operations/add/float.csv,50,5000,250000,18084,3525,14631,17343,22125,30420,2582,54969,17343,16620,19018
server/types/vector3/method/ceil.csv,50,5000,50000,37275,7909,29946,35646,44490,65547,9894,145254,35646,32956,41192
server/types/vector3/method/fuzzy-eq.csv,50,5000,50000,42561,8477,34448,40932,50656,78081,12223,109322,40932,37449,46252
server/luau/math/sqrt/pow.csv,50,4999,250000,36896,8009,31145,34546,43350,69655,10239,256517,34546,33263,38326
server/types/vector3/method/min.csv,50,5000,50000,41607,7824,33741,40204,49482,71837,7387,98696,40204,36471,45590
server/luau/math/constrain/clamp/minmax.csv,50,5000,250000,28040,2907,24219,27951,30402,40253,16828,46246,27951,27234,29029
server/types/vector3/init/empty.csv,50,5000,50000,38650,8269,30754,36655,47408,69728,8973,122418,36655,33475,42458
server/luau/math/operations/divide/vector3.csv,50,5000,250000,19702,5248,15037,19009,25054,32538,1979,246798,19009,17705,20678
server/luau/table/array/write-10.csv,50,5000,250000,22520,3347,18551,22576,27536,29717,13776,34360,22576,19909,24342
server/luau/math/operations/bool/eq/float.csv,50,5000,250000,21569,3558,17474,20735,25458,34036,13279,53497,20735,19840,23152
server/luau/type/type.csv,50,5000,250000,22400,4977,17734,22077,27274,40456,11507,85618,22077,19177,23971
server/types/vector3/init/new.csv,50,4999,50000,24381,5977,17496,23243,29625,46106,4464,103277,23243,21419,27480
server/luau/function/default.csv,50,5000,250000,28579,4209,23752,29180,32085,43185,11922,83950,29180,25309,30101
server/luau/math/rounding/ceil/ceil.csv,50,5000,250000,21720,3822,17701,21198,25097,36523,9044,78062,21198,20410,22611
server/luau/table/array/write-10000.csv,50,4999,250000,22288,3452,18321,22210,27438,29746,13975,37890,22210,19702,23806
server/luau/math/rounding/round/round.csv,50,5000,250000,22106,4130,17877,21660,25393,37818,13819,86594,21660,20638,22921
server/luau/math/rounding/round/mod.csv,50,5000,250000,26762,4299,21575,26795,29914,43821,11995,73470,26795,25402,27501
server/luau/function/local.csv,50,5000,250000,15076,2882,11995,14572,18053,25689,7898,36905,14572,13668,16395
server/luau/math/rounding/floor/mod.csv,50,5000,250000,21910,3825,17366,21776,25453,37405,12212,60280,21776,20272,22491
server/types/vector3/method/sign.csv,50,5000,50000,39288,8054,31150,38143,46930,69429,5010,143523,38143,34436,43018
server/luau/math/constrain/clamp/clamp.csv,50,5000,250000,24293,2577,21244,24283,26561,32909,16613,47872,24283,23780,25118
