runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3370,30862,150000,array<integer>[3]
1,3761,31556,150000,array<integer>[3]
1,3909,31184,150000,array<integer>[3]
1,3694,31676,150000,array<integer>[3]
1,3776,31539,150000,array<integer>[3]
1,4188,31086,150000,array<integer>[3]
1,3363,30965,150000,array<integer>[3]
1,3431,31015,150000,array<integer>[3]
1,3438,31096,150000,array<integer>[3]
1,3360,31070,150000,array<integer>[3]
1,3411,30906,150000,array<integer>[3]
1,3437,31401,150000,array<integer>[3]
1,3371,31388,150000,array<integer>[3]
1,3440,31068,150000,array<integer>[3]
1,3362,31007,150000,array<integer>[3]
1,3360,31254,150000,array<integer>[3]
1,3411,30969,150000,array<integer>[3]
1,3360,31480,150000,array<integer>[3]
1,3396,30915,150000,array<integer>[3]
1,3474,30981,150000,array<integer>[3]
1,3362,31150,150000,array<integer>[3]
1,3360,30813,150000,array<integer>[3]
1,3457,31330,150000,array<integer>[3]
1,3349,31406,150000,array<integer>[3]
1,3335,30963,150000,array<integer>[3]
1,3540,30901,150000,array<integer>[3]
1,3362,30567,150000,array<integer>[3]
1,3472,30924,150000,array<integer>[3]
1,3475,30842,150000,array<integer>[3]
1,3342,31459,150000,array<integer>[3]
1,3464,30798,150000,array<integer>[3]
1,3445,31649,150000,array<integer>[3]
1,3437,32065,150000,array<integer>[3]
1,3360,31544,150000,array<integer>[3]
1,3444,31374,150000,array<integer>[3]
1,3360,31784,150000,array<integer>[3]
1,3360,31622,150000,array<integer>[3]
1,3492,31687,150000,array<integer>[3]
1,3439,30964,150000,array<integer>[3]
1,3378,31163,150000,array<integer>[3]
1,3491,30739,150000,array<integer>[3]
1,3476,31248,150000,array<integer>[3]
1,3361,31008,150000,array<integer>[3]
1,3420,31038,150000,array<integer>[3]
1,3398,31027,150000,array<integer>[3]
1,3335,30787,150000,array<integer>[3]
1,3412,30910,150000,array<integer>[3]
1,3413,30992,150000,array<integer>[3]
1,3361,30923,150000,array<integer>[3]
1,3411,31019,150000,array<integer>[3]
1,3335,30988,150000,array<integer>[3]
1,3360,31037,150000,array<integer>[3]
1,3409,31239,150000,array<integer>[3]
1,3375,31514,150000,array<integer>[3]
1,3335,31076,150000,array<integer>[3]
1,3467,30999,150000,array<integer>[3]
1,3469,30930,150000,array<integer>[3]
1,3403,31033,150000,array<integer>[3]
1,3504,31120,150000,array<integer>[3]
1,3361,31251,150000,array<integer>[3]
1,3336,30542,150000,array<integer>[3]
1,3444,30885,150000,array<integer>[3]
1,3361,31050,150000,array<integer>[3]
1,3352,31027,150000,array<integer>[3]
1,3399,30811,150000,array<integer>[3]
1,3362,31331,150000,array<integer>[3]
1,3416,30945,150000,array<integer>[3]
1,3485,30990,150000,array<integer>[3]
1,3361,30995,150000,array<integer>[3]
1,3362,30859,150000,array<integer>[3]
1,3448,31456,150000,array<integer>[3]
1,3361,32159,150000,array<integer>[3]
1,3363,31437,150000,array<integer>[3]
1,3411,31588,150000,array<integer>[3]
1,3462,31708,150000,array<integer>[3]
1,3363,31181,150000,array<integer>[3]
1,3491,31314,150000,array<integer>[3]
1,3360,31680,150000,array<integer>[3]
1,3360,31631,150000,array<integer>[3]
1,3472,31785,150000,array<integer>[3]
1,3360,31884,150000,array<integer>[3]
1,3403,31638,150000,array<integer>[3]
1,3471,31839,150000,array<integer>[3]
1,3384,31980,150000,array<integer>[3]
1,3377,31981,150000,array<integer>[3]
