runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3364,34503,250000,Array<Integer>[1]
1,3292,30320,250000,Array<Integer>[1]
1,3343,30539,250000,Array<Integer>[1]
1,3401,36078,250000,Array<Integer>[1]
1,3377,35905,250000,Array<Integer>[1]
1,3312,30616,250000,Array<Integer>[1]
1,3310,30335,250000,Array<Integer>[1]
1,3375,31087,250000,Array<Integer>[1]
1,3345,31964,250000,Array<Integer>[1]
1,3431,31001,250000,Array<Integer>[1]
1,3311,30283,250000,Array<Integer>[1]
1,3385,30102,250000,Array<Integer>[1]
1,3345,30948,250000,Array<Integer>[1]
1,3481,33845,250000,Array<Integer>[1]
1,3305,31071,250000,Array<Integer>[1]
1,3439,31490,250000,Array<Integer>[1]
1,3528,30548,250000,Array<Integer>[1]
1,3389,32134,250000,Array<Integer>[1]
1,3402,39477,250000,Array<Integer>[1]
1,3418,39375,250000,Array<Integer>[1]
1,3366,35917,250000,Array<Integer>[1]
1,3424,31898,250000,Array<Integer>[1]
1,3485,31497,250000,Array<Integer>[1]
1,3390,33097,250000,Array<Integer>[1]
1,3304,30832,250000,Array<Integer>[1]
1,3416,31026,250000,Array<Integer>[1]
1,3406,31086,250000,Array<Integer>[1]
1,3428,37238,250000,Array<Integer>[1]
1,3307,30728,250000,Array<Integer>[1]
1,3389,37806,250000,Array<Integer>[1]
1,3624,32025,250000,Array<Integer>[1]
1,3627,32174,250000,Array<Integer>[1]
1,3335,32741,250000,Array<Integer>[1]
1,3438,32750,250000,Array<Integer>[1]
1,3387,31256,250000,Array<Integer>[1]
1,3355,31081,250000,Array<Integer>[1]
1,3507,37745,250000,Array<Integer>[1]
1,3336,37446,250000,Array<Integer>[1]
1,3414,31639,250000,Array<Integer>[1]
1,3360,31131,250000,Array<Integer>[1]
1,3431,38265,250000,Array<Integer>[1]
1,3396,40007,250000,Array<Integer>[1]
1,3373,38304,250000,Array<Integer>[1]
1,3345,31367,250000,Array<Integer>[1]
1,3368,32902,250000,Array<Integer>[1]
